"","R_Pro_Ver_KS_E","pval_Pro_Ver_KS_E","R_Pro_Ver_KS_M","pval_Pro_Ver_KS_M","R_Pro_Ver_KS","pval_Pro_Ver_KS","R_Pro_Ver_GS","pval_Pro_Ver_GS","R_Inv_Ver_KS_E","pval_Inv_Ver_KS_E","R_Inv_Ver_KS_M","pval_Inv_Ver_KS_M","R_Inv_Ver_KS","pval_Inv_Ver_KS","R_Inv_Ver_GS","pval_Inv_Ver_GS","R_Pro_Hoek_KS_E","pval_Pro_Hoek_KS_E","R_Pro_Hoek_KS_M","pval_Pro_Hoek_KS_M","R_Pro_Hoek_KS","pval_Pro_Hoek_KS","R_Pro_Hoek_GS","pval_Pro_Hoek_GS","R_Inv_Hoek_KS_E","pval_Inv_Hoek_KS_E","R_Inv_Hoek_KS_M","pval_Inv_Hoek_KS_M","R_Inv_Hoek_KS","pval_Inv_Hoek_KS","R_Inv_Hoek_GS","pval_Inv_Hoek_GS"
"GSE101434",-0.241739130434783,0.253943346107723,-0.700869565217391,0.000202004048254399,-0.705217391304348,0.000177414182071404,0.764347826086957,2.19818832692459e-05,0.543478260869565,0.00681964313205598,0.710434782608696,0.000151287701038962,0.653043478260869,0.000726185324183395,-0.782608695652174,9.97660240975882e-06,-0.245217391304348,0.247008739487771,-0.707826086956522,0.000163912014285263,-0.705217391304348,0.000177414182071404,0.719130434782609,0.000114953807833706,0.513913043478261,0.0111445162952005,0.682608695652174,0.00033923692606972,0.666086956521739,0.000524669207568862,-0.746086956521739,4.51116648420042e-05
"GSE112509",-0.0385668681485064,0.775775456980748,-0.462964463446567,0.000287549573231853,-0.410396849886165,0.00152057259937655,-0.236619079287601,0.0763751565141561,0.553603837179155,1.13361211735057e-05,0.748314752398237,0,0.0585947627689915,0.66425228901379,0.572854550168525,4.91478186614331e-06,-0.146098003629764,0.277358253817292,-0.361744879439979,0.00595525353744473,-0.152644542390459,0.256215053212471,-0.266333938294011,0.0455260863916492,0.401672284158673,0.00211027842749136,0.669756287269899,3.66767063575618e-08,0.120948924034224,0.36913485297803,0.516074669432201,5.11801605017468e-05
"GSE114445",-0.344827586206897,0.0729133067854412,-0.300492610837438,0.120295362045736,0.155993431855501,0.426284369456268,-0.0711548987411056,0.718219915596924,-0.0996168582375479,0.612727780113066,0.821018062397373,1.5168285316179e-06,0.464696223316913,0.0135411750751686,-0.186644772851669,0.340060206087104,-0.355774493705528,0.0638392565455335,-0.347564313081554,0.0705556609259215,0.133004926108374,0.498229078997252,-0.0892172961138478,0.650526516562476,-0.444991789819376,0.0185365358583658,0.892172961138478,8.02697513497128e-07,0.780514504652436,2.91549932704843e-06,-0.51888341543514,0.0052210427990284
"GSE115791",0.0769230769230769,0.817283290706317,0.104895104895105,0.749479042672183,0.143607926009361,0.656129207444872,0.195804195804196,0.54287352062982,0.216783216783217,0.499114747625363,-0.146853146853147,0.651073351116621,-0.217163205184887,0.497784901927264,0.0699300699300699,0.834447145237479,0.454545454545455,0.140413038412287,-0.440559440559441,0.154215750256718,-0.36427376353594,0.244376487259035,-0.573426573426573,0.0554813240816213,-0.517482517482518,0.0886508785755338,0.531468531468532,0.0793029394097802,0.511384321886993,0.0892571722151938,0.643356643356643,0.0279545528218171
"GSE115978",0.347824553865433,7.33118701405729e-26,0.149368856116216,1.08910038374663e-05,-0.245563490222851,2.814875672456e-13,0.728992776277158,2.15758667251318e-143,0.629960411590564,2.73793310952634e-96,0.506042679226333,4.1151398955964e-57,-0.34984704693439,3.65919896802006e-26,-0.125099327476212,0.000235297416784234,0.227306673731212,1.53315934203603e-11,0.124082258174526,0.000264682149229762,-0.148046705694408,1.30472879374978e-05,0.754628967933831,3.52077491694072e-159,0.204672230118629,1.38100969315966e-09,0.283128535354069,2.56854809533924e-17,-0.0471809331516529,0.166856887457001,-0.522118413398628,2.59867337056414e-61
"GSE116237",0.425488570321216,5.15832863103421e-31,0.276779249628946,2.56118956978152e-13,0.00233480484144425,0.95175532210166,0,1,0.271451345188681,7.54116377716884e-13,0.508596626244379,1.26963312809516e-45,0.475352858136252,2.71229882657891e-39,0,1,0.24769533864145,7.00803557667934e-11,-0.0741772794382247,0.0542503852335666,-0.261002954885003,5.85598053425919e-12,0,1,0.166092862860198,1.46319794600156e-05,0.43683862229087,8.8472795460659e-33,0.441298602996886,1.71580294564832e-33,0,1
"GSE122220",0.660606060606061,0.0440265528478427,-0.587878787878788,0.0802150639781515,-0.705170430668875,0.0227377366153768,0.806060606060606,0.00823557082285116,-0.503030303030303,0.14336680194002,0.76969696969697,0.0136717821032753,0.705170430668875,0.0227377366153768,-0.648484848484848,0.0490426316833764,0.478787878787879,0.166058037179348,-0.624242424242424,0.0602489828244724,-0.66261704261127,0.0368064023486644,0.793939393939394,0.0098441361663116,-0.503030303030303,0.14336680194002,0.83030303030303,0.00555680454585398,0.668696098048071,0.0345095416517854,-0.490909090909091,0.154442672733181
"GSE122763",0.942857142857143,0.0166666666666667,-0.314285714285714,0.563888888888889,-0.714285714285714,0.136111111111111,0.314285714285714,0.563888888888889,-0.6,0.241666666666667,0.828571428571429,0.0583333333333333,1,0.00277777777777778,-0.828571428571429,0.0583333333333333,0.485714285714286,0.355555555555556,-0.0285714285714286,1,-0.257142857142857,0.658333333333333,0.0285714285714286,1,-0.314285714285714,0.563888888888889,0.942857142857143,0.0166666666666667,0.942857142857143,0.0166666666666667,-0.942857142857143,0.0166666666666667
"GSE122907",-0.793939393939394,0.0098441361663116,-0.272727272727273,0.448272158936988,0.43030303030303,0.218028474590315,-0.878787878787879,0.0019770587107552,0.842424242424242,0.00445902899690778,0.745454545454545,0.0184138413143277,-0.127272727272727,0.732886836413125,0.915151515151515,0.000466722165549449,-0.624242424242424,0.0602489828244724,0.454545454545455,0.190932019316111,0.818181818181818,0.0068111327718268,-0.490909090909091,0.154442672733181,0.696969696969697,0.0311410954595681,0.781818181818182,0.0116512675298474,0.127272727272727,0.732886836413125,0.733333333333333,0.0211664810722656
"GSE12391",-0.320378283145339,0.000543687290883671,0.146521941637472,0.119710386503965,0.281518322913238,0.00241107650950496,-0.401940017415605,1.11038070382231e-05,0.281837143840748,0.00246482439489117,0.558000040501408,1.65694177203882e-11,0.0457465249655439,0.628876011676281,0.334853486158644,0.000292617762393067,-0.431578947368421,2.08449645912778e-06,0.146060225592839,0.120890494588802,0.38629993844078,2.18497500106297e-05,-0.524165164739475,3.49022947985856e-09,-0.00880905611469999,0.925802459314757,0.702938377108605,0,0.316207918869846,0.000609504618193858,0.187574168202345,0.0457970273053684
"GSE12627",-0.109024161188423,0.440539420987072,-0.507726457781952,0.000150537961940137,-0.265260821309656,0.0576373917589573,-0.30291129514215,0.0294533438303129,-0.0336378382993255,0.812439292727096,0.871851788610945,0,0.623666012123282,1.45151648064197e-06,0.245197643643815,0.079901730435594,-0.25484504396824,0.0684675590284246,-0.466917100657389,0.000557435157927118,-0.177836591821054,0.206581952143348,-0.462050712883121,0.000645224252743075,0.0297105779902672,0.834032435003171,0.839238453000939,0,0.572697003329634,1.33305919362638e-05,0.314351575172885,0.0236420905577863
"GSE141484",-0.301098901098901,0.295027250989738,0.556043956043956,0.0419771879110103,0.450549450549451,0.108090693109141,0.287912087912088,0.317559280210174,-0.116483516483516,0.692995905689233,0.503296703296703,0.0693754149463021,0.314285714285714,0.273493639241883,-0.314285714285714,0.273493639241884,-0.107692307692308,0.715634431087095,0.301098901098901,0.295027250989737,0.230769230769231,0.426497919941949,0.257142857142857,0.373973221123601,-0.301098901098901,0.295027250989738,0.745054945054945,0.00325139561995264,0.564835164835165,0.0383545838081153,-0.340659340659341,0.233428256854
"GSE144117",0.559440559440559,0.0627487199268389,0.776223776223776,0.0046598806161296,0.223776223776224,0.484911140402734,0.377622377622378,0.227443132465378,0.895104895104895,5.94154087557109e-06,0.937062937062937,0,0.034965034965035,0.921184082791962,0.405594405594406,0.192612183946047,0.531468531468532,0.0793029394097802,0.559440559440559,0.0627487199268389,0.153846153846154,0.635139955377586,0.755244755244755,0.00659654322080615,0.909090909090909,0,0.839160839160839,0.0011918743865398,-0.104895104895105,0.749479042672183,0.34965034965035,0.26600430932519
"GSE149737",0.771428571428571,0.102777777777778,0.828571428571429,0.0583333333333333,-0.428571428571429,0.419444444444444,0.828571428571429,0.0583333333333333,0.6,0.241666666666667,0.942857142857143,0.0166666666666667,-0.371428571428571,0.497222222222222,0.885714285714286,0.0333333333333333,0.485714285714286,0.355555555555556,0.257142857142857,0.658333333333333,-0.142857142857143,0.802777777777778,0.2,0.713888888888889,0.6,0.241666666666667,0.942857142857143,0.0166666666666667,-0.371428571428571,0.497222222222222,0.885714285714286,0.0333333333333333
