Sample,Glycolysis scores,OXPHOS scores,FAO scores,HIF-1 scores
MM370_24h_BRN2_Con__200071760001_A_,0.103161977345729,0.0649826944587318,-0.22870770014499,-0.0490615050467589
MM370_24h_BRN2_Dox__200071760001_B_,0.0704932625325309,-0.00822317005643924,-0.169833551218228,-0.0798234432576299
MM370_24h_lacZ_Con__200071760001_C_,0.178074091467135,0.131383314124742,0.0535147766823961,0.0103804656166264
MM370_24h_lacZ_Dox__200071760001_D_,0.178750414322552,0.203068136367241,-0.0551834832827505,-0.0129625854600619
MM370_48h_BRN2_Con__200071760001_E_,0.101901039541628,0.149428252611435,-0.538228250023625,-0.0702563372048758
MM370_48h_BRN2_Dox__200071760001_F_,0.0791348912967883,-0.0593848576063028,-0.561277534947213,0.00335700140076323
MM370_48h_lacZ_Con__200071760001_G_,0.202916820590574,0.197315252318163,0.0720433333638186,0.0392365144820573
MM370_48h_lacZ_Dox__200071760001_H_,0.190610873106307,0.26229864956857,0.0874808530062719,0.000114205998148154
MM455_24h_BRN2_Con__200071760001_I_,0.274177529298127,-0.316990559064398,-0.410803855599694,0.116291587970956
MM455_24h_BRN2_Dox__200071760001_J_,0.192944542394913,-0.246134344277128,-0.178172944078517,0.0792446357974813
MM455_24h_lacZ_Con__200071760001_K_,0.216482002811818,-0.357898525270593,-0.0595174861086833,0.0887667143957684
MM455_24h_lacZ_Dox__200071760001_L_,0.178977756935201,-0.353154421203197,-0.278162313889668,0.118849147384683
MM455_48h_BRN2_Con__200071760029_A_,0.27610909174468,-0.272320129462059,-0.346304225730319,0.100460753661346
MM455_48h_BRN2_Dox__200071760029_B_,0.169907524613661,-0.113324434484509,0.195854168249093,0.0292281393755265
MM455_48h_lacZ_Con__200071760029_C_,0.240779394363881,-0.364901342578002,-0.0169329792256843,0.0889836648582004
MM455_48h_lacZ_Dox__200071760029_D_,0.22015619936011,-0.382761988476297,-0.0926572638048746,0.0814853656679577
MM603_24h_BRN2_Con__200071760029_E_,0.217539690009269,0.289292758010901,0.217865713807348,0.0214252908568888
MM603_24h_BRN2_Dox__200071760029_F_,0.191920144831887,0.23770903303281,0.355179678767909,0.00144374392641045
MM603_24h_lacZ_Con__200071760029_G_,0.263020766556981,0.603760247249934,0.629380312560216,0.0352045106047842
MM603_24h_lacZ_Dox__200071760029_H_,0.246308059501938,0.590146180812661,0.279830693940447,0.0116346848937802
MM603_48h_BRN2_Con__200071760029_I_,0.215532385425652,0.366375161391624,0.0292034821826047,0.0394493715395378
MM603_48h_BRN2_Dox__200071760029_J_,0.207129916722092,0.233963461373539,0.0604670224440153,-0.00327840802569346
MM603_48h_lacZ_Con__200071760029_K_,0.253474375830464,0.553706165358022,0.385627334031209,0.0723292374723388
MM603_48h_lacZ_Dox__200071760029_L_,0.246182315363093,0.617238011523703,0.569334219018918,0.0540096129521882
