Sample,Glycolysis scores,OXPHOS scores,FAO scores,HIF-1 scores
WM983A,1.12050009180076,2.00348498182216,-0.5812847189644,0.194145583825615
WM983ARES,1.39633518234352,1.95276302286997,0.414851898104793,0.222179735746086
WM983B,1.10870907867617,1.90032138415144,-0.636219762090278,0.196767477340034
WM983BRES,1.32474432178574,1.85397139330264,-0.531366448169043,0.229072605247102
WM278,1.24695837146093,1.8782990045996,0.0564751121005797,0.183902075820371
WM278RES,1.29522270041718,1.86970892158081,-0.0104750440622237,0.231040575446653
WM1617,1.35680429019816,2.10870907867617,0.468374513495468,0.195404329345935
WM1617RES,1.32906855207222,1.99466863289726,0.81964444958511,0.199502420656267
