"","Melanocytic","Transitory","Neural.crest.like","Undifferentiated"
"GSM700742",5.6178,1.1474,0.8186,-4.257
"GSM700743",6.7487,-2.8785,1.0242,-4.1319
"GSM700744",5.7864,-1.1445,7.1755,-2.9721
"GSM700745",3.4051,1.1696,0.6334,-5.5957
"GSM700746",8.4061,-0.7944,1.4049,-3.0187
"GSM700747",2.4982,1.8013,7.9632,1.0082
"GSM700748",0.391,-3.0584,5.1911,5.58
"GSM700749",1.174,-3.4392,5.9037,5.0497
"GSM700750",1.4649,-2.837,4.7985,4.9903
"GSM700751",1.1829,-2.4003,6.2829,5.2084
"GSM700752",0.6027,-2.555,4.5569,4.2039
"GSM700753",0.4356,-2.1834,4.8475,5.4057
"GSM833481",1.0973,-1.7966,6.813,5.8374
"GSM833482",-0.0144,-2.3532,6.1164,6.8452
"GSM833483",-0.0527,-2.6866,6.2937,7.0762
