"","Melanocytic","Transitory.Melanocytic","Transitory","Int.Neural.crest.like","Neural.crest.like","Undifferentiated.Neural.crest.like","Undifferentiated"
"X430MM",-2.1901,-0.9664,1.2346,1.7016,-1.2242,3.8561,1.7905
"X435MM",-1.7499,0.4179,0.8404,-0.3825,-1.4549,2.9048,1.416
"X437MM",-1.2173,-0.1462,0.5562,-0.3041,-0.3225,5.2281,2.1114
"X431MM",-2.2245,0.2629,1.1613,1.1738,-0.8738,3.9454,1.5222
"X432MM",-2.7125,0.3902,0.3801,0.6038,-1.0091,3.5752,2.0311
"X433MM",-1.3424,0.1566,0.5607,-0.037,-1.2671,3.294,2.8208
"X485MM",-1.8203,-0.899,-0.9283,-1.3026,-1.3691,3.3139,0.5519
"X503MM",4.6108,6.7062,0.1962,1.8295,-2.9299,0.5455,-3.9566
"X504MM",3.415,7.6916,0.9278,0.8748,-3.2519,-0.6112,-3.5489
"X507MM",-0.7741,-1.7825,0.4057,1.2706,0.8714,5.8585,0.207
"X508MM",-0.1133,0.0634,-1.2513,0.735,-2.7889,2.4601,-0.0894
"X509MM",3.3398,7.1243,0.6611,0.7927,-1.6071,0.3705,-3.0656
"X495MM",1.3847,3.8953,-1.2995,0.1407,-2.2348,0.2827,-2.0935
"X497MM",3.7855,7.8314,1.1095,0.8665,-2.6233,-1.2513,-2.8804
"X500MM",0.0637,-0.7119,-1.7773,-0.6638,-1.9699,1.722,0.34
"X501MM",2.4691,7.741,1.6706,1.3505,-2.6397,-1.3221,-4.5885
"X502MM",1.0091,6.6412,1.6422,1.4378,-1.9426,0.6188,-3.3408
"X487MM",1.5614,6.5545,0.0504,0.0982,-1.413,0.4129,-1.1482
"X489MM",0.3518,4.3541,1.8288,0.3,-1.2444,-0.0092,-1.8494
"X490MM",2.1794,4.9745,0.9906,1.5733,-1.0697,1.283,-2.3226
"X491MM",1.8853,6.3534,0.3386,1.2552,-3.7895,-1.0549,-4.3873
"X493MM",0.4566,4.3056,1.9858,-0.1916,-0.6933,1.9027,0.0349
"X496MM",0.8463,3.8474,-0.0887,0.6885,-1.5787,0.4051,-2.5545
"X498MM",-0.6385,-1.4071,-0.8713,-2.6232,-1.4654,0.8697,-0.3838
"X499MM",0.7134,6.078,0.6066,0.2831,-2.1825,0.3001,-2.9582
"X397MM",4.0435,5.782,-3.118,0.9338,-3.1251,-1.1517,-6.8525
"X440MM",4.9001,7.2975,-3.7492,0.3268,-4.1094,-3.1848,-9.1776
"X441MM",3.6763,4.9942,-2.3352,1.1893,-2.8126,-1.2366,-7.2076
"X459MM",5.8298,5.904,-1.8835,0.3558,-3.7018,-2.7398,-8.5773
"X460MM",6.6536,6.3477,-3.6423,-0.1227,-4.6729,-4.0802,-9.937
"X464MM",4.6273,5.7085,-2.4581,1.1862,-2.2929,-2.7899,-7.4288
"X465MM",5.7251,6.9937,-2.5009,-0.8324,-4.4727,-3.4441,-8.289
"X466MM",5.5005,6.0921,-3.2869,-0.3119,-4.8162,-3.683,-9.1313
"X468MM",5.5703,6.7861,-2.7609,-0.6628,-4.456,-3.455,-9.2573
"X469MM",5.5125,5.5482,-3.2878,0.457,-3.4286,-1.7067,-7.7357
"X472MM",4.732,6.5305,-3.0783,0.8225,-5.0867,-3.2459,-9.5771
"X475MM",5.5646,5.105,-3.626,0.7355,-3.7528,-3.2442,-8.7262
"X476MM",5.4852,5.8934,-2.9395,-0.0679,-4.4818,-3.5997,-8.3468
"X478MM",1.5329,0.9897,-1.5327,-1.2568,1.5764,3.1246,-0.2531
"X480MM",4.6184,5.953,-2.8766,0.4827,-3.6623,-1.9722,-8.5383
"X481MM",4.2434,5.862,-2.8913,0.1407,-4.8542,-2.4434,-8.7652
"X511MM",0.6569,8.2586,1.3646,1.663,-2.0164,-3.1604,-8.5214
"X512MM",5.8326,10.5387,-1.2458,-2.2448,-4.6439,-5.7768,-6.9661
"X392MM",6.1135,6.7087,-3.2771,-0.4162,-4.6096,-4.8657,-7.9149
"X405MM",3.6843,6.9216,-2.3276,-0.1295,-4.8848,-1.9813,-6.2357
"X407MM",4.9269,6.6063,-3.3555,0.3436,-4.7887,-3.0788,-8.284
"X409MM",4.9344,7.4633,-3.3235,0.0329,-4.4482,-2.6805,-8.5532
"X442MM",4.1122,6.0479,-3.5082,1.7102,-2.7351,-1.0905,-8.3389
"X443MM",4.7978,6.5084,-2.6107,0.5486,-4.1209,-2.0318,-9.0972
"X444MM",5.2142,7.7548,-2.7711,1.3301,-3.4554,-1.8803,-7.503
"X445MM",4.3678,5.6275,-2.8911,0.6138,-1.9441,0.0378,-7.0731
"X446MM",4.8892,6.0279,-3.0453,-0.6884,-3.0631,-2.0075,-7.9264
"X447MM",5.4438,7.1178,-3.0375,-0.5548,-3.8997,-3.7892,-8.8921
"X448MM",4.6329,7.0376,-2.0634,0.0041,-3.1452,-3.0685,-7.2161
"X449MM",2.6544,7.5246,-2.9,0.2208,-3.7584,-3.5512,-7.8817
"X450MM",2.5128,6.8757,-0.5488,-2.0865,-3.5838,-3.2393,-5.9864
"X452MM",3.7508,7.4691,0.4685,1.4043,-0.6265,1.6588,-2.6443
"X453MM",2.192,9.4927,1.6086,2.3574,-4.1354,-2.4673,-6.9663
"X454MM",1.6372,5.0411,-0.4775,1.8808,0.2334,2.8691,-2.3675
"X455MM",4.1248,5.4852,-0.9775,0.4148,-1.1755,1.6512,-1.3443
"X456MM",5.6846,6.2354,-2.7476,-0.5677,-4.1757,-1.6138,-8.4836
"X457MM",4.4063,6.8017,-3.4045,0.2553,-2.1215,-0.8688,-8.7663
"X461MM",5.6887,7.1387,-2.955,-0.1521,-4.0314,-3.4997,-8.7361
"X463MM",4.8485,5.8701,-3.2898,0.8759,-3.0886,-2.1494,-7.6917
"X470MM",5.0049,6.3892,-3.5592,-0.586,-4.7177,-4.0173,-8.5186
"X473MM",4.6764,6.2884,-3.0822,0.7008,-3.6948,-2.1613,-7.4438
"X477MM",4.7745,6.3275,-2.6161,-0.0462,-4.3584,-3.3539,-9.097
