"","Melanocytic","Transitory.Melanocytic","Transitory","Int.Neural.crest.like","Neural.crest.like","Undifferentiated.Neural.crest.like","Undifferentiated"
"GSM3484670_1",-2.422,-2.2595,-2.5705,0.5637,1.2021,4.7817,-2.7334
"GSM3484671_1",-4.3095,-1.9337,-2.062,0.5892,0.5862,5.04,-2.2941
"GSM3484672_1",-2.7714,-3.8463,-1.7207,0.1175,0.8241,3.4834,-2.4354
"GSM3484673_1",-3.9181,-2.8916,-2.3789,-0.1115,-0.1935,3.9697,-2.3884
"GSM3484674_1",-1.7874,-1.302,-3.468,0.2281,0.9326,2.7749,-2.4351
"GSM3484675_1",-3.7359,-2.6346,-3.3158,-0.8009,0.4156,4.1483,-2.2383
