"","Melanocytic","Transitory","Neural.crest.like","Undifferentiated"
"W239_siControl_rep1",2.1526,1.1672,-1.0656,-10.8388
"W239_siControl_rep2",3.1522,1.4133,-1.6894,-10.8934
"W239_siControl_rep3",2.7281,2.1652,-1.3544,-10.9358
"W239_siSTAT_rep1",3.2203,1.0091,-1.6545,-11.5791
"W239_siSTAT_rep2",3.1207,1.5311,-1.4957,-10.8795
"W239_siSTAT_rep3",2.7559,0.6141,-1.9978,-10.8045
"G1_siControl_rep1",4.9996,-3.4879,-1.3391,-9.1416
"G1_siControl_rep2",4.8471,-3.2432,-2.3902,-10.015
"G1_siControl_rep3",4.935,-3.3183,-1.2687,-9.9109
"G1_siSTAT_rep1",4.2514,-3.3263,-2.1831,-9.9957
"G1_siSTAT_rep2",5.072,-3.5151,-2.1487,-10.0885
"G1_siSTAT_rep3",4.7617,-3.3333,-1.9211,-9.925
