"","Melanocytic","Transitory.Melanocytic","Transitory","Int.Neural.crest.like","Neural.crest.like","Undifferentiated.Neural.crest.like","Undifferentiated"
"GSM207929",4.5025,8.6614,1.8188,1.7887,2.7553,1.3801,-4.6142
"GSM207930",2.5874,7.7785,0.8973,2.0863,-2.0621,-2.4995,-5.8674
"GSM207931",1.5187,9.9727,2.8882,3.775,1.2696,0.9708,-5.0202
"GSM207932",3.5913,4.9006,0.5023,-0.2335,0.4895,4.9643,0.6774
"GSM207933",5.3288,7.7017,0.4691,1.1419,0.1923,3.5064,0.7251
"GSM207934",3.4885,8.881,-0.7116,2.2756,0.2742,2.7992,-1.1679
"GSM207935",3.8539,9.9515,0.8185,1.218,-2.5523,0.8086,-4.4202
"GSM207936",3.5006,10.1626,2.5712,2.3458,0.9049,2.0612,-2.7447
"GSM207937",4.3287,8.7839,1.1177,2.66,1.5601,1.8094,-2.7672
"GSM207938",4.743,9.235,1.6222,2.7172,0.4838,3.16,0.2705
"GSM207939",4.9215,7.0271,-1.2124,1.4828,0.8588,3.8681,0.6748
"GSM207940",3.2653,8.2218,0.4524,1.9366,0.9624,4.1894,1.2951
"GSM207941",3.8909,4.2374,-0.9005,0.122,0.192,2.6249,0.8638
"GSM207942",4.3237,6.6166,-0.3573,1.2764,0.8471,3.8,1.4462
"GSM207943",2.9705,6.5933,0.6031,1.7043,0.8187,4.986,0.9772
"GSM207944",4.1211,3.5101,-0.8786,1.3197,1.2462,3.8304,0.9976
"GSM207945",5.4738,7.6698,0.132,1.5338,1.3757,3.9948,0.3399
"GSM207946",4.7429,7.3781,0.6176,1.9507,1.2234,4.1557,0.304
"GSM207947",2.3772,9.1418,0.0201,2.5508,-1.7224,0.1646,-6.5298
"GSM207948",4.6701,9.1704,-0.4448,0.855,0.1643,2.481,-2.4172
"GSM207949",4.2621,5.9284,-0.2183,0.4879,0.6658,3.1084,1.5874
"GSM207950",4.6641,7.3367,-1.14,1.4055,1.0228,2.4889,-0.2235
