"","Melanocytic","Transitory","Neural.crest.like","Undifferentiated"
"WM793",-4.8872,-0.8407,1.6389,-6.7036
"WM793_treated",-3.8675,-1.3126,1.8378,-2.8639
"WM793_P1N1_treated",-3.4964,-2.395,1.132,-2.0009
"WM793_P2N1_treated",-3.9935,-1.3394,1.2279,-2.4668
"X1205_Lu",-3.9228,-2.163,2.3753,-6.4911
"X1205_Lu_treated",-4.1027,-1.4767,1.811,-3.5676
