"","Melanocytic","Transitory.Melanocytic","Transitory","Int.Neural.crest.like","Neural.crest.like","Undifferentiated.Neural.crest.like","Undifferentiated"
"A375_Vector_Rep1",-2.2142,6.8765,-1.8622,1.1243,-3.5028,-4.6428,-9.7348
"A375_Vector_Rep2",-2.5124,7.8124,-1.8337,0.8371,-2.7162,-4.3459,-10.1925
"A375_Vector_Rep3",-2.5828,7.214,-2.5206,0.5775,-3.2873,-4.5998,-9.3034
"A375_ABCB5_KD_Rep1",-3.1586,6.8051,-1.763,-0.9134,-4.0177,-4.732,-9.1605
"A375_ABCB5_KD_Rep2",-3.3442,7.599,-1.1116,-0.0011,-2.792,-5.4144,-9.8598
"A375_ABCB5_KD_Rep3",-3.0386,6.6883,-1.4638,0.2143,-2.5741,-5.6932,-10.278
"G3361_Scrambled_Rep1",2.9173,9.3658,-5.6274,-2.7136,-4.318,-6.2676,-9.8977
"G3361_Scrambled_Rep2",2.8829,9.5953,-3.567,-2.875,-5.0428,-6.8401,-10.0376
"G3361_Scrambled_Rep3",3.1944,8.9973,-4.808,-2.4703,-4.3924,-6.0122,-10.5678
"G3361_ABCB5_KD_Rep1",2.7807,10.1656,-4.674,-2.8423,-5.9293,-8.0185,-10.2677
"G3361_ABCB5_KD_Rep2",2.5458,10.2657,-4.555,-2.6546,-5.786,-7.8981,-9.2242
"G3361_ABCB5_KD_Rep3",2.4277,9.8622,-4.4766,-1.774,-6.0205,-8.0849,-9.2378
