"","Melanocytic","Transitory","Neural.crest.like","Undifferentiated"
"M202_DMSO",6.6714,1.565,-2.7437,-10.3798
"M207_DMSO",6.5798,-0.6873,-2.5933,-9.1348
"M229AR_DMSO",-4.0906,-2.9214,-0.7914,12.8563
"M229_DMSO",0.2531,7.128,-0.8381,-9.1774
"M230_DMSO",11.9601,-3.104,-5.0496,-8.8179
"M233_DMSO",-4.0153,-2.9494,10.0074,-3.0046
"M238AR_DMSO",-4.0593,-3.0993,11.9511,2.2193
"M238_DMSO",-6.1208,3.3787,11.7116,-6.8756
"M243_DMSO",0.1193,-2.8904,8.1804,-8.1786
"M244_DMSO",-3.5436,-4.1659,1.7763,6.6042
"M245_DMSO",-3.4842,0.3501,8.7042,-5.4331
"M249AR_DMSO",10.0793,-1.6452,-2.8696,-9.4092
"M249_DMSO",8.7051,-0.7416,-2.247,-7.8865
"M255_DMSO",-2.8217,-2.9052,12.9569,-1.9636
"M257_DMSO",-5.3882,-4.1923,2.4621,7.4782
"M262_DMSO_2",8.6704,2.6354,1.0145,-10.425
"M263_DMSO",0.1392,5.2324,4.6651,-8.4441
"M285_DMSO",9.7446,-2.2804,-2.3739,-7.7079
"M296_DMSO",-5.0611,-4.1309,2.6252,8.0236
"M297_DMSO",0.399,6.0774,1.2518,-8.6301
"M308_DMSO",0.6337,6.649,-2.5722,-7.4727
"M311_DMSO",10.3348,-0.3552,-0.0733,-9.1999
"M318_DMSO",-5.3463,-3.3013,3.7009,9.7981
"M368_DMSO",5.7952,1.2542,-1.7163,-8.4149
"M370_DMSO",-2.7416,-2.0239,9.5855,0.9215
"M375_DMSO",-1.8831,6.9137,1.5232,-6.359
"M376_DMSO",2.3053,6.9306,3.0272,-6.979
"M376EAR_DMSO",3.391,4.2302,2.3773,-9.1614
"M381_DMSO",-5.9717,-4.0309,-1.7462,10.5383
"M395AR_dmso",-3.6729,7.223,3.1674,-10.8015
"M395_DMSO",-2.7538,6.9549,3.4553,-8.955
"M397AR_DMSO",2.8335,6.2838,3.263,-10.5171
"M397_DMSO",2.7893,6.1688,1.3223,-10.85
"M398_DMOS",4.0674,5.687,-0.3939,-8.2884
"M399_DMSO",-0.0954,5.1488,5.3406,-8.6372
"M402_DMSO",-6.2421,1.9202,10.8879,-9.5153
"M403_DMSO",9.7062,-0.3619,-1.4715,-9.9483
"M406_DMSO",-4.064,1.8547,5.2881,7.1324
"M407_DMSO",-4.1364,-2.9487,1.7412,13.0209
"M408_DMSO",6.8614,1.8397,-1.0909,-9.8328
"M409AR_DMSO",-3.9208,1.0557,13.0723,-8.0973
"M409_DMSO",-4.71,2.4026,11.9714,-9.2508
"M410_DMSO",-3.4916,-2.0203,1.8598,10.5042
"M411_DMSO",-3.3382,3.4433,12.0918,-5.0687
"M412a_DMSO",9.9458,-4.3388,-3.8583,-6.4318
"M412b_DMSO",11.4619,-4.8947,-3.8967,-7.0847
"M416_DMSO",8.0735,3.3207,4.469,-5.9291
"M417_DMSO",8.3366,0.3588,6.1502,-3.4137
"M418_DMSO",-0.6413,-2.182,9.9141,-1.0399
"M420_DMSO",-3.4165,-1.7181,11.0975,-3.4957
"M421_DMSO",9.7612,1.9678,0.6243,-7.1775
"M423_DMSO",-5.0627,1.1944,11.3995,-6.6341
"PB_DMSO",8.502,-1.9901,-0.6912,-6.4951
"Sbcl2_DMSO",-2.8334,-5.6432,-0.8269,6.1081
