"","Melanocytic","Transitory","Neural.crest.like","Undifferentiated"
"hiPSC_rep1",-2.4365,-2.121,2.1737,-3.3337
"hiPSC_rep2",-1.5635,-1.5941,-0.1358,-3.6809
"hiPSC_rep3",-1.0026,-0.9114,0.4018,-2.5588
"neural_crest_cells_rep1",-1.7011,1.4784,1.7029,-0.0492
"neural_crest_cells_rep2",-3.414,-0.8827,2.5889,2.1744
"neural_crest_cells_rep3",-0.5471,0.6943,2.2526,0.0234
"normal_human_melanocytes_rep1",8.8792,-0.851,-3.155,-10.5838
"normal_human_melanocytes_rep2",7.877,-0.5844,-1.4418,-10.0138
"normal_human_melanocytes_rep3",9.22,-0.3036,-2.0504,-10.9347
"human_melanoma_cell_line_HT144",-2.4601,1.6574,5.1416,-11.1647
"human_melanoma_cell_line_MZ7",7.5014,-1.7042,-1.3706,-10.6751
"human_melanoma_cell_line_A375",-6.4498,-4.967,1.8197,1.682
"human_melanoma_cell_line_MeWo",6.5449,-4.021,-3.408,-10.5412
"Skmel_28_human_melanoma_cell_line_clone_with_no_SETDB1_amplification",6.0252,1.5287,-2.7578,-11.1065
"human_melanoma_cell_line_SKmel103",-7.2175,-2.9846,3.6505,-1.6141
"control_MeWo_melanoma_cell_line_rep1",-6.9118,-3.5743,4.6022,-1.4198
"control_MeWo_melanoma_cell_line_rep2",-6.3217,-2.2503,4.5004,0.2004
"control_A375_melanoma_cell_line_rep1",-6.6183,-4.5773,2.0134,1.9494
"control_A375_melanoma_cell_line_rep2",-6.5796,-4.9678,2.7756,1.0337
"control_A375_melanoma_cell_line_rep3",-6.3886,-4.2265,0.1585,1.4669
"FOXD1_knockdown__1_MeWo_melanoma_cell_line_rep1",-5.6498,-3.0491,4.3561,-0.6646
"FOXD1_knockdown__1_MeWo_melanoma_cell_line_rep2",-4.9267,-2.2988,5.634,-0.5757
"FOXD1_knockdown__2_MeWo_melanoma_cell_line_rep1",-5.3184,-2.7549,4.377,-1.2992
"FOXD1_knockdown__2_MeWo_melanoma_cell_line_rep2",-5.3258,-2.2792,5.8872,-0.4732
"FOXD1_knockdown__1_A375_melanoma_cell_line_rep1",-6.3834,-3.946,0.9321,0.754
"FOXD1_knockdown__1_A375_melanoma_cell_line_rep2",-7.0911,-5.2733,1.2605,0.6843
"FOXD1_knockdown__1_A375_melanoma_cell_line_rep3",-6.7485,-5.4364,0.5695,-0.7089
"FOXD1_knockdown__2_A375_melanoma_cell_line_rep1",-5.7133,-5.5576,2.2562,2.1394
"FOXD1_knockdown__2_A375_melanoma_cell_line_rep2",-6.6765,-5.4868,2.0558,0.8249
"FOXD1_knockdown__2_A375_melanoma_cell_line_rep3",-6.1417,-4.468,1.9699,0.6948
