"","Melanocytic","Transitory","Neural.crest.like","Undifferentiated"
"merck_cd45negcd90neg_PL3_S247",1.9786,2.3338,1.5722,0.8535
"merck_cd45negcd90neg_PL3_S270",2.2679,3.5989,2.9604,0.1411
"merck_cd45negcd90neg_PL3_S268",3.6694,6.5921,2.2949,-2.1327
"merck_cd45negcd90neg_PL3_S241",2.9993,4.0088,2.0724,-2.0693
"merck_cd45negcd90neg_PL3_S195",3.4554,5.6434,2.6487,-3.1701
"merck_cd45negcd90neg_PL3_S223",4.0313,3.5815,1.977,-2.8041
"merck_cd45negcd90neg_PL3_S245",2.8336,5.4899,0.0547,-6.0209
"merck_cd45negcd90neg_PL3_S227",3.3991,0.12,4.7643,2.4003
"merck_cd45negcd90neg_PL3_S221",3.711,5.6363,2.4985,-4.1735
"merck_cd45negcd90neg_PL3_S275",2.0955,0.0549,2.7993,1.3594
"merck_cd45negcd90neg_PL3_S232",3.0868,3.64,2.1068,-1.1129
"merck_cd45negcd90neg_PL3_S250",3.9954,1.1902,2.1979,0.6362
"merck_cd45negcd90neg_PL3_S278",2.9635,3.8389,1.5791,-4.2216
"merck_cd45negcd90neg_PL3_S238",1.0885,0.4815,2.8139,-2.5721
"merck_cd45negcd90neg_PL3_S236",3.0226,3.2109,2.4839,1.4635
"merck_cd45negcd90neg_PL3_S231",4.5464,1.5866,3.0358,-0.3513
"merck_cd45negcd90neg_PL3_S197",3.1857,1.1418,3.5982,0.938
"merck_cd45negcd90neg_PL3_S277",4.1528,3.1921,2.1127,-0.9477
"merck_cd45negcd90neg_PL3_S202",2.7964,2.2362,2.4043,-1.4723
"merck_cd45negcd90neg_PL3_S204",3.9847,2.7162,4.0065,-2.7116
"merck_cd45negcd90neg_PL3_S213",4.166,3.6875,3.7712,-0.8926
"merck_cd45negcd90neg_PL3_S217",2.3239,5.6317,1.2626,-3.5799
"merck_cd45negcd90neg_PL3_S287",2.9452,3.1255,3.1732,0.868
"merck_cd45negcd90neg_PL3_S219",3.4728,3.1983,3.1816,-2.0366
"merck_cd45negcd90neg_PL3_S243",4.1912,1.4553,2.9243,-0.7879
"merck_cd45negcd90neg_PL3_S214",3.0491,4.3456,1.9735,-2.2008
"merck_cd45negcd90neg_PL3_S260",4.1884,3.0246,5.3372,0.9773
"merck_cd45negcd90neg_PL3_S211",2.7862,5.4223,1.6622,-1.7932
"merck_cd45negcd90neg_PL3_S276",4.5273,4.8774,0.4199,-5.6314
