"","Melanocytic","Transitory","Neural.crest.like","Undifferentiated"
"X223226",0.8489,-1.9871,-1.4837,-2.6872
"X223228",0.246,-2.1972,-0.7147,-3.6583
"X223232",0.3048,-2.5862,-1.8359,-4.3271
"X223245",1.1987,-2.297,-1.3521,-2.909
"X223238",0.2907,-2.1841,-0.9992,-3.769
"X223244",0.7495,-2.1966,-1.0234,-3.2319
"X223246",0.7111,-2.1114,-0.801,-3.3747
"X223248",0.2991,-2.2754,-1.6918,-3.9854
"X223240",0.2637,-2.4723,-1.4167,-3.4636
"X223241",1.2512,-1.2217,0.9534,-0.5965
"X223253",0.8036,-2.5456,-1.8231,-3.4202
"X223237",0.5084,-2.2632,-1.404,-2.536
"X223251",0.19,-2.4547,-1.6357,-3.1679
"X223235",0.0864,-2.1625,-1.0016,-3.7978
"X223252",0.3023,-2.7882,-1.9265,-3.4594
"X223239",0.3043,-2.2544,-1.6822,-2.923
"X223234",0.1796,-2.2377,-1.1507,-3.5278
"X223263",1.0753,-2.8279,-0.9846,-2.3984
"X223281",0.5326,-1.6756,-0.34,-2.1732
"X223291",1.0123,-1.6163,0.5348,-0.42
"X223312",1.4244,-0.7532,1.4938,-0.0821
"X223317",0.6897,-1.5705,0.4273,-0.8253
"X223326",1.0021,-2.23,-1.2536,-2.2881
"X223327",0.8307,-2.3117,-1.2727,-2.1302
"X223334",0.7885,-2.4539,-1.8419,-3.5775
"X223337",0.3022,-2.822,-2.5643,-3.7759
"X223273",1.0177,-2.6046,-1.3712,-2.7953
"X223280",1.0565,-2.2612,-1.0661,-2.9147
"X223267",0.4341,-2.6093,-1.3976,-3.7468
"X223266",0.5863,-2.7785,-1.8638,-3.7529
"X223301",0.6754,-2.3472,-1.1956,-1.6023
"X223277",0.1681,-2.1864,-2.2922,-4.3948
"X223296",0.5653,-2.5323,-1.8463,-3.1787
"X223330",0.3352,-2.5672,-1.4037,-3.622
"X223290",0.6128,-2.5709,-1.5254,-2.5656
"X223294",0.6723,-2.5272,-1.4211,-3.5969
"X223299",0.1132,-2.4719,-1.3141,-3.6666
"X223307",0.4795,-2.2634,-1.8257,-3.9162
"X223310",0.4455,-2.7963,-2.0106,-3.894
"X223315",0.3595,-2.882,-2.3031,-3.3124
"X223324",0.6758,-2.7297,-2.1985,-3.3328
"X223256",0.0827,-2.5277,-1.0016,-3.3332
"X223261",0.3024,-2.5181,-1.9637,-3.2417
"X223254",0.1494,-2.6926,-2.0775,-4.4237
"X223282",0.0714,-2.4598,-2.5714,-4.4734
"X223320",0.3876,-1.798,-1.1881,-2.8318
"X223323",0.6137,-2.7733,-1.6708,-3.4787
"X223298",0.6741,-2.1502,0.8356,0.4915
"X223308",1.0226,-2.1659,-1.0411,-2.6091
"X223305",0.8612,-2.4201,-1.9538,-3.5959
"X223274",0.8704,-1.6913,0.1707,-1.1116
"X223262",0.2816,-2.6803,-2.4164,-3.6449
"X223331",0.4868,-2.5903,-1.794,-3.8991
"X200370",0.9713,-2.5547,-1.6156,-3.694
"X200376",1.0363,-2.5015,-1.2835,-3.1126
"X200378",0.2881,-2.2381,-1.0474,-3.252
"X200372",0.5005,-2.3522,-1.5351,-3.2023
"X200381",0.7426,-2.3443,-1.5816,-3.1249
"X200373",0.6066,-2.4323,-1.0429,-2.6468
"X200375",-0.1851,-2.5326,-1.8319,-4.4171
"X200377",-0.0208,-2.7734,-2.0404,-4.4018
"X197451",0.9545,-1.94,-0.3475,-1.6753
"X197425",1.1032,-2.2908,-0.5853,-2.4967
"X197460",-0.1271,-1.5485,0.4447,1.5402
"X197443",1.3348,-0.8261,2.3742,1.6346
"X197431",1.0544,-2.6165,-1.3143,-2.4274
"X197426",0.7329,-2.7807,-1.6777,-3.6953
"X197432",0.8172,-1.8568,-0.7828,-2.9403
"X197438",1.3566,-2.0882,-0.6041,-2.5657
"X197435",0.9477,-1.9918,-0.1625,-1.3982
"X197462",0.624,-2.0562,-0.7041,-3.2819
"X197420",0.5771,-2.2121,-1.3709,-3.8722
"X197404",0.3975,-2.1015,-0.7427,-3.2989
"X197437",0.4819,-2.2062,-1.417,-3.7365
"X197441",0.4052,-2.3685,-1.3453,-3.8938
"X197444",0.6025,-2.4661,-1.5142,-4.5111
"X197434",0.3668,-2.909,-1.8031,-4.1485
"X197429",-0.0376,-2.3812,-1.298,-3.0511
"X197436",-0.1362,-2.8475,-1.5932,-4.8668
"X197409",0.7167,-2.6396,-1.636,-3.6405
"X197442",0.266,-1.4031,2.5927,1.0943
"X197456",0.7748,-1.685,0.3801,-0.3423
"X197454",0.4542,-2.101,-0.8307,-3.4306
"X197446",0.8027,-1.7829,-0.5145,-1.1574
"X197461",0.7079,-2.5448,-1.7631,-3.2832
"X197463",0.9202,-1.6977,-0.7778,-1.0248
"X189746",0.5014,-1.9549,-0.5107,-3.1123
"X189747",0.3661,-2.5164,-2.0004,-3.4165
"X189748",0.1519,-2.7053,-2.4139,-4.8669
"X189749",0.0433,-2.2446,-1.7606,-5.0943
