"","Melanocytic","Transitory","Neural.crest.like","Undifferentiated"
"total_RNA_from_melanocyte__1_",-0.6334,-2.5717,1.7032,10.9483
"total_RNA_from_melanoma__2_",-1.3318,1.3266,2.3111,1.6163
"total_RNA_from_melanocyte__3_",-2.7584,-3.158,-3.7727,6.5285
"total_RNA_from_melanoma__4_",0.8474,0.7868,4.5771,11.7915
"total_RNA_from_melanocyte__5_",1.1933,-3.2063,-5.7654,-6.9128
"total_RNA_from_melanocyte__6_",0.7536,-2.1179,7.4397,2.6008
"total_RNA_from_melanocyte__7_",0.4851,-2.1039,2.0123,2.0015
"total_RNA_from_melanoma__8_",1.9607,3.5093,-1.7544,-5.2492
"total_RNA_from_melanoma__9_",-3.7902,1.6109,-3.0799,-5.5725
"total_RNA_from_melanoma__10_",-1.6845,-2.3553,-4.8732,-6.4386
