"","Melanocytic","Transitory","Neural.crest.like","Undifferentiated"
"MZ7_siNT_untreated_rep1",5.8782,-1.0325,-0.7828,-10.9729
"MZ7_siMITF_TNF100_rep1",0.3997,-0.6858,4.5075,-8.2928
"MZ7_siNT_TNF10_rep1",5.7647,-2.2586,-0.5126,-10.8891
"MZ7_siMITF_TNF1000_rep1",1.0497,-1.2665,4.6042,-9.8744
"MZ7_siNT_TNF100_rep1",5.8834,-1.3055,-0.7462,-11.8685
"MZ7_siNT_TNF1000_rep1",5.2849,-1.0152,0.9325,-11.0791
"MZ7_siMITF_untreated_rep1",1.5135,-0.0753,1.6252,-10.5624
"MZ7_siMITF_TNF10_rep1",0.8886,-0.1412,3.2962,-10.1637
"MZ7_siNT_untreated_rep2",6.4228,-1.2592,-2.1565,-10.6334
"MZ7_siMITF_TNF100_rep2",2.3774,-1.1646,3.6717,-9.9919
"MZ7_siNT_TNF10_rep2",5.8677,-1.6845,0.0375,-11.3374
"MZ7_siMITF_TNF1000_rep2",0.386,-0.9596,4.0065,-10.3088
"MZ7_siNT_TNF100_rep2",6.3869,-1.6971,0.4402,-11.5017
"MZ7_siNT_TNF1000_rep2",5.3957,-1.1674,-0.417,-10.2127
"MZ7_siMITF_untreated_rep2",1.6203,0.4914,2.6055,-10.37
"MZ7_siMITF_TNF10_rep2",0.3828,-1.1767,4.5029,-10.0248
