"","Melanocytic","Transitory.Melanocytic","Transitory","Int.Neural.crest.like","Neural.crest.like","Undifferentiated.Neural.crest.like","Undifferentiated"
"TCGA.3N.A9WB.06A.11R.A38C.07",7.1694,13.0644,2.1825,2.3343,-0.0987,1.1874,-6.8179
"TCGA.3N.A9WC.06A.11R.A38C.07",5.0237,11.8283,0.4669,4.1484,2.1127,3.9559,-3.9911
"TCGA.3N.A9WD.06A.11R.A38C.07",5.1274,10.9153,4.1676,4.5839,4.0132,4.1987,0.4232
"TCGA.BF.A1PU.01A.11R.A18S.07",7.5266,16.0603,3.4434,5.4375,2.0028,2.6085,-5.2024
"TCGA.BF.A1PV.01A.11R.A18U.07",5.1629,12.4603,2.6381,3.6038,2.9,4.6668,-5.3563
"TCGA.BF.A1PX.01A.12R.A18T.07",6.7784,12.3813,4.8174,6.2631,3.6957,6.0159,0.9919
"TCGA.BF.A1PZ.01A.11R.A18S.07",9.3887,15.3706,3.6389,2.4684,1.0783,0.1404,-6.7794
"TCGA.BF.A1Q0.01A.21R.A18S.07",1.5317,5.0148,0.3342,5.0501,5.0739,8.698,-3.5396
"TCGA.BF.A3DJ.01A.11R.A20F.07",4.7643,12.0549,7.2394,6.4927,4.1283,4.8839,-3.1492
"TCGA.BF.A3DL.01A.11R.A20F.07",10.8009,14.8234,2.1463,3.0741,2.4646,4.0297,-4.746
"TCGA.BF.A3DM.01A.11R.A20F.07",4.4159,13.5938,5.7576,6.6396,3.6528,2.4675,-6.5778
"TCGA.BF.A3DN.01A.11R.A20F.07",4.4874,14.5995,6.8549,8.0477,3.4644,4.0755,-6.5981
"TCGA.BF.A5EO.01A.12R.A27Q.07",7.2452,13.2029,4.4195,5.0883,3.4361,4.2364,-2.548
"TCGA.BF.A5EP.01A.12R.A27Q.07",8.0807,15.2235,3.2813,6.4316,3.458,3.3943,-7.7154
"TCGA.BF.A5EQ.01A.21R.A27Q.07",7.5463,13.0342,2.1074,3.9938,2.6823,3.9545,-4.944
"TCGA.BF.A5ER.01A.12R.A27Q.07",8.9098,13.0672,0.5674,1.9729,-1.2672,2.2838,-4.8064
"TCGA.BF.A5ES.01A.11R.A27Q.07",9.8458,14.4342,-1.0489,1.2874,0.874,2.5505,-5.7272
"TCGA.BF.A9VF.01A.11R.A37K.07",10.8116,15.6181,0.3265,2.4213,-1.2129,-0.3183,-4.6699
"TCGA.BF.AAOU.01A.12R.A39D.07",4.9614,13.5069,3.4276,6.2895,4.3332,5.7185,-4.146
