"","Melanocytic","Transitory","Neural.crest.like","Undifferentiated"
"GSM162902",-7.2405,-0.2071,7.5874,-4.8829
"GSM162904",-3.5641,-4.8892,-0.0076,1.1213
"GSM162905",-2.8362,4.5564,6.0995,-7.5429
"GSM162906",2.388,-0.1895,1.1866,-7.3672
"GSM162928",9.3416,-3.7915,-3.3365,-8.5026
"GSM162929",9.0363,-1.2577,-0.311,-8.721
"GSM162930",0.5048,3.3455,9.0174,-5.6355
"GSM162931",-3.4271,3.3469,3.9482,-8.0497
"GSM162932",3.3724,-1.3358,-0.6421,-6.8141
"GSM162933",7.6133,-2.5888,2.4236,-4.7769
"GSM162934",-2.6311,-4.0668,0.7228,2.8981
"GSM162935",7.3983,0.0254,0.5752,-9.8836
"GSM162936",7.7044,0.2228,-1.5019,-9.5914
"GSM162937",4.676,-0.9302,0.8852,-6.6582
"GSM162938",1.4794,-0.6543,3.3887,-7.8364
"GSM162939",2.7619,3.118,2.9018,-9.0729
"GSM162940",3.176,1.2621,-0.593,-7.1865
"GSM162941",-4.7737,1.3184,9.0422,-3.7478
"GSM162942",-0.4629,4.7606,7.5633,-7.1626
"GSM162943",7.5465,-3.7756,-3.4822,-9.7291
"GSM169524",-3.4113,-3.0382,6.3392,-3.2562
"GSM169525",7.4256,-1.1471,-3.1562,-8.7265
"GSM169526",-5.1734,-2.0185,0.48,4.6576
"GSM169527",3.2728,2.3865,2.9173,-9.4373
"GSM169528",5.3549,-6.3911,1.8344,-5.6335
"GSM169529",-0.7843,0.8748,7.3179,-4.0453
"GSM169530",5.1681,-4.2314,0.7785,-9.2763
"GSM169531",7.7425,-0.0674,-0.1578,-6.7921
"GSM170588",8.2343,-2.7013,-3.7794,-7.3323
"GSM170589",-5.4301,0.5026,9.9422,-4.4616
"GSM170590",6.1386,1.5116,-3.8654,-9.0584
"GSM170591",0.0664,2.0913,4.7405,-3.8212
"GSM170592",-2.8237,-1.0743,4.1303,5.4666
"GSM170593",-0.495,2.1223,6.0472,-7.4403
"GSM170594",7.6999,0.4887,0.1178,-7.5733
"GSM170595",6.7291,-3.7915,-2.1067,-9.0527
"GSM170596",-6.1469,-5.4921,2.6151,4.6878
"GSM170597",6.6532,-1.5388,-2.5688,-7.6723
"GSM170823",2.8251,3.4754,3.2288,-8.4653
"GSM170833",2.5906,3.7606,3.4747,-6.4725
"GSM170835",6.0772,-3.2402,-2.3293,-8.906
"GSM170841",5.8612,-0.1432,0.9072,-9.3556
"GSM170843",-3.8927,1.1807,7.6244,-5.4021
"GSM170844",2.3984,3.7632,3.9179,-9.5903
"GSM170848",8.3977,-1.689,-0.1969,-5.6942
"GSM170849",6.9574,-1.1451,-0.8635,-9.1021
"GSM170850",7.1902,-2.8486,-1.8271,-7.5322
"GSM170853",-1.7391,1.9907,5.8919,-3.4044
"GSM170855",-6.142,-1.0364,8.646,-2.7301
"GSM170857",-2.0988,4.1935,8.1518,-6.7166
"GSM170858",1.8821,2.2731,5.6047,-3.4681
"GSM170862",10.346,-2.9074,-0.4974,-8.8147
"GSM170865",6.0841,-0.9862,1.6007,-9.2929
"GSM170866",-6.4404,-2.9697,8.0731,-0.2129
"GSM170867",7.8676,-3.4767,-0.9851,-10.5797
"GSM170978",4.1673,-0.8259,1.4677,-5.7873
"GSM170979",7.4734,-2.7878,-0.3804,-7.1609
"GSM170980",5.0533,-1.5148,1.9716,-5.8526
"GSM170983",-3.3811,4.5288,3.413,-6.1344
"GSM170992",6.8748,1.4315,0.7819,-8.5127
"GSM171011",5.1141,-1.8978,-0.269,-7.8003
"GSM171012",7.0839,0.444,2.0939,-8.455
"GSM171597",-4.3833,3.1044,4.5923,-7.6042
