"","Melanocytic","Transitory.Melanocytic","Transitory","Int.Neural.crest.like","Neural.crest.like","Undifferentiated.Neural.crest.like","Undifferentiated"
"SLM8_adherent_cells__gene_expression_1",4.6435,12.6392,0.4898,3.0148,-4.0933,-7.8086,-11.1064
"SLM8_adherent_cells__gene_expression_2",4.2689,12.2625,0.7294,2.7342,-2.5041,-5.0722,-8.4228
"SLM8_adherent_cells__gene_expression_3",4.0201,13.6176,0.6238,3.385,-3.8575,-7.0776,-10.8398
"SLM8_spheroid_cells__gene_expression_1",5.2687,13.9353,1.4332,3.3643,-2.4186,-5.8978,-11.1904
"SLM8_spheroid_cells__gene_expression_2",5.2147,13.0804,1.6168,3.2414,-1.5932,-4.7891,-9.7048
"SLM8_spheroid_cells__gene_expression_3",5.5198,13.7992,1.5622,3.7876,-2.4138,-5.4954,-10.9242
"Mela1_adherent_cells__gene_expression_1",7.2136,9.4522,-3.0604,-4.5376,-4.6399,-7.9428,-9.7144
"Mela1_adherent_cells__gene_expression_2",7.137,10.0205,-3.2201,-4.6181,-5.3497,-8.0599,-9.656
"Mela1_adherent_cells__gene_expression_3",7.7538,10.6664,-3.3177,-4.4619,-5.9921,-8.3979,-9.6804
"Mela1_spheroid_cells__gene_expression_1",8.5681,12.286,-1.2203,-2.6547,-3.5812,-8.1728,-10.2489
"Mela1_spheroid_cells__gene_expression_2",8.3837,11.5562,-0.7481,-2.1288,-3.5422,-7.3654,-9.6669
"Mela1_spheroid_cells__gene_expression_3",8.7388,11.2237,-1.3145,-2.4403,-3.8863,-9.1339,-10.4385
