"","Melanocytic","Transitory.Melanocytic","Transitory","Int.Neural.crest.like","Neural.crest.like","Undifferentiated.Neural.crest.like","Undifferentiated"
"X451Lu_bulk_parental_rep1",8.8967,15.3116,0.7797,2.0637,-5.2834,-8.3151,-10.5571
"X451Lu_bulk_parental_rep2",8.6577,15.5517,-0.5635,1.263,-5.8337,-7.7126,-10.9113
"X451Lu_bulk_resistant_rep1",7.3349,16.1107,1.9645,2.6351,-5.2952,-7.3468,-11.4422
"X451Lu_bulk_resistant_rep2",7.1596,15.9813,1.2239,2.8045,-4.8302,-7.7627,-11.109
"A375_bulk_parental_rep1",-4.4662,-2.4773,-1.9409,6.1601,7.9813,8.8339,-3.0738
"A375_bulk_parental_rep2",-4.7992,-2.5351,-1.5004,6.4403,8.1759,8.4183,-3.7938
"A375_bulk_resistant_rep1",-4.6313,-1.8761,-3.8738,3.5841,2.3073,11.727,5.6838
"A375_bulk_resistant_rep2",-4.7693,-2.097,-3.7829,3.0986,0.8963,11.5109,4.8255
