"","Melanocytic","Transitory","Neural.crest.like","Undifferentiated"
"GSM183218",3.897,-0.0383,5.5091,7.5679
"GSM183219",4.7011,-0.4673,6.595,7.3203
"GSM183220",4.1831,-0.0341,5.5109,6.5541
"GSM183221",3.1959,0.0152,5.4897,6.8635
"GSM183222",5.2958,-0.2255,4.532,5.7899
"GSM183223",5.4582,0.8146,3.9854,5.076
"GSM183224",3.0204,1.5996,5.7713,6.2132
"GSM183225",5.4322,1.1492,4.928,6.2809
"GSM183226",10.1727,-1.303,-0.2058,-3.5046
"GSM183227",10.1861,-1.86,1.6545,-2.3951
"GSM183228",9.6019,-0.5191,3.2907,-0.1094
"GSM183229",9.1987,-0.6397,2.2724,0.5474
"GSM183230",8.8778,-0.8437,2.0395,-2.153
"GSM183231",9.8401,-1.2744,1.0529,-3.5992
"GSM183232",10.2545,0.6882,3.5324,-3.9148
"GSM183233",10.0697,2.0922,3.2886,-3.9394
"GSM183235",8.9655,2.4596,2.6432,-2.9726
"GSM183236",4.2963,0.3108,5.7874,7.308
"GSM183237",3.3954,0.5033,4.7388,5.7888
"GSM183238",3.2032,0.4655,4.0324,5.9823
"GSM183239",2.9942,-0.2444,4.5164,7.1196
"GSM183240",3.4609,-0.6036,4.5692,6.1709
"GSM183241",4.1181,0.0042,5.0428,6.6659
"GSM183242",3.6958,0.8865,4.8817,5.791
"GSM183243",2.7045,0.6771,4.9541,6.6368
"GSM183244",4.3071,-0.258,4.6152,4.689
"GSM183245",4.7185,0.5852,5.6178,6.9641
"GSM183246",4.9813,0.9951,5.4746,7.6596
"GSM183247",4.0916,0.4877,5.9021,6.2079
"GSM183248",2.9268,0.467,4.7622,6.2747
"GSM183249",3.7797,0.5995,6.3488,7.1149
"GSM183250",2.5241,0.4314,5.781,6.0755
"GSM183251",2.6234,-1.3342,6.921,4.5466
"GSM183252",6.3368,-0.0047,1.0743,-2.6044
"GSM183253",4.3784,1.2221,6.2191,-0.5338
"GSM183254",4.4773,2.2378,5.9883,6.9145
"GSM183255",6.8345,1.7216,3.1738,-1.01
"GSM183256",-1.9781,2.8015,7.2786,-2.6492
"GSM183257",10.9903,1.143,3.038,-2.9491
"GSM183258",8.5617,2.924,2.3035,-2.501
"GSM183259",9.8061,2.299,2.4844,-1.5826
"GSM183260",8.3744,0.8822,2.9134,-1.3427
"GSM183261",3.6925,2.5198,5.69,2.2207
"GSM183262",5.2604,1.591,7.2921,5.5569
"GSM183263",6.7735,1.7487,4.7499,3.5858
"GSM183264",5.7779,3.1249,6.2304,5.9167
"GSM183265",8.7936,2.0036,3.2702,1.0569
"GSM183266",5.268,1.7154,6.8162,5.367
"GSM183267",4.2814,0.5907,6.9365,7.6303
"GSM183268",3.3107,0.1346,6.0648,8.4288
"GSM183269",4.2825,-0.162,4.0102,7.2871
"GSM183270",4.5274,-0.4611,5.2644,6.9325
"GSM183271",4.0176,-0.1615,4.7296,6.7223
"GSM183272",4.764,0.0561,5.2095,6.4631
"GSM183273",5.2898,1.5246,4.8605,1.064
"GSM183274",-0.9675,3.0631,6.2877,1.2104
"GSM183275",7.7433,0.733,2.7831,0.2802
"GSM183276",4.4865,3.1548,6.7765,2.2969
"GSM183277",-4.552,3.9086,5.0257,-4.4213
"GSM183278",5.9114,1.3401,4.3189,-1.6221
"GSM183279",7.9272,0.7275,3.337,2.5953
"GSM183280",4.8362,1.2074,4.9623,-1.6832
"GSM183281",7.0111,0.8303,3.2748,-0.7
"GSM183282",0.4656,0.1209,7.7481,1.0852
"GSM183283",2.7866,2.3809,3.7885,-0.6229
"GSM183284",4.9701,-0.0124,4.0381,-0.2581
"GSM183285",7.8411,0.8999,5.5581,1.7881
"GSM183286",10.3981,-0.6884,1.9857,-2.5905
"GSM183287",11.4234,-0.8969,2.1427,-2.6113
"GSM183288",5.905,4.9935,4.466,-1.0497
"GSM183289",6.6234,1.7434,3.9479,-1.5019
"GSM183290",8.0959,1.4524,4.8912,1.4219
"GSM183291",0.1137,2.0786,8.2313,-0.2178
"GSM183292",3.5795,5.0785,5.2817,-2.8635
"GSM183293",7.973,0.2758,4.1834,-2.8991
"GSM183294",-1.5717,4.6394,4.723,-1.566
"GSM183295",6.817,2.9953,6.0554,0.0612
"GSM183296",-2.8439,2.7759,6.8536,-4.3994
"GSM183297",7.8983,2.7427,2.9038,-3.8685
"GSM183298",9.3206,3.4782,3.2194,-1.4665
