"","Melanocytic","Transitory","Neural.crest.like","Undifferentiated"
"GSM4969251",0.146,6.2441,4.7629,-8.4265
"GSM4969252",1.9722,6.3601,4.495,-9.3915
"GSM4969253",0.5053,6.2898,4.8853,-9.3718
"GSM4969254",1.8198,5.7566,4.2993,-10.6504
"GSM4969255",2.0605,5.155,4.2764,-9.3294
"GSM4969256",0.8531,6.2363,4.7571,-8.8908
"GSM4969257",1.558,6.5874,2.845,-8.2249
"GSM4969258",1.2548,5.4467,4.2541,-9.4843
"GSM4969259",1.0911,5.4449,3.98,-9.2912
"GSM4969260",4.0976,6.1951,2.5834,-8.0974
"GSM4969261",2.904,6.573,3.6703,-8.1806
"GSM4969262",3.5401,6.5158,3.4551,-10.294
"GSM4969263",4.426,6.9152,2.9306,-9.5541
"GSM4969264",0.4769,5.5798,4.2275,-8.7834
