"","Melanocytic","Transitory.Melanocytic","Transitory","Int.Neural.crest.like","Neural.crest.like","Undifferentiated.Neural.crest.like","Undifferentiated"
"GSM276723",-4.1122,-1.5583,-0.1298,6.2203,9.7919,13.0765,3.729
"GSM276724",-4.9301,4.0719,-3.5763,3.4681,3.6637,4.9308,-2.411
"GSM276725",0.571,8.3767,-2.7034,3.4868,5.2474,6.5268,-5.0892
"GSM276726",0.319,7.7934,2.7526,5.6913,6.3767,11.3854,1.2535
"GSM276727",-5.8075,2.4626,1.7015,6.6461,10.6407,9.8405,-8.0365
"GSM276728",-5.5613,3.1345,1.6032,4.808,8.8135,9.8423,-6.32
"GSM276729",7.4843,11.2712,0.5346,-0.9069,-0.0501,-0.647,-7.7268
"GSM276730",-5.3869,3.4831,1.2002,5.8852,6.4178,10.701,-0.1655
"GSM276731",-6.0231,-4.989,-5.3875,0.1476,4.7599,12.8264,6.2303
"GSM276732",5.6588,14.2143,0.8951,4.3716,2.3816,-1.4145,-7.9151
"GSM276733",1.6052,9.5096,-0.1375,0.0491,-1.6984,-1.7245,-7.6185
"GSM276734",-3.3061,-3.2414,-2.7128,1.461,8.1528,15.4418,8.8034
"GSM276735",-4.6004,-4.9526,-5.1281,-3.1938,0.9558,9.9382,0.6276
"GSM276736",-4.1607,3.4024,-1.5363,3.5188,4.3428,8.0812,-2.1847
"GSM276737",7.9343,15.5141,-1.4351,0.1586,-1.3856,-4.7811,-7.4549
"GSM276738",5.3925,15.3774,1.7595,4.5771,3.1422,-1.4496,-8.7715
"GSM276739",8.5567,12.881,1.4198,0.9427,-0.3061,-0.9423,-9.0685
"GSM276740",9.8352,12.0682,-1.8545,-1.6306,-1.3293,-0.9662,-7.7429
"GSM276741",1.8663,11.4284,0.788,1.1328,-1.7557,-2.8477,-7.3609
"GSM276742",6.7422,14.2801,0.6626,1.4759,0.9099,-2.5092,-9.283
"GSM276743",8.4332,13.1897,0.6552,2.8912,0.8092,0.089,-9.1933
"GSM276744",4.6127,10.9893,-4.344,1.984,2.1591,4.0504,-5.029
"GSM276745",3.3202,10.4214,-1.9188,3.7944,3.7872,5.8999,-4.9016
"GSM276746",-6.1515,-2.1816,-4.4428,-0.2868,1.4131,10.7693,2.5988
"GSM276747",7.5567,14.7901,0.6789,0.19,-1.793,-5.2051,-10.5496
"GSM276748",2.1016,11.1951,1.3207,6.1406,3.3623,3.8135,-5.6687
"GSM276749",-6.9957,-4.6269,-3.9587,3.5533,7.6921,12.147,-1.0118
"GSM276750",9.0336,13.1806,-1.428,1.3347,0.5698,-1.0212,-4.1834
"GSM276751",5.2687,11.3621,-0.846,1.4528,0.2068,-2.0432,-7.8252
"GSM276752",1.9319,9.6756,0.8824,5.6121,6.9075,5.2907,-5.743
"GSM276753",-1.1115,9.0048,0.0633,6.1361,7.3215,6.4966,-5.8178
"GSM276754",-2.1214,11.7068,4.102,6.8459,2.5549,-0.4313,-7.3394
"GSM276755",-2.1977,3.3683,-0.0776,5.7834,8.8774,11.6155,-2.5938
"GSM276756",8.3604,12.0819,-3.9157,-0.8035,0.4142,-2.1934,-7.3673
"GSM276757",-4.5181,7.1243,5.3535,7.3132,8.0265,6.4243,-7.0731
"GSM276758",-5.7111,-1.5382,-1.1106,5.8187,8.9474,11.2912,-4.2126
"GSM276759",-0.2964,7.9984,1.7361,5.4695,9.236,7.9414,-8.3364
"GSM276760",-2.2486,8.6173,-0.6338,1.9525,0.7171,-0.918,-6.97
"GSM276761",1.5782,11.3202,-0.0923,1.3308,-1.6314,-3.1351,-8.758
"GSM276762",-1.9242,8.4519,4.8405,6.8175,7.3832,10.6337,-4.4689
"GSM276763",6.2084,13.7397,3.3337,5.5654,5.5419,3.9193,-7.1602
"GSM276764",-3.4911,8.0115,4.702,8.259,6.9233,2.8413,-8.5216
"GSM276765",6.6722,13.6468,-0.3423,1.3197,0.9691,-1.6041,-6.3683
"GSM276766",-2.9564,7.9376,0.5678,3.3486,5.0637,2.2304,-6.6846
"GSM276767",4.3132,10.4204,0.8777,3.78,3.6741,2.7404,-8.5198
"GSM276768",4.2517,14.2335,2.7301,4.0546,-2.9389,-3.182,-8.2659
"GSM276769",-1.7102,6.6547,1.0951,4.5234,8.3163,9.0746,-3.9048
"GSM276770",4.2305,14.3502,5.8299,5.6711,2.0727,-2.5874,-7.9689
"GSM276771",-6.23,-1.1701,-0.8783,5.8209,7.1898,8.2282,-4.6946
"GSM276772",8.7684,16.0524,-0.8856,0.4737,-2.2686,-3.7211,-7.2027
