"","Melanocytic","Transitory.Melanocytic","Transitory","Int.Neural.crest.like","Neural.crest.like","Undifferentiated.Neural.crest.like","Undifferentiated"
"X451Lu_sc_par_cell_1",5.1632,10.4583,-2.0642,-2.8704,-3.9363,-5.342,-7.9282
"X451Lu_sc_par_cell_2",-1.3815,-0.936,-3.3722,0.4373,1.6714,2.2843,-6.4801
"X451Lu_sc_par_cell_3",2.5062,5.4368,-2.63,0.444,-0.3439,-1.1652,-3.6094
"X451Lu_sc_par_cell_4",-1.2999,3.0866,-3.5676,0.2755,0.4275,1.4129,-6.137
"X451Lu_sc_par_cell_5",-0.8607,1.4191,-2.0705,2.8703,3.4473,3.2219,-6.7822
"X451Lu_sc_par_cell_6",4.4922,8.8248,-4.6645,-2.8083,-4.5921,-6.8391,-8.1822
"X451Lu_sc_par_cell_7",6.2416,11.4007,-4.3547,-3.0493,-4.0891,-7.3699,-8.8716
"X451Lu_sc_par_cell_8",1.769,6.667,-3.3895,0.3054,-1.4242,-3.5353,-8.0245
"X451Lu_sc_par_cell_9",-0.4329,3.2866,-3.7947,-0.8082,-0.8403,-2.3749,-8.9603
"X451Lu_sc_par_cell_10",-0.4727,4.2196,-2.5093,-1.793,-1.3192,-2.2715,-6.8992
"X451Lu_sc_par_cell_11",-0.265,0.0684,-3.7763,-0.5545,-0.8177,2.9597,-3.5789
"X451Lu_sc_par_cell_12",4.4596,8.0083,-1.8887,-1.6314,-1.4173,-3.1374,-9.7724
"X451Lu_sc_par_cell_13",-1.1201,0.5702,-4.738,0.8431,1.5726,1.9644,-7.9062
"X451Lu_sc_par_cell_14",7.1975,10.7376,-2.2985,-2.9773,-3.9434,-5.5503,-7.5432
"X451Lu_sc_par_cell_15",-1.8378,-0.1987,-3.592,-0.0067,0.8436,2.4132,-5.9698
"X451Lu_sc_par_cell_16",2.5957,7.5179,-2.8465,-2.3238,-3.8368,-5.5043,-8.2011
"X451Lu_sc_par_cell_17",-1.301,0.948,-3.0318,0.0176,1.3516,2.5947,-6.6712
"X451Lu_sc_par_cell_18",-1.2355,-0.3477,-3.8138,-1.8409,1.2282,1.0438,-5.952
"X451Lu_sc_par_cell_19",6.6015,10.5227,-2.3115,-0.6488,-2.428,-5.8334,-6.3397
"X451Lu_sc_par_cell_20",3.8591,9.3493,-1.9169,-0.5956,-2.037,-3.6426,-7.5672
"X451Lu_sc_par_cell_21",-1.2331,-0.5155,-5.0955,-0.7873,-1.7197,1.0479,-7.4423
"X451Lu_sc_par_cell_22",1.4542,3.8451,-3.4193,-1.298,-2.5617,-2.5083,-6.9834
"X451Lu_sc_par_cell_23",5.4086,10.0013,-4.1858,-3.0538,-3.2071,-4.203,-7.3465
"X451Lu_sc_par_cell_24",1.1197,6.7929,-1.7328,-0.4921,-1.6578,-2.6994,-7.4063
"X451Lu_sc_par_cell_25",1.6116,4.9294,-2.923,1.3382,-0.0944,-0.2505,-3.2875
"X451Lu_sc_par_cell_26",3.7431,7.982,-3.6138,-3.2136,-3.4004,-4.8858,-7.1729
"X451Lu_sc_par_cell_27",1.0861,5.7587,-2.9048,-2.2857,-2.6261,-4.8742,-7.086
"X451Lu_sc_par_cell_28",6.5397,10.7144,-3.1959,-2.4784,-4.4962,-7.1579,-8.3927
"X451Lu_sc_par_cell_29",-1.3433,2.9994,-4.1103,-2.4163,-2.1763,-1.3305,-7.3255
"X451Lu_sc_par_cell_30",4.8001,9.5379,-2.0995,-2.9352,-2.5461,-5.4214,-8.9887
"X451Lu_sc_par_cell_31",4.5757,10.3588,-1.7188,-2.4216,-4.6988,-6.6622,-9.673
"X451Lu_sc_par_cell_32",-2.7307,2.9022,-2.0788,2.1296,2.0242,-0.4949,-8.7644
"X451Lu_sc_par_cell_33",5.7253,10.2322,-1.4088,-0.3074,-0.9511,0.0209,-2.6691
"X451Lu_sc_par_cell_34",5.3738,10.0507,-3.2957,-0.9385,-3.1384,-6.1074,-7.4229
"X451Lu_sc_par_cell_35",0.5729,3.5472,-1.9949,-0.6026,-0.4691,-1.9002,-6.0849
"X451Lu_sc_par_cell_36",1.2546,8.1565,-3.3738,-1.365,-3.5923,-4.5325,-6.501
"X451Lu_sc_par_cell_37",4.255,9.2901,-4.003,-1.9666,-3.3526,-4.6319,-8.0516
"X451Lu_sc_par_cell_38",0.0088,2.6379,-3.3415,-0.7375,-1.3935,0.8569,-6.189
"X451Lu_sc_par_cell_39",1.1278,4.1867,-3.475,-2.4592,-2.7722,-2.5628,-7.601
"X451Lu_sc_par_cell_40",4.5455,9.508,-4.8737,-2.137,-3.3046,-5.6835,-8.7451
"X451Lu_sc_par_cell_41",5.5529,11.1568,-2.4319,-1.9227,-2.5579,-5.6232,-8.6563
"X451Lu_sc_par_cell_42",2.3596,6.8246,-3.4263,-2.0153,-4.3292,-4.8747,-8.5098
"X451Lu_sc_par_cell_43",1.6063,4.6828,-1.8173,-0.7049,0.6443,0.3883,-5.7845
"X451Lu_sc_par_cell_44",-0.0028,3.1148,-3.5355,-2.0386,-3.4313,-1.4378,-6.1664
"X451Lu_sc_par_cell_45",4.8853,9.333,-3.0299,-1.7218,-3.5484,-5.0115,-8.1137
"X451Lu_sc_par_cell_46",0.5333,4.2091,-4.3539,-1.2505,-2.6067,-3.0416,-8.3399
"X451Lu_sc_par_cell_47",2.6275,7.2572,-1.9427,1.5043,3.0966,2.4294,-0.5758
"X451Lu_sc_par_cell_48",-0.2003,0.7879,-5.0134,-0.079,0.2094,4.6114,-2.8847
"X451Lu_sc_par_cell_49",3.3237,8.6307,-1.9395,-1.2952,-2.5075,-4.4907,-8.9376
"X451Lu_sc_par_cell_50",4.0963,9.1513,-0.7111,-0.9762,-2.2658,-4.4063,-8.64
"X451Lu_sc_par_cell_51",1.2217,5.1083,-2.1783,-0.4098,-1.7569,-0.3813,-5.9464
"X451Lu_sc_par_cell_52",-1.8349,-1.393,-4.8995,-1.3365,-1.0876,3.6075,-3.9603
"X451Lu_sc_par_cell_53",4.741,9.1797,-2.6391,-2.4409,-4.7102,-6.5361,-8.6551
"X451Lu_sc_par_cell_54",-0.6065,3.409,-3.7132,-1.642,-0.1856,-2.5444,-7.5513
"X451Lu_sc_par_cell_55",5.6164,9.2828,-3.4117,-1.7774,-3.6112,-4.9913,-8.881
"X451Lu_sc_par_cell_56",2.9245,6.9,-3.1202,-3.5996,-3.483,-4.6565,-7.4781
"X451Lu_sc_par_cell_57",6.3958,10.9456,-2.6985,-1.7452,-4.2383,-5.9248,-9.6363
"X451Lu_sc_par_cell_58",6.2168,11.2378,-3.1356,-2.3577,-5.2006,-8.2493,-10.0466
"X451Lu_sc_par_cell_59",3.7204,7.5798,-3.9649,-2.6248,-4.5885,-4.3397,-8.761
"X451Lu_sc_par_cell_60",2.7252,4.3489,-4.4033,-1.7562,-3.87,-3.8614,-7.3544
"X451Lu_sc_par_cell_61",4.5806,8.8264,-3.4987,-2.397,-3.6476,-5.2123,-8.64
"X451Lu_sc_par_cell_62",4.009,7.0572,-1.8738,-2.1413,-3.7295,-4.3714,-9.4198
"X451Lu_sc_par_cell_63",2.9228,6.0463,-3.2187,-2.1724,-4.1994,-4.6076,-7.8327
"X451Lu_sc_par_cell_64",2.5073,6.367,-2.2341,-1.7617,-2.0094,-2.5591,-5.3499
"X451Lu_sc_par_cell_65",3.3312,8.9482,-2.0141,-1.9779,-2.4376,-4.7854,-8.0957
"X451Lu_sc_par_cell_66",0.4898,4.4355,-2.8733,-0.767,-2.0664,-3.5167,-9.6937
"X451Lu_sc_par_cell_67",5.7027,9.2683,-4.3172,-3.7926,-4.9996,-6.7853,-8.2443
"X451Lu_sc_par_cell_68",-3.1263,-0.643,-4.234,-0.1684,0.7582,0.6709,-7.2702
"X451Lu_sc_par_cell_69",4.7935,5.4423,-2.7529,-1.3762,-5.0443,-4.7559,-6.7611
"X451Lu_sc_par_cell_70",5.6704,9.503,-2.8628,-2.209,-4.8936,-5.2606,-7.5132
"X451Lu_sc_par_cell_71",4.4719,10.4378,-2.4569,-3.185,-4.3021,-6.046,-8.9222
"X451Lu_sc_par_cell_72",-1.7902,-1.2409,-4.1524,0.034,0.6981,1.2163,-7.7501
"X451Lu_sc_par_cell_73",1.82,5.8099,-3.4852,-0.9422,-1.1124,-1.7506,-4.751
"X451Lu_sc_par_cell_74",1.0991,2.0904,-4.219,-1.7509,-0.2487,-0.5292,-7.4815
"X451Lu_sc_par_cell_75",0.3569,3.6464,-2.6609,-1.9684,-0.344,-1.3927,-8.5407
"X451Lu_sc_par_cell_76",1.9083,6.1326,-4.8888,-2.0052,-2.5402,-4.6927,-7.5064
"X451Lu_sc_par_cell_77",4.8846,8.1125,-3.9172,-1.4613,-2.14,-3.8182,-7.9302
"X451Lu_sc_par_cell_78",4.781,9.1519,-3.1341,-1.4193,-1.5859,-2.3799,-6.0435
"X451Lu_sc_par_cell_79",-0.9216,4.1439,-2.9692,0.1241,-0.7519,-2.3228,-7.9087
"X451Lu_sc_par_cell_80",3.8997,8.1822,-4.0559,-0.9815,-3.9692,-5.174,-7.9585
"X451Lu_sc_par_cell_81",4.4945,8.7799,-0.4887,-2.3327,-2.9811,-4.4646,-7.4822
"X451Lu_sc_par_cell_82",3.257,7.1665,-3.8918,-1.3565,-2.7135,-4.165,-6.8692
"X451Lu_sc_par_cell_83",-1.4382,1.0307,-1.7424,1.5503,0.81,-0.0611,-6.9858
