"","Melanocytic","Transitory","Neural.crest.like","Undifferentiated"
"GSM573426",9.2392,2.1403,2.5703,-4.5618
"GSM573427",7.1855,2.3769,3.5917,-3.3462
"GSM573428",6.5105,3.5907,2.9923,-0.178
"GSM573429",5.1199,2.6338,2.7382,-3.1457
"GSM573430",5.5978,3.5872,3.5344,-3.5663
"GSM573431",6.8062,0.5197,4.0157,-2.6907
"GSM573432",5.6061,3.5162,1.4013,-2.9032
"GSM573433",3.9025,4.209,3.5659,-4.3568
"GSM573434",7.7482,4.8225,1.6476,-2.8673
"GSM573435",5.7825,4.1255,2.8792,-2.8401
"GSM573436",7.1997,1.9825,4.0775,2.0772
"GSM573437",4.3449,2.2362,4.7833,1.7124
"GSM573438",6.1057,3.5335,5.3093,-3.1006
"GSM573439",8.2009,0.0011,2.4791,-3.2636
"GSM573440",9.9931,2.1763,1.941,-3.709
"GSM573441",8.2434,3.5503,4.7333,-2.1282
"GSM573442",4.1713,5.6586,5.4187,-0.4693
"GSM573443",6.6375,3.8407,1.7264,-0.618
"GSM573444",6.5345,1.8482,5.1155,-1.9125
"GSM573445",7.1809,1.1145,3.1657,-3.9424
"GSM573446",6.2494,2.1882,4.7933,-0.3446
"GSM573447",4.9214,2.7428,3.5117,-4.1884
