"","Melanocytic","Transitory.Melanocytic","Transitory","Int.Neural.crest.like","Neural.crest.like","Undifferentiated.Neural.crest.like","Undifferentiated"
"MM649_shNEG_veh_96h",10.8736,16.2986,1.4095,-6.682,-10.9201,-13.2209,-1.5389
"MM649_shNEG_DOX_96h",10.3606,15.8974,2.5987,-5.9107,-9.8474,-12.038,1.0066
"MM649_shBRN2_veh_96h",9.8096,15.6834,3.1067,-6.9563,-10.9856,-13.8513,-0.6744
"MM649_shBRN2_DOX_96h",8.5281,15.1452,1.8048,-6.2584,-9.872,-9.3029,0.0298
"MM649_shMITF_veh_96h",9.9582,16.7149,4.3621,-6.2872,-10.3753,-13.7469,-0.9978
"MM649_shMITF_DOX_96h",5.195,12.1541,7.3342,2.314,-2.4356,-4.7838,2.117
"A02_shNEG_veh_96h",12.2323,12.6689,-5.6121,-8.1144,-12.7181,-12.2842,-7.3431
"A02_shNEG_DOX_96h",12.1566,12.6026,-6.356,-8.3878,-12.25,-12.4765,-6.7844
"A02_shBRN2_veh_96h",13.274,12.378,-5.5272,-7.5202,-12.4562,-13.1912,-8.0501
"A02_shBRN2_DOX_96h",11.7749,12.2528,-4.8626,-7.7313,-12.288,-13.6991,-6.4073
"A02_shMITF_veh_96h",10.2641,11.3513,-5.2825,-7.9873,-11.6658,-11.8668,-6.5108
"A02_shMITF_DOX_96h",7.3026,0.6729,-5.4139,-4.3194,-4.6649,-4.8104,-3.4232
"HT144_shNEG_veh_96h",-10.065,-7.6559,4.7885,8.3367,6.5469,8.0407,-0.193
"HT144_shNEG_DOX_96h",-9.2653,-9.1994,3.2233,7.6937,7.2615,9.1632,2.3936
"HT144_shBRN2_veh_96h",-9.5564,-14.772,-0.1919,5.0683,7.5567,14.5783,10.093
"HT144_shBRN2_DOX_96h",-10.7771,-15.7268,-3.9029,-1.1241,3.7924,13.7444,9.0087
"HT144_shMITF_veh_96h",-10.0681,-14.1392,-0.2655,5.0928,8.1406,15.2192,11.0146
"HT144_shMITF_DOX_96h",-9.5156,-14.1439,1.2316,7.434,10.3358,17.1732,10.5108
"MM455_shNEG_veh_96h",-7.3213,-10.6391,5.0336,8.8352,13.828,12.2831,4.5291
"MM455_shNEG_DOX_96h",-6.4514,-6.614,4.4824,8.3423,12.3529,8.3209,4.6381
"MM455_shBRN2_veh_96h",-7.5427,-10.2445,4.0301,7.9651,13.0582,9.3289,2.6351
"MM455_shBRN2_DOX_96h",-8.4095,-12.2578,2.5793,7.5393,12.4541,10.1025,1.4964
"MM455_shMITF_veh_96h",-8.4335,-13.5711,3.2813,7.0827,13.4934,13.2731,4.4657
"MM455_shMITF_DOX_96h",-6.9832,-10.709,3.2216,6.9652,12.3169,11.909,4.0066
