"","Melanocytic","Transitory","Neural.crest.like","Undifferentiated"
"Non_targeting_shRNA_replicate_1",-3.4725,-0.0685,7.3857,5.4778
"Non_targeting_shRNA_replicate_2",-3.5249,-0.5218,6.828,6.8731
"Scrambled_shRNA_replicate_1",-3.8441,-0.5777,6.8384,6.4785
"Scrambled_shRNA_replicate_2",-3.7127,-0.5479,7.3561,6.7837
"TRIM28_1_shRNA_replicate_1",-3.7094,-0.5531,7.1238,5.346
"TRIM28_1_shRNA_replicate_2",-2.9961,0.1719,8.0905,4.9346
"TRIM28_2_shRNA_replicate_1",-3.3714,-0.7695,7.6623,5.5673
"TRIM28_2_shRNA_replicate_2",-3.8981,-0.7643,6.417,6.4243
