"","Melanocytic","Transitory","Neural.crest.like","Undifferentiated"
"T0_A10.S73",8.0687,6.9257,8.4749,9.1438
"T0_A11.S81",8.482,8.315,7.7958,7.8185
"T0_A12.S89",8.4889,8.2287,8.2536,7.7453
"T0_A1.S1",7.3714,7.9489,10.2839,8.6066
"T0_A2.S9",8.3446,8.1907,8.5014,8.1838
"T0_A3.S17",9.7262,7.9265,8.508,8.2876
"T0_A4.S25",8.609,7.8489,8.5929,8.5529
"T0_A5.S33",9.3894,8.1286,8.3654,8.8636
"T0_A6.S41",7.4451,6.7101,8.43,8.9911
"T0_A7.S49",8.2451,7.5587,9.1139,9.2798
"T0_A8.S57",9.119,7.282,8.0631,7.9572
"T0_A9.S65",7.4247,6.3518,9.6267,9.3043
"T0_B10.S74",9.4123,8.8593,9.0752,8.2258
"T0_B11.S82",7.9949,8.0116,8.1612,8.0103
"T0_B12.S90",7.2621,7.2073,8.7458,9.7425
"T0_B1.S2",9.1112,8.0363,8.6509,9.3771
"T0_B2.S10",9.2988,8.3387,9.2892,7.046
"T0_B3.S18",8.2722,7.9828,8.6465,8.2602
"T0_B4.S26",8.9379,7.781,8.3323,7.804
"T0_B5.S34",8.4705,7.6699,8.7195,8.6519
"T0_B6.S42",9.3599,7.8588,8.2571,8.6319
"T0_B7.S50",9.1867,7.9945,8.8895,8.5172
"T0_B8.S58",7.2317,6.7602,8.8309,10.2427
"T0_B9.S66",7.9058,7.7993,8.2606,8.0059
"T0_C10.S75",8.0482,7.7893,9.1014,7.9062
"T0_C11.S83",9.1228,7.7418,8.5499,7.9575
"T0_C12.S91",9.0269,7.9605,8.8555,7.472
"T0_C1.S3",7.9535,7.7004,9.0261,8.3066
"T0_C2.S11",9.095,7.5006,9.0761,7.3956
"T0_C3.S19",9.9896,8.2693,8.9088,8.2752
"T0_C4.S27",7.9744,5.8874,10.1358,9.6998
"T0_C5.S35",8.939,7.6783,8.5841,8.2964
"T0_C6.S43",8.753,7.7395,9.4524,8.3286
"T0_C7.S51",8.8309,8.4511,8.9539,8.1246
"T0_C8.S59",7.623,8.1485,8.6348,8.5177
"T0_C9.S67",8.8545,7.0662,8.1859,8.7442
"T0_D10.S76",8.1356,8.0211,8.709,8.7155
"T0_D11.S84",8.2863,8.1403,8.4657,7.8414
"T0_D12.S92",8.4624,7.6793,9.6524,8.4336
"T0_D1.S4",8.4365,7.6118,8.7942,8.783
"T0_D2.S12",7.9945,8.2998,8.7438,8.3402
"T0_D3.S20",8.853,8.2845,9.0538,7.897
"T0_D4.S28",9.1712,8.8104,9.1182,8.1194
"T0_D5.S36",8.3698,7.8739,7.9199,7.9049
"T0_D6.S44",7.7896,6.8369,8.846,7.8696
"T0_D7.S52",9.3551,7.3287,9.2381,8.0138
"T0_D8.S60",7.5312,7.6249,8.3614,8.6601
"T0_D9.S68",8.8156,8.6566,8.9162,8.2526
"T0_E10.S77",8.6031,8.1287,8.3273,7.0086
"T0_E11.S85",8.38,7.6964,8.1808,8.1106
"T0_E12.S93",7.4714,5.7695,9.2302,9.1617
"T0_E1.S5",8.6589,7.9846,10.0818,8.4033
"T0_E2.S13",7.9476,7.9665,9.1085,7.1677
"T0_E3.S21",8.0077,8.0662,8.6735,8.7768
"T0_E4.S29",7.6779,8.1793,9.0442,7.6178
"T0_E5.S37",8.509,8.1174,9.1986,8.5505
"T0_E6.S45",9.0822,8.0385,8.9717,7.75
"T0_E7.S53",8.8985,8.7306,8.1641,8.062
"T0_E8.S61",8.3346,7.2027,8.5579,8.3088
"T0_E9.S69",8.522,8.1199,8.6876,8.5339
"T0_F11.S86",9.2387,7.2753,8.8474,8.8738
"T0_F12.S94",8.6794,7.9474,9.485,7.6159
"T0_F1.S6",8.9993,7.7829,9.5219,7.6457
"T0_F2.S14",9.2409,7.8282,8.5627,8.2458
"T0_F3.S22",8.6523,8.013,8.1992,8.3108
"T0_F4.S30",7.8576,8.3217,9.2327,8.2082
"T0_F5.S38",8.5458,7.8082,8.9594,8.1874
"T0_F6.S46",8.6374,7.7758,9.2385,8.2474
"T0_F7.S54",8.5087,7.5687,9.232,7.977
"T0_F8.S62",10.4012,8.4853,9.3724,8.2689
"T0_G10.S79",8.605,7.4989,9.6874,7.5973
"T0_G11.S87",8.6993,8.4395,8.4941,7.79
"T0_G12.S95",8.846,8.7331,9.2741,8.2561
"T0_G1.S7",8.3469,7.5606,10.019,8.4963
"T0_G2.S15",9.5702,8.9902,8.8293,7.2622
