"","Melanocytic","Transitory.Melanocytic","Transitory","Int.Neural.crest.like","Neural.crest.like","Undifferentiated.Neural.crest.like","Undifferentiated"
"A375_siCont_Normal",-6.4237,-4.3077,-4.4017,2.1523,6.7545,10.8775,2.4217
"A375_siCont_GlnF",-6.04,-5.0872,-4.8222,1.014,6.148,12.1233,3.1634
"A375_siBRAF_Normal",-6.1486,-2.3252,-2.0119,3.5794,6.9963,9.9362,0.9494
"A375_siBRAF_GlnF",-6.1767,-2.4429,-2.53,3.0253,7.2236,9.978,1.1384
"A375_siATF4_Normal",-6.6845,-4.722,-5.0431,1.4051,6.012,11.2552,3.3897
"A375_siCont_DMSO",-6.6987,-4.9676,-5.086,0.9649,5.4493,10.2839,2.7573
"A375_siCont_VEM",-6.6627,-4.656,-5.0728,0.433,3.1834,8.7038,1.6909
"A375_siATF4_VEM",-6.2792,-4.3345,-4.6478,0.2894,3.3209,9.296,1.7925
