"","Melanocytic","Transitory","Neural.crest.like","Undifferentiated"
"C8_mel",2.1484,-3.8604,-2.7969,-2.9627
"C9_mel",1.9016,-2.6212,-1.9434,-3.711
"D10_mel",4.2404,-4.3105,-8.0542,-8.079
"D11_mel",3.6436,-3.7006,-5.6864,-6.2375
"D12_mel",4.3837,-3.899,-6.1645,-8.5179
"D1_mel",3.9452,-4.1989,-5.6738,-7.3714
"D2_mel",2.8376,-3.6978,-5.124,-5.0717
"D3_mel",3.102,-3.997,-5.3338,-6.2206
"D4_mel",4.4602,-4.2178,-5.6044,-6.5708
"D5_mel",3.1551,-3.6995,-7.8256,-8.7572
"D6_mel",4.5137,-4.1986,-6.5049,-6.8591
"D7_mel",5.0777,-4.7368,-7.6712,-8.5712
"D8_mel",1.3632,-2.8031,-6.0173,-8.2127
"D9_mel",5.0144,-1.9777,-4.8309,-5.5839
"E10_mel",4.8763,-4.8914,-4.8371,-5.9255
"E11_mel",-0.6328,-2.6366,-4.3481,-4.07
"E12_mel",0.2957,-4.2663,-5.5667,-5.9607
"E1_mel",4.5303,-4.016,-7.5874,-7.3
"E3_mel",3.3768,-3.6001,-6.8636,-5.8139
"E4_mel",5.6709,-3.9349,-5.5302,-7.0793
"E5_mel",6.0881,-4.0257,-5.8459,-6.7703
"E6_mel",4.67,-3.1024,-7.8111,-7.272
"E7_mel",5.4865,-4.5598,-7.6192,-7.6695
"E8_mel",4.5132,-5.3367,-7.9469,-8.5363
"E9_mel",-1.1144,-4.9264,-7.0154,-5.7662
"F10_mel",4.7477,-3.2414,-5.2301,-5.7495
"F11_mel",3.4094,-3.8068,-6.3666,-7.4246
"F12_mel",5.193,-2.6154,-3.8026,-7.5755
"F1_mel",4.2126,-4.7479,-8.2469,-10.0012
"F2_mel",3.9347,-4.9393,-6.2417,-7.5678
"F3_mel",2.8377,-4.226,-8.5767,-7.4647
"F4_mel",4.0192,-3.8347,-5.5288,-6.49
"F5_mel",6.0284,-3.055,-6.013,-5.1943
"F6_mel",3.1541,-4.1295,-7.386,-8.1787
"F7_mel",3.5114,-5.3718,-6.6407,-6.8971
"F8_mel",3.9683,-4.2035,-6.4493,-8.0261
"F9_mel",4.7356,-1.2674,-5.5281,-5.3611
"G10_mel",2.8407,-4.5219,-7.5026,-9.1583
"G11_mel",4.5106,-4.4125,-5.9456,-6.4912
"G12_mel",-1.0658,-4.5392,-6.4387,-8.0259
"G1_mel",2.8273,-4.7732,-8.4958,-8.3391
"G2_mel",-0.9656,-3.9208,-3.9406,-6.2013
"G3_mel",4.5967,-3.4078,-6.4466,-7.7647
"G4_mel",5.061,-4.5372,-6.0443,-7.6311
"G5_mel",2.2359,-3.7708,-7.0563,-8.1989
"G6_mel",3.7234,-4.4069,-6.8357,-8.6199
"G7_mel",2.8651,-4.9137,-6.4361,-7.9873
"G8_mel",4.4167,-5.1932,-7.1396,-7.734
"G9_mel",4.061,-2.4318,-5.0692,-4.6715
"H10_mel",4.7908,-3.8172,-3.9345,-4.3175
"H11_mel",-0.006,-3.3432,-5.1067,-6.3492
"H12_mel",1.4244,-4.8854,-6.943,-8.8829
"H1_mel",2.6912,-2.6848,-7.1258,-7.8172
"H2_mel",4.2139,-4.5509,-6.3373,-7.4442
"H3_mel",2.5333,-3.9848,-6.685,-9.1597
"H4_mel",4.9671,-3.1612,-5.214,-6.2272
"H5_mel",6.6604,-3.8958,-6.0868,-7.33
"H6_mel",2.8074,-3.5366,-5.688,-7.5874
"H7_mel",1.5353,-5.0164,-6.3644,-7.6593
"A1_Mel2",5.558,-4.129,-3.4362,-4.7133
"A11_Mel2",4.1083,-3.8222,-3.8356,-4.485
"A12_Mel2",5.8665,-3.8731,-4.3923,-5.3344
"A2_Mel2",5.8326,-4.006,-2.6018,-5.5666
"A3_Mel2",7.3246,-3.8431,-4.6652,-4.4259
"A4_Mel2",4.4571,-1.667,-5.6158,-5.4889
"A5_Mel2",4.7887,-4.2612,-5.0343,-6.7505
"A6_Mel2",5.3279,-4.0059,-5.2721,-4.6152
"A7_Mel2",3.6116,-3.5843,-4.6499,-6.1566
"A8_Mel2",2.2445,-1.0043,-3.8258,-4.8826
"A9_Mel2",6.542,-2.7037,-2.5654,-0.8668
"B1_Mel2",2.9861,-1.8437,-3.2717,-3.8267
"B10_Mel2",4.9514,-3.3966,-2.876,-4.1096
"B11_Mel2",5.6527,-1.4225,-2.3538,-1.5462
"B12_Mel2",5.1305,-2.6056,-4.6461,-4.0928
"B2_Mel2",3.3148,-2.0013,-1.7738,-2.9325
"B3_Mel2",0.4303,-1.1654,-1.9428,-4.9491
"B4_Mel2",3.8672,-1.9224,-4.9285,-4.4866
"B5_Mel2",3.998,-4.2234,-5.5963,-5.9191
"B6_Mel2",4.6181,-2.2095,-4.0106,-3.2542
"B7_Mel2",4.0762,-2.3199,-4.2925,-4.9521
"B8_Mel2",6.3226,-1.6044,-4.4726,-2.2472
"C1_Mel2",6.4394,-2.2283,-4.9557,-4.483
"C10_Mel2",3.4813,-2.4128,-4.4586,-2.6152
"C11_Mel2",4.9914,-3.0056,-1.6942,-0.3486
"C12_Mel2",3.0116,-3.064,-5.0378,-6.5977
"C2_Mel2",4.6768,-2.1379,-3.9947,-4.4407
"C3_Mel2",3.1181,-0.7342,-3.2855,-2.285
"C4_Mel2",5.4825,-3.0933,-3.9278,-2.1244
"C5_Mel2",5.5112,-2.7772,-4.5855,-4.6098
"C7_Mel2",3.2016,-3.6188,-4.0459,-4.2703
"C8_Mel2",4.9716,-2.7176,-2.9353,-1.3447
"D1_Mel2",2.2029,-2.2087,0.8483,-0.6135
"D10_Mel2",4.2467,-1.8906,-5.1571,-3.7694
"D11_Mel2",4.8082,-2.995,-3.6339,-3.4015
"D12_Mel2",5.1682,-3.0317,-4.813,-4.2003
"D2_Mel2",2.37,-2.7926,-1.8286,-4.1752
"D3_Mel2",6.5927,-2.6646,-1.0978,-2.8302
"D4_Mel2",4.603,-2.4515,-3.469,-3.4182
"D5_Mel2",6.3334,-3.6694,-4.7675,-2.4014
"D6_Mel2",5.0798,-2.8976,-3.9675,-1.6828
"D7_Mel2",5.8963,-3.8458,-5.3051,-5.5784
"D8_Mel2",5.3329,-4.0496,-5.2668,-3.663
"D9_Mel2",6.0197,-3.6337,-3.7528,-4.4537
"E1_Mel2",2.75,-2.5142,-2.5644,-4.18
"E10_Mel2",4.6887,-3.6762,-4.6379,-5.57
"E11_Mel2",-0.8994,-2.9209,-2.7794,-2.8188
"E12_Mel2",4.7833,-2.8671,-4.0562,-4.5058
"E2_Mel2",5.3712,-3.2582,-4.4748,-4.7127
"E3_Mel2",5.2768,-3.8767,-5.8554,-5.6616
"E4_Mel2",4.8903,-2.9879,-5.7645,-3.3968
"E5_Mel2",4.2363,-2.0114,-2.9468,-4.4805
"E6_Mel2",2.9069,-3.1445,-4.036,-3.8785
"E9_Mel2",4.1515,-2.3233,-3.5561,-3.9881
"F1_Mel2",5.042,-3.4447,-4.6715,-4.6452
"F11_Mel2",5.0428,-1.4045,-2.2815,-2.3042
"F12_Mel2",3.7949,-2.2984,-5.9322,-5.8667
"F2_Mel2",4.507,-3.0551,-5.1927,-4.3875
"F3_Mel2",3.3928,-3.0094,-3.8169,-5.6824
"F4_Mel2",4.7406,-2.9976,-3.2086,-2.7945
"F5_Mel2",3.1819,-4.3981,-5.8175,-6.141
"F6_Mel2",5.8861,-2.7628,-2.4237,-2.6326
"F7_Mel2",5.4476,-3.7279,-5.1159,-4.6483
"F8_Mel2",4.6391,-4.0376,-3.5583,-3.4503
"F9_Mel2",2.3347,-0.1338,0.7294,-2.2503
"G1_Mel2",4.8326,-3.0375,-4.785,-3.8451
"G10_Mel2",2.0336,-3.3042,-2.1052,0.1193
"G11_Mel2",0.5019,-3.4529,-2.9824,-2.2739
"G2_Mel2",3.9994,-2.5,-3.8725,-4.9836
"G3_Mel2",5.359,-3.077,-3.6888,-4.399
"G4_Mel2",5.5312,-2.0139,-2.5648,-3.0257
"G5_Mel2",4.647,-3.8012,-5.5668,-5.0221
"G6_Mel2",4.0934,-4.0987,-3.1004,-3.7321
"G7_Mel2",6.6316,-3.8085,-5.611,-4.5589
"H1_Mel2",4.028,-4.1118,-5.0546,-4.6609
"H10_Mel2",4.9685,-3.7768,-4.8663,-6.1786
"H11_Mel2",4.775,-2.0188,-4.027,-4.3907
"H12_Mel2",3.4692,-3.3898,-4.8905,-6.3367
"H2_Mel2",3.8728,-3.3775,-6.131,-5.5988
"H3_Mel2",4.5388,-4.9021,-4.6299,-5.552
"H4_Mel2",5.6671,-2.3051,-3.6042,-2.7358
"H5_Mel2",6.9005,-2.6789,-5.0691,-4.4408
"H6_Mel2",4.558,-3.3178,-5.5624,-4.5549
"H8_Mel2",3.8062,-4.4692,-4.6433,-5.1039
"A10_Mel3.a",0.1793,0.5102,0.5068,-4.581
"A11_Mel3.a",-1.1487,-0.5574,-0.3119,-7.7418
"A12_Mel3.a",-1.4402,1.6414,0.9057,-5.9177
"A2_Mel3.a",-1.1536,1.3994,1.8115,-3.4475
"A4_Mel3.a",-1.5875,1.4046,0.0099,-1.9501
"A5_Mel3.a",0.4542,-1.6007,-0.4444,-5.8626
"A6_Mel3.a",-2.0046,0.2675,1.8639,-3.5882
"A8_Mel3.a",-2.1615,-2.4065,0.2686,-6.9833
"A9_Mel3.a",-0.4934,0.7331,-0.2341,-5.6641
"B1_Mel3.a",1.7391,1.2382,0.3311,-4.8851
"B10_Mel3.a",0.0757,0.3323,0.8799,-4.3713
"B11_Mel3.a",-1.552,-1.3046,-2.554,-8.3462
"B2_Mel3.a",0.5594,1.4511,-0.5552,-4.7447
"B3_Mel3.a",-0.324,1.1201,-0.7775,-5.4353
"B4_Mel3.a",-0.8148,0.396,-0.4911,-7.565
"B6_Mel3.a",-1.0617,-1.61,1.8238,-0.8312
"B7_Mel3.a",0.5636,0.0978,-0.0463,-3.5622
"B8_Mel3.a",-1.0934,0.8708,-1.2567,-7.9372
"B9_Mel3.a",-1.0281,0.3855,-2.238,-6.7314
"C1_Mel3.a",0.8267,0.6473,-0.7493,-5.3086
"C2_Mel3.a",0.5583,0.4395,0.3951,-4.657
"C3_Mel3.a",-1.976,-0.601,-3.1376,-6.2123
"C7_Mel3.a",3.3805,1.5008,1.5225,-2.5812
"C8_Mel3.a",0.392,0.7241,-1.0117,-5.8578
"C9_Mel3.a",-0.5474,1.8301,0.8699,-3.9227
"D1_Mel3.a",1.0554,1.9821,0.8506,-2.6493
"D11_Mel3.a",2.588,0.9355,0.7238,-0.2514
"D2_Mel3.a",-1.393,0.3396,1.1531,-3.4386
"D3_Mel3.a",0.365,1.0375,0.9434,-3.1291
"D7_Mel3.a",-0.5958,0.1956,1.4894,-4.8364
"D8_Mel3.a",-0.5475,0.3886,1.643,-4.0507
"D9_Mel3.a",-1.0764,0.3455,-1.3341,-4.7143
"E1_Mel3.a",1.8928,1.823,1.3049,-2.4101
"E2_Mel3.a",-1.1654,0.0554,2.7871,-3.1749
"E3_Mel3.a",0.2188,0.7222,0.1239,-3.9208
"E7_Mel3.a",1.2425,-0.1051,2.1679,-2.5338
"E8_Mel3.a",1.5235,0.1327,-0.4706,-4.9524
"E9_Mel3.a",-0.7892,0.3569,0.1691,-3.6163
"F1_Mel3.a",-1.6434,1.9325,-1.0528,-5.5377
"F7_Mel3.a",-2.12,-0.0718,-1.2892,-3.9691
"F8_Mel3.a",-0.7078,1.2354,-0.2793,-6.9027
"F9_Mel3.a",-3.0181,0.1287,2.1951,-3.1524
"G1_Mel3.a",-0.326,-0.8809,0.96,-2.8429
"G2_Mel3.a",-0.8111,1.8291,0.7163,-3.5042
"G3_Mel3.a",-0.279,0.9724,-1.3726,-4.2969
"G5_Mel3.a",1.0675,0.2265,-1.1471,-5.5234
"G7_Mel3.a",-1.179,-0.2531,-2.4404,-5.4988
"G8_Mel3.a",-2.1332,-0.0137,-0.9034,-7.6006
"G9_Mel3.a",-2.1552,0.0271,0.8263,-4.1672
"H1_Mel3.a",-2.9259,-2.1477,-0.5241,-4.6393
"H2_Mel3.a",0.6857,-0.1111,-0.0816,-4.0686
"H3_Mel3.a",-0.3402,-0.5735,-0.5809,-4.9729
"H7_Mel3.a",-2.8542,0.1068,-1.6748,-5.4789
"H8_Mel3.a",-0.3477,-0.0341,-0.7657,-4.7755
"A10B_Mel3.b",-3.105,-2.0513,4.1308,-3.3762
"A11B_Mel3.b",-4.3786,-0.877,3.2824,-3.994
"A12B_Mel3.b",-4.0546,-0.6936,2.4157,0.4442
"A2B_Mel3.b",-4.183,-4.088,3.3258,-2.4635
"A3B_Mel3.b",-3.7117,-3.2688,2.7965,-4.6696
"A4B_Mel3.b",-4.2086,-3.0828,4.3326,-3.8958
"A5B_Mel3.b",-3.8689,0.6948,4.3812,-3.7517
"A6B_Mel3.b",-2.5744,-0.8104,3.2359,0.3745
"A7B_Mel3.b",-4.8405,-3.1547,3.9855,-1.2427
"A8B_Mel3.b",-4.4863,-1.1166,4.1078,-5.2521
"A9B_Mel3.b",-4.6105,0.6907,4.7915,-6.0273
"B10B_Mel3.b",-3.1099,-2.787,2.6724,-1.3797
"B11B_Mel3.b",-2.7468,-0.202,5.7164,-1.4977
"B12B_Mel3.b",-2.7728,-0.2108,4.6435,-1.6668
"B1B_Mel3.b",-0.6147,-0.0664,5.6844,-0.4867
"B2B_Mel3.b",-3.8682,-1.9536,4.9428,-2.023
"B3B_Mel3.b",-4.0719,-2.2052,4.2141,-0.2382
"B4B_Mel3.b",-3.4141,0.9205,4.5407,-3.3252
"B5B_Mel3.b",-0.994,-0.9879,4.4805,-1.4545
"B6B_Mel3.b",-3.7852,-1.4063,3.6756,-2.7545
"B7B_Mel3.b",-3.2603,-0.572,5.5002,-1.4159
"B8B_Mel3.b",-5.024,-0.8256,3.536,-3.6309
"B9B_Mel3.b",-4.0017,-3.0426,5.2714,-2.0039
"C10B_Mel3.b",-3.1798,0.3585,5.3159,-0.6456
"C11B_Mel3.b",-2.9767,-1.347,4.1354,0.0398
"C12B_Mel3.b",-3.7661,-0.8257,3.9134,-2.8103
"C1B_Mel3.b",-3.3499,-2.5716,3.5666,-0.5076
"C2B_Mel3.b",-3.7672,-0.365,3.8571,-2.5103
"C3B_Mel3.b",-2.3719,-2.6433,4.1401,-1.8709
"C5B_Mel3.b",-4.1204,-3.4837,2.2005,-3.9407
"C6B_Mel3.b",-5.1702,-4.0458,2.3382,-1.2257
"C7B_Mel3.b",-4.2564,-1.1674,4.9178,-2.1898
"C8B_Mel3.b",-4.6654,-2.7047,2.7626,-0.6035
"C9B_Mel3.b",-5.9212,-3.3326,3.8016,-0.9703
"D10B_Mel3.b",-4.2899,-0.4026,5.0113,-2.7156
"D11B_Mel3.b",-3.3953,-0.1092,5.6898,-1.8466
"D12B_Mel3.b",-4.4763,0.2671,4.5391,-4.7431
"D1B_Mel3.b",-3.8691,-1.5666,4.8862,-3.2931
"D2B_Mel3.b",-3.9809,-0.4679,4.3528,-3.3673
"D4B_Mel3.b",-4.7519,-2.6907,2.5131,-1.1455
"D5B_Mel3.b",-3.2785,-2.7053,3.9966,2.1265
"D6B_Mel3.b",-2.3031,1.6086,2.7606,-1.8062
"D7B_Mel3.b",-4.9106,-2.0688,3.866,-2.4452
"D8B_Mel3.b",-2.5207,-2.6127,3.7378,0.2107
"E12B_Mel3.b",-2.995,-2.2796,2.7925,0.16
"E1B_Mel3.b",-2.5366,-0.0284,5.0351,0.8529
"E2B_Mel3.b",-3.1997,-1.9285,3.697,0.4518
"E3B_Mel3.b",-3.3364,-1.167,5.0566,1.5896
"E5B_Mel3.b",-4.1387,1.2593,1.3433,-3.811
"E6B_Mel3.b",-1.976,-2.5274,2.4646,0.1944
"E7B_Mel3.b",-4.1123,-1.4681,4.6326,-2.3302
"E8B_Mel3.b",-2.8556,1.378,4.7367,0.1871
"E9B_Mel3.b",-3.9452,-3.4312,4.1376,0.5356
"F10B_Mel3.b",-4.6919,-3.2192,4.6099,-1.5146
"F11B_Mel3.b",-3.3762,-2.1804,4.5591,-2.6337
"F2B_Mel3.b",-3.9121,-3.7416,2.0542,-1.3011
"F3B_Mel3.b",-3.0756,-0.9909,4.8696,-2.5025
"F4B_Mel3.b",-1.3156,1.5722,5.5287,-2.4249
"F5B_Mel3.b",-3.6817,-4.2236,4.2788,-5.4344
"F6B_Mel3.b",-4.8863,-2.4873,3.9457,-0.9888
"F7B_Mel3.b",-4.4057,-1.0439,2.1318,-3.7457
"F8B_Mel3.b",-3.1501,-0.338,4.6984,-0.1484
"G10B_Mel3.b",-2.7064,-1.7636,4.3523,1.3944
"G12B_Mel3.b",-3.9463,-1.0377,5.0712,-2.8355
"G1B_Mel3.b",-3.8783,-0.0936,4.4704,-3.4716
"G3B_Mel3.b",-2.2875,-2.6263,3.4524,-1.0131
"G4B_Mel3.b",-1.4857,-1.3374,5.2592,-1.5978
"G5B_Mel3.b",-4.0334,-2.466,5.419,0.313
"G6B_Mel3.b",-3.8644,-1.2625,2.2431,-2.4637
"G8B_Mel3.b",-2.3975,-2.2225,3.195,-3.0253
"G9B_Mel3.b",-4.0952,-2.5815,3.4967,-1.0272
"H11B_Mel3.b",-3.4352,-3.0372,1.915,0.0668
"H12B_Mel3.b",-1.489,2.974,4.5842,0.3859
"H2B_Mel3.b",-2.9987,-2.0118,3.326,-2.9756
"H5B_Mel3.b",-1.4979,-1.0273,4.8073,0.893
"H6B_Mel3.b",-1.6634,-0.3996,5.8636,-1.8929
"H9B_Mel3.b",-1.534,-3.1381,4.5778,1.9696
