"","Melanocytic","Transitory","Neural.crest.like","Undifferentiated"
"A10_mel",6.4252,-5.6202,-8.3162,-8.7789
"A11_mel",3.1605,-5.6432,-7.9883,-8.877
"A12_mel",4.4452,-4.1579,-5.3452,-7.6597
"A1_mel",4.6037,-4.5018,-7.51,-8.7677
"A2_mel",4.0934,-5.7315,-7.0592,-7.8277
"A3_mel",3.3543,-4.3931,-6.6312,-8.3648
"A4_mel",4.0113,-4.9982,-8.049,-9.2181
"A5_mel",5.6932,-4.5938,-6.7498,-7.0165
"A6_mel",4.5509,-2.4128,-5.6736,-6.5725
"A7_mel",2.9721,-3.9907,-7.2399,-7.9788
"A8_mel",4.4917,-5.017,-7.7362,-8.3439
"A9_mel",5.7488,-5.3105,-5.897,-6.666
"B10_mel",4.1119,-3.6429,-7.7358,-7.9615
"B11_mel",5.5129,-3.7019,-6.6865,-7.8643
"B12_mel",2.7728,-5.726,-7.2107,-7.7006
"B1_mel",3.8385,-4.616,-7.0779,-7.6679
"B2_mel",1.5904,-4.8219,-4.2822,-7.1881
"B3_mel",5.4886,-4.0608,-7.3086,-6.2674
"B4_mel",1.039,-4.4441,-4.8333,-5.4157
"B5_mel",4.6599,-4.248,-6.6846,-6.7959
"B6_mel",4.0743,-4.5786,-7.0143,-7.1689
"B7_mel",1.6797,-5.3087,-8.36,-9.0012
"B8_mel",1.6521,-3.5345,-5.3253,-7.7345
"B9_mel",4.3953,-3.4176,-5.001,-5.1734
"C10_mel",3.5346,-3.2594,-5.975,-7.6841
"C12_mel",3.4297,-4.8117,-6.1805,-7.7961
"C1_mel",4.9277,-5.1423,-8.7243,-9.7083
"C2_mel",1.9535,-2.9061,-3.0572,-1.8116
"C3_mel",2.9374,-2.4071,-6.1356,-7.6422
"C4_mel",3.1955,-4.4995,-6.9043,-7.3591
"C5_mel",-0.2711,-4.5576,-6.1033,-8.0597
"C6_mel",4.7425,-5.623,-6.4366,-8.4521
"C7_mel",3.6784,-4.9012,-7.2594,-6.2982
