"","Melanocytic","Transitory","Neural.crest.like","Undifferentiated"
"M005_X1",3.9535,1.7854,8.4643,0.2607
"M005",5.1092,3.8518,7.8448,5.2332
"M005R_X1",4.2676,1.9027,8.884,-0.0648
"M005R",5.5115,3.5391,6.1321,7.144
"M019_X1",2.8296,6.7344,5.8612,-3.5453
"M019",2.5702,7.2033,6.0373,-2.5611
"M019R_X1",-0.3173,6.4054,8.0704,-3.406
"M019R",2.016,6.8193,6.9556,0.3343
"M026_X1",7.8233,5.4997,2.6768,-2.6991
"M026",6.7694,5.6261,3.3296,-1.9575
"M026R",7.7363,6.4982,1.4068,-2.8193
"M029_X1",8.1103,5.884,0.9469,-2.9442
"M029R_X1",6.3306,6.9397,3.6063,-1.4882
"M029R",6.2324,6.7398,4.2983,0.2388
