"","Melanocytic","Transitory.Melanocytic","Transitory","Int.Neural.crest.like","Neural.crest.like","Undifferentiated.Neural.crest.like","Undifferentiated"
"GSM390224",4.6567,9.1976,1.5331,1.8338,3.2042,5.1195,-0.4923
"GSM390225",4.3637,8.8017,1.3592,1.8958,3.4783,5.4217,0.8313
"GSM390226",4.2853,9.2183,0.9307,2.4391,2.4905,4.3141,-1.4652
"GSM390227",4.0964,8.4744,0.9362,2.3278,2.2105,3.1741,-2.203
"GSM390228",4.3185,8.8318,0.8826,2.5491,2.4694,3.0043,-3.2091
"GSM390229",4.5706,8.8172,1.1092,1.788,2.4062,4.0909,-1.9235
"GSM390230",3.9389,7.655,1.0097,1.8417,3.2393,5.1804,0.8763
"GSM390231",4.522,9.1182,1.9373,2.274,3.0501,4.3543,-1.4352
"GSM390232",4.2154,9.1454,1.5618,2.9511,3.1192,4.0597,-2.0216
"GSM390233",4.548,9.0071,1.2204,2.4621,2.4714,3.8978,-1.3291
"GSM390234",4.4498,10.0207,1.8643,2.7767,2.8064,4.016,-2.0393
"GSM390235",4.4125,8.5608,1.2659,2.2258,2.9648,4.673,-0.0392
"GSM390236",2.6084,6.8939,0.5034,2.6245,3.9468,6.2975,-0.8487
"GSM390237",3.6077,7.8293,1.843,2.7838,4.0198,5.8593,0.89
"GSM390238",4.5053,9.9324,1.6754,2.3852,2.0793,2.9803,-2.3066
"GSM390239",4.955,8.3867,1.1005,1.9516,3.2943,5.1062,0.7734
"GSM390240",4.1877,9.4546,1.914,2.717,3.0281,4.1901,-1.2693
"GSM390241",2.4971,8.4952,2.3814,2.8787,2.5659,3.3322,-2.631
"GSM390242",3.9332,7.7782,1.014,2.4063,3.7025,4.9942,-2.0655
"GSM390243",4.0699,8.2319,1.1466,1.6766,3.6537,5.8379,1.0267
"GSM390244",4.4813,8.0313,0.7957,2.0925,3.5257,5.5016,0.0807
"GSM390245",4.6095,9.9849,1.2648,1.6066,3.1896,4.7485,-0.1838
"GSM390246",4.737,8.3273,1.0636,1.7087,3.7208,5.6162,1.2813
"GSM390247",4.6928,8.2685,0.9701,1.5116,3.1435,5.348,0.8527
"GSM390248",4.6655,9.4876,2.2024,2.4825,3.3638,4.622,-0.8803
"GSM390249",4.2013,8.5173,1.0801,1.7612,3.5852,5.4624,1.0034
"GSM390250",4.2491,7.7533,1.0797,1.6962,3.3713,5.5088,1.0148
"GSM390251",5.1314,9.2783,1.1616,1.9145,3.6306,5.6123,0.4
"GSM390252",4.874,9.1751,0.8798,1.9449,3.1867,5.0824,0.4811
"GSM390253",4.906,9.5248,0.9059,1.1953,2.5783,3.8716,-0.4162
"GSM390254",5.0981,10.3412,1.8959,2.144,3.2804,4.7171,-0.1122
"GSM390255",4.5551,9.4435,2.0843,2.9543,3.1809,3.8746,-0.8553
"GSM390256",4.1199,10.1746,1.8515,3.2812,3.584,4.6461,-0.4223
"GSM390257",5.0594,11.0058,1.807,2.2633,2.9898,4.4227,-0.8678
"GSM390258",4.3935,9.9327,1.4442,2.307,3.1667,3.9573,-1.3051
"GSM390259",3.8035,7.798,1.1813,2.5109,4.1349,6.27,0.3454
"GSM390260",4.0286,8.8597,1.6341,2.3148,3.2508,4.6807,0.3268
"GSM390261",4.8612,10.0324,1.26,2.1005,2.5559,3.0209,-1.9532
"GSM390262",5.0821,8.818,0.3377,1.1879,3.343,4.6843,-0.2087
"GSM390263",4.4157,9.4274,1.4991,3.0166,3.6051,5.0952,-1.2323
"GSM390264",4.6171,9.1296,1.6208,2.6754,3.1052,4.8059,0.2612
"GSM390265",4.9258,9.7673,1.7331,2.3272,3.3102,4.7421,0.2061
"GSM390266",4.8846,9.4464,2.0875,2.6627,2.9669,3.9338,-0.9795
"GSM390267",5.0561,10.0713,1.0388,2.1465,3.4306,5.2821,0.7055
"GSM390268",3.8786,9.6945,1.8593,2.7862,2.4271,3.4683,-2.6983
"GSM390269",4.8016,9.3503,1.2783,2.17,3.2069,4.8857,-0.2627
"GSM390270",4.3093,10.1704,1.6422,3.0184,2.4343,3.1212,-2.2324
"GSM390271",2.2325,7.7226,2.2396,4.0272,3.2366,4.8846,-2.2282
"GSM390272",4.4535,9.7351,1.9958,2.8113,1.8455,2.4387,-2.6759
"GSM390273",4.6749,9.634,1.3117,2.0583,2.5878,4.0089,-1.4205
"GSM390274",3.9866,9.3413,1.8026,2.9489,3.2832,4.168,-2.2032
"GSM390275",4.891,10.6216,1.1102,1.3752,2.454,2.8217,-2.7794
"GSM390276",1.8135,5.8928,0.9521,2.9847,3.2998,4.7104,-1.2432
"GSM390277",5.2988,8.8712,0.3733,1.148,3.0034,4.6015,-0.2227
"GSM390278",4.785,9.7805,1.4727,1.8029,2.4188,3.4138,-1.6643
"GSM390279",3.8492,9.2053,2.7417,3.5348,3.2451,4.8789,-1.0109
"GSM390280",4.4119,8.7773,1.3588,2.3678,2.4546,3.063,-2.9246
"GSM390281",1.9565,7.5995,2.3978,3.34,3.3738,4.4114,-1.7437
