"","Pro_Ver","Inv_Ver","Pro_Hoek","Inv_Hoek","KS_E","KS_M","KS","GS"
"X3598.CY.7_vehicle",10.7509,8.6793,2.4351,3.5976,2.6713,4.5641,0.135197266231749,3.54963657084912
"X3598.CY.8_vehicle",-7.3325,-5.774,-2.3562,-2.2036,-5.0831,-2.0891,0.217396707051879,-11.8089169260996
"X3598.CY.9_vehicle",-9.3897,-10.1525,2.1194,-4.4225,-3.9675,-2.9375,0.215284249767008,-9.46041409619633
"X3598.CY.10_Rigosertib",3.155,1.9121,-1.929,1.7908,2.0826,-0.8327,-0.102516309412861,19.6713533159567
"X3598.CY.11_Rigosertib",-0.8869,-0.326,1.7145,-1.0769,3.3632,-1.739,-0.255545200372787,-1.8851534417555
"X3598.CY.12_Rigosertib",-1.8639,-0.0305,-1.4343,-0.5751,1.2553,0.5099,-0.15632183908046,-0.0665054227543334
