"","Pro_Ver","Inv_Ver","Pro_Hoek","Inv_Hoek","KS_E","KS_M","KS","GS"
"WW165",16.6456,-17.2486,10.1135,-8.594,-7.5448,-2.91,0.149277326106594,1.00043911867402
"YUCAL",3.2541,8.1923,2.6441,6.8881,-6.5484,11.6527,0.434146341463415,-29.3723570608204
"YUHEIK",10.3947,2.8528,8.6965,5.0772,-6.5391,7.3919,0.372673893405601,-8.4042429453959
"YUMAC",15.5615,-12.9703,9.6205,-8.3432,-6.816,-1.4954,0.126242095754291,-5.68984141364593
"MNT1",16.336,-15.3674,8.7883,-7.3511,-6.7753,-3.7953,0.124435411020777,8.33841422291723
"YUSIT1",16.4746,-12.5626,9.3904,-6.9904,-5.0764,-1.3361,0.11513098464318,-2.64705237109086
"NM1",15.9346,-11.4295,10.361,-8.0507,-7.2053,-0.3794,0.168744354110208,17.7893019164649
"NM2",14.8269,-15.0368,10.9372,-8.7845,-7.5353,-0.8535,0.163640469738031,18.985338532897
