"","Pro_Ver","Inv_Ver","Pro_Hoek","Inv_Hoek","KS_E","KS_M","KS","GS"
"GSM3177125",32.1076,-3.5425,11.7715,-2.9952,0.2167,9.0448,0.438247513533929,-0.543431962312987
"GSM3177126",30.6797,-0.5119,10.3217,-1.3416,-0.3586,9.2364,0.446556716605816,7.50228672540182
"GSM3177127",29.5648,-3.4184,11.0229,-0.5378,-1.3324,8.3216,0.45247387636913,-5.90950186730345
"GSM3177128",29.5302,-2.925,10.4127,-0.8445,-0.4671,7.7169,0.460783079441017,5.77556237018398
"GSM3177129",31.3822,-3.052,11.1203,-2.0184,-0.3232,7.7329,0.396827395190734,-16.5282496595644
"GSM3177130",29.5279,-1.5897,10.7958,-0.1531,0.7151,8.6292,0.444038776281002,9.70333439359505
