"","Pro_Ver","Inv_Ver","Pro_Hoek","Inv_Hoek","KS_E","KS_M","KS","GS"
"common_melanocytic_nevus_1",2.943,-0.4728,4.1533,-0.7564,3.4768,-2.0093,-0.15847779734866,-0.160242664800863
"common_melanocytic_nevus_2",8.8954,-3.8584,7.8617,-3.6801,7.5353,-5.3884,-0.314962454806712,1.48342690798942
"common_melanocytic_nevus_3",5.1754,4.3188,5.8772,1.1241,5.843,3.9669,-0.0789376100862149,0.903357567218701
"common_melanocytic_nevus_4a",2.7159,4.9119,4.5852,0.5701,8.5745,0.846,-0.204320014832669,2.57584787949856
"common_melanocytic_nevus_4b",6.6865,2.3436,6.6204,-1.4786,11.9748,-5.9932,-0.428061555576156,2.42811311095756
"common_melanocytic_nevus_5",4.6299,0.4081,5.6297,-1.0643,6.652,-0.8688,-0.185640122369519,2.59691909480257
"common_melanocytic_nevus_6",-0.0307,1.3336,1.138,0.8439,7.2358,1.5216,-0.207981829980532,3.33152363890616
"common_melanocytic_nevus_7a",1.2665,-2.4657,4.4125,-2.7684,4.7952,-6.1433,-0.234402521553722,0.20599531761835
"common_melanocytic_nevus_8a",5.2622,-1.2565,5.5607,-0.7902,6.7377,-1.3913,-0.241587095578011,3.13183026154157
"common_melanocytic_nevus_9a",5.8918,2.5201,7.1505,-0.8411,3.5663,-0.3614,-0.142208213590433,0.601177807061102
"common_melanocytic_nevus_10",4.4097,2.3443,5.6305,-0.2317,7.896,-1.1192,-0.204180958561231,2.42709843330934
"common_melanocytic_nevus_11",8.1179,-0.6552,6.4658,0.1134,7.155,1.4731,-0.178270139983313,1.73649599347772
"common_melanocytic_nevus_12",6.4978,1.1712,6.172,-0.0938,10.1464,-2.7119,-0.307499768239548,3.82586062440588
"common_melanocytic_nevus_13",8.6237,-5.8455,8.4907,-4.2283,6.4786,-7.3506,-0.295170112172059,0.100578286035254
"common_melanocytic_nevus_14",11.6668,-3.4227,8.6136,-4.2095,9.469,-7.1111,-0.413321590803745,2.48277317792233
"common_melanocytic_nevus_15",9.8139,-7.2908,7.9156,-5.5618,6.9233,-9.657,-0.390933531102253,1.0386355723365
"common_melanocytic_nevus_16",10.0007,-2.2678,8.1964,-5.0815,8.6104,-7.9595,-0.441781774358024,1.42893465490417
"common_melanocytic_nevus_17a",10.1405,-2.0231,8.2034,-2.4176,7.0554,-2.1256,-0.214378418466673,0.638204357533853
"radial_growth_phase_melanoma_27",5.458,-5.9847,6.5457,-3.484,9.082,-9.5158,-0.436775748586261,3.57026696933485
"radial_growth_phase_melanoma_28",9.5158,4.8892,7.7894,3.5313,3.4481,4.9783,0.113562621674238,0.532069131719216
"radial_growth_phase_melanoma_29",6.3629,0.8072,4.5556,0.3013,7.9253,-7.2306,-0.328868081950496,1.56892442774703
"radial_growth_phase_melanoma_30",9.9615,2.0541,7.6901,0.548,4.517,3.1544,-0.079957356076759,0.140992908250379
"radial_growth_phase_melanoma_7b",2.752,1.9447,5.6932,-1.9146,7.1079,-3.4004,-0.231621396124965,2.61214599556239
"radial_growth_phase_melanoma_31",6.8001,2.1254,7.0299,0.1879,5.6154,2.1337,-0.115184944841012,0.990310460421828
"radial_growth_phase_melanoma_32",2.0895,-0.1329,4.2144,-1.8711,7.5592,-1.1167,-0.210531194956893,2.22622010666428
"radial_growth_phase_melanoma_33",8.5136,-1.8235,8.4166,1.5956,4.3071,2.3638,-0.085565959024752,1.88039242513392
"vertical_growth_phase_melanoma_34",6.9916,0.8647,6.7783,-0.5171,6.4141,-0.3729,-0.212987855752294,0.245650154219511
"vertical_growth_phase_melanoma_35",13.2473,-3.4666,9.054,-1.0581,3.3201,-0.7738,-0.120932604060443,0.519854581915097
"vertical_growth_phase_melanoma_36",12.3957,-2.0825,8.813,-1.6022,-0.1658,0.4309,-0.0930749976823955,-1.32766242692736
"vertical_growth_phase_melanoma_37",10.2904,-1.6117,8.0912,-0.4948,6.6473,1.6756,-0.154491517567442,1.52314507257442
"vertical_growth_phase_melanoma_17b",11.262,0.1702,9.5354,-2.2206,5.551,-1.4708,-0.208398998794846,-0.0493744623844821
"vertical_growth_phase_melanoma_38",16.8067,-12.0628,10.1972,-5.9856,-2.14,-4.773,-0.11272828404561,-1.44732929826498
"vertical_growth_phase_melanoma_39",10.2984,-2.8669,8.9473,-0.9421,4.6214,0.4593,-0.13530175210902,1.716042399643
"vertical_growth_phase_melanoma_9b",9.3994,-2.5517,8.2488,-3.135,-1.1158,0.4946,0.11272828404561,-2.73325668637566
"vertical_growth_phase_melanoma_40",11.2836,0.1155,8.972,1.2983,3.3034,3.7768,0.064243997404283,0.961651868187114
"vertical_growth_phase_melanoma_41",11.2235,-6.4689,9.4699,-2.2296,-9.0996,-2.805,0.178687308797627,-8.9167308012484
"vertical_growth_phase_melanoma_42",3.8639,6.2947,5.4059,1.3951,3.4935,1.9831,-0.0952998980254009,-0.536011809191869
"vertical_growth_phase_melanoma_43",5.3289,8.1317,6.3424,2.77,9.1581,3.8753,-0.137433948271067,4.58753023266112
"vertical_growth_phase_melanoma_44",9.471,1.4138,8.797,1.0944,5.0936,1.2363,-0.134560118661352,1.76123205979158
"vertical_growth_phase_melanoma_45",10.6586,2.927,8.426,-0.1601,0.3474,3.2171,0.138639102623528,-2.07632636245677
"vertical_growth_phase_melanoma_46",11.4909,6.9544,8.7513,3.9281,2.3104,7.7134,0.177343098173728,-2.78362909661183
"melanoma_metastasis_47",12.3466,-1.5859,9.1413,-4.0566,-8.6866,2.2423,0.296792435338834,-9.71329108725986
"melanoma_metastasis_48",3.091,-8.0983,5.6,-1.3855,-7.1227,-5.7887,0.0915453786965792,-8.69572955334788
"melanoma_metastasis_49",14.2783,-0.9003,9.0242,-0.2121,-7.0159,5.4116,0.307731528691944,-7.72400427802114
"melanoma_metastasis_50",3.834,-1.5939,8.0685,-2.673,-11.7402,1.768,0.336516176879577,-10.677676052511
"melanoma_metastasis_51",8.9244,-9.0834,11.1672,-4.5427,-9.8362,-1.879,0.183507926207472,-9.9764176662191
"dysplastic_nevus_18",6.4276,2.1623,6.3442,-0.4767,7.4438,1.0302,-0.179289885973857,2.55022712445606
"dysplastic_nevus_19",7.3633,2.1944,7.0586,-0.4276,7.0535,2.7901,-0.131315472327802,1.45492206321165
"dysplastic_nevus_20",11.086,1.3436,8.6169,-2.0081,9.2549,-4.6659,-0.384768703068508,2.41794761047863
"dysplastic_nevus_21",10.1259,-1.7124,8.2491,-3.2676,3.5811,1.0238,-0.0892741262630945,0.000824067067145773
"dysplastic_nevus_22",10.5392,1.3172,9.0988,-1.7497,9.5939,-0.9394,-0.266385463984426,2.20356668149913
