"","Pro_Ver","Inv_Ver","Pro_Hoek","Inv_Hoek","KS_E","KS_M","KS","GS"
"merck_cd45negcd90neg_PL3_S247",14.0143,6.0807,5.2105,0.0204,4.8068,3.7965,-0.0297619047619048,-1.36076453323258
"merck_cd45negcd90neg_PL3_S270",16.6875,8.0392,6.9202,0.6208,4.6324,5.2434,0.0446428571428571,-1.64473460463273
"merck_cd45negcd90neg_PL3_S268",19.9378,3.2446,10.078,-1.0659,4.9347,6.3571,-0.0684523809523809,0.0413855444469498
"merck_cd45negcd90neg_PL3_S241",17.186,5.6292,9.0306,-1.6815,3.9826,5.8179,0.0714285714285714,1.89330937819479
"merck_cd45negcd90neg_PL3_S195",19.2661,4.3746,9.0258,-0.7755,3.0697,4.1918,0.0634920634920635,1.51540445386622
"merck_cd45negcd90neg_PL3_S223",16.8095,5.6117,7.8419,-0.5119,5.1263,6.7515,0.0952380952380952,-0.715774246660372
"merck_cd45negcd90neg_PL3_S245",18.3689,1.3396,9.0621,-1.768,2.3128,4.4291,0.0873015873015873,0.399753916798408
"merck_cd45negcd90neg_PL3_S227",14.4895,7.457,5.6458,1.9392,5.1409,5.0126,-0.0228174603174603,-1.83819621871969
"merck_cd45negcd90neg_PL3_S221",18.4222,3.095,10.6042,-1.313,2.9183,5.073,0.0912698412698413,1.8502747533257
"merck_cd45negcd90neg_PL3_S275",16.3305,9.0816,6.1456,2.5858,5.0582,4.2998,-0.0456349206349206,-1.55589822243249
"merck_cd45negcd90neg_PL3_S232",16.5617,5.1916,7.4667,-0.0281,4.6362,5.9538,0.0595238095238095,-0.506369586847517
"merck_cd45negcd90neg_PL3_S250",15.5021,6.8924,5.1444,1.6208,4.5855,3.2573,-0.0525793650793651,-1.60837743993938
"merck_cd45negcd90neg_PL3_S278",18.6901,1.6904,9.0453,-3.22,2.3364,3.2775,0.0456349206349206,0.793570059083871
"merck_cd45negcd90neg_PL3_S238",13.942,2.2972,6.8169,-1.0072,4.2508,4.1247,-0.0615079365079365,0.806766747368378
"merck_cd45negcd90neg_PL3_S236",16.3,8.443,7.1665,1.0434,5.833,2.7619,-0.0773809523809524,-2.28114078696081
"merck_cd45negcd90neg_PL3_S231",15.5724,7.8731,7.2176,2.7628,3.5204,5.6319,0.0486111111111111,-1.39698983891596
"merck_cd45negcd90neg_PL3_S197",13.5069,6.396,5.8571,1.5621,5.4308,5.8602,0.0347222222222222,0.604592489689236
"merck_cd45negcd90neg_PL3_S277",16.7662,4.4364,8.1958,0.6848,4.8917,4.645,0.0436507936507936,-2.11885374294689
"merck_cd45negcd90neg_PL3_S202",12.1425,7.941,3.8005,-0.6273,4.362,6.5788,0.100198412698413,0.236547313122415
"merck_cd45negcd90neg_PL3_S204",17.4689,4.266,8.3105,0.4925,5.2807,4.6519,-0.0615079365079365,-0.161487737386683
"merck_cd45negcd90neg_PL3_S213",20.5289,5.6016,9.0733,-0.5891,4.5816,6.654,0.0625,-0.140145583281505
"merck_cd45negcd90neg_PL3_S217",17.9748,4.3903,9.755,-2.2495,1.8919,4.4405,0.106150793650794,-0.300471793917779
"merck_cd45negcd90neg_PL3_S287",16.8358,7.0385,5.7879,0.8182,5.7142,3.2333,-0.0724206349206349,0.453634681737509
"merck_cd45negcd90neg_PL3_S219",17.0648,6.0456,6.9652,0.7624,4.4402,5.3527,0.0367063492063492,-0.440970506768816
"merck_cd45negcd90neg_PL3_S243",17.5918,7.8669,6.838,-0.1723,3.2097,5.3423,0.0436507936507936,-2.02636123413708
"merck_cd45negcd90neg_PL3_S214",18.2769,3.0391,9.8852,-1.3141,3.0638,4.7532,0.0476190476190476,0.506673371149929
"merck_cd45negcd90neg_PL3_S260",16.2428,8.0974,5.9664,3.5332,6.4445,6.9958,0.0714285714285714,-1.44572269743483
"merck_cd45negcd90neg_PL3_S211",18.6448,5.9633,8.7252,0.0689,2.8278,7.0334,0.126984126984127,-0.68259378022666
"merck_cd45negcd90neg_PL3_S276",19.3239,1.6738,9.024,-3.2065,3.076,2.7474,-0.0982142857142857,-0.907701138364691
"merck_cd45negcd90neg_PL3_S205",19.4987,1.6533,10.1011,-0.8117,3.6623,3.923,-0.0753968253968254,1.33938098954749
"merck_cd45negcd90neg_PL3_S240",20.4715,1.8272,10.9223,-0.3009,2.1318,4.679,0.106150793650794,1.01582910470753
"merck_cd45negcd90neg_PL3_S248",14.5422,7.359,4.3619,-0.5185,3.8909,4.5214,0.0287698412698413,-1.46232359488445
"merck_cd45negcd90neg_PL3_S209",18.0127,4.1676,5.9552,0.4492,1.9735,5.3515,0.0595238095238095,-1.76723562800538
"merck_cd45negcd90neg_PL3_S252",17.3564,2.5797,8.3078,-0.9344,3.5939,5.2456,0.0843253968253968,-0.0322046573210351
"merck_cd45negcd90neg_PL3_S198",19.8967,6.7615,9.515,-1.2794,3.9367,6.4118,0.101190476190476,-0.24671223340481
"merck_cd45negcd90neg_PL3_S196",17.2872,8.4754,6.6493,2.0073,2.099,6.1863,0.0753968253968254,-1.75242015301087
"merck_cd45negcd90neg_PL3_S208",17.7523,4.5006,8.3198,0.5662,4.7105,5.82,0.0704365079365079,0.352482878340327
"merck_cd45negcd90neg_PL3_S230",17.5791,4.9195,8.0151,-2.7238,3.0623,2.7594,-0.0674603174603175,0.630325465378835
"merck_cd45negcd90neg_PL3_S274",14.2512,8.2477,6.4139,0.5114,4.7089,5.1759,0.0297619047619048,-1.77500434721113
"merck_cd45negcd90neg_PL3_S271",17.1626,8.7404,7.7115,1.8739,4.5637,7.062,0.0535714285714286,0.541534408192843
"merck_cd45negcd90neg_PL3_S255",20.2934,2.394,9.8047,-0.181,2.0739,4.2571,0.0843253968253968,1.4733618209648
"merck_cd45negcd90neg_PL3_S272",17.4257,5.4578,9.0597,0.585,3.8361,5.9432,0.0724206349206349,-0.799981693589223
"merck_cd45negcd90neg_PL3_S256",15.8138,6.9583,6.0704,1.7601,3.9998,4.7291,0.0347222222222222,-1.76370718018161
"merck_cd45negcd90neg_PL3_S253",17.1794,5.8799,7.3365,0.62,4.2148,6.2577,0.064484126984127,-1.78243914962338
"merck_cd45negcd90neg_PL3_S235",15.4218,7.4087,5.5248,1.7057,5.0648,4.0695,-0.0327380952380952,-1.52556770662156
"merck_cd45negcd90neg_PL3_S218",20.1335,6.1794,9.9479,1.4024,3.961,6.3973,0.104166666666667,1.42989139739986
"merck_cd45negcd90neg_PL3_S193",17.6214,0.5118,9.9289,-3.7393,1.5187,4.6445,0.126984126984127,0.954961902627729
"merck_cd45negcd90neg_PL3_S207",18.7697,3.99,9.4441,-0.3465,4.2786,5.652,0.066468253968254,0.888769504679515
"merck_cd45negcd90neg_PL3_S239",19.9581,1.6429,9.029,-1.2087,3.879,5.0884,0.0654761904761905,0.268391076152863
"merck_cd45negcd90neg_PL3_S242",15.7733,8.094,4.6036,1.7061,5.84,5.6452,0.0466269841269841,-1.30465977743142
"Merck_CD45neg_EPCAMpos_pl4_S108",20.1851,6.6648,8.9513,0.931,4.1302,6.3783,0.131944444444444,0.221516533961495
"Merck_CD45neg_EPCAMpos_pl4_S164",17.7462,4.5319,7.663,-1.1059,4.9524,5.7486,0.0694444444444444,0.670276751257027
"Merck_CD45neg_EPCAMpos_pl4_S131",16.1357,8.5089,5.3553,0.307,5.1054,7.4117,0.0496031746031746,-0.464807525300382
"Merck_CD45neg_EPCAMpos_pl4_S168",15.5762,10.5749,6.602,4.2545,3.3922,7.5646,0.0773809523809524,-3.12337721410708
"Merck_CD45neg_EPCAMpos_pl4_S127",14.8519,6.9878,6.6033,1.0099,4.3531,3.8706,-0.0466269841269841,-2.30236310819917
"Merck_CD45neg_EPCAMpos_pl4_S166",16.7316,4.0597,7.9026,-1.8316,4.4914,4.2192,-0.0744047619047619,0.665352551887192
"Merck_CD45neg_EPCAMpos_pl4_S137",15.9384,8.9158,7.5168,1.4135,4.6209,7.5575,0.0714285714285714,-1.20100674933364
"Merck_CD45neg_EPCAMpos_pl4_S157",13.7866,6.8433,3.8146,2.1216,5.4476,4.5643,-0.0456349206349206,-1.26506596867559
"Merck_CD45neg_EPCAMpos_pl4_S175",14.2074,7.2497,6.3806,1.135,5.3721,3.8238,-0.064484126984127,-1.54291714800609
"Merck_CD45neg_EPCAMpos_pl4_S124",17.1957,2.8845,8.6072,-0.6678,3.8817,3.643,-0.0575396825396825,-0.110336015571936
"Merck_CD45neg_EPCAMpos_pl4_S107",15.2806,6.3307,5.155,0.2334,3.5421,4.7179,0.0525793650793651,-1.04880607135414
"Merck_CD45neg_EPCAMpos_pl4_S177",21.8754,2.2713,10.0664,-2.111,4.3854,4.3435,-0.0783730158730159,0.773285654936633
"Merck_CD45neg_EPCAMpos_pl4_S171",17.9849,-0.0671,9.1121,-1.4776,3.6685,6.4171,0.0684523809523809,0.317616663692089
"Merck_CD45neg_EPCAMpos_pl4_S133",19.4729,-0.1084,9.8306,-3.181,1.2833,3.342,0.109126984126984,0.846568584669541
"Merck_CD45neg_EPCAMpos_pl4_S185",15.7744,4.9112,6.2993,1.043,0.9449,5.77,0.0674603174603175,-1.45021481186148
"Merck_CD45neg_EPCAMpos_pl4_S128",17.3321,6.0268,8.1735,2.1571,5.8296,4.8523,-0.060515873015873,-2.15591988915523
"Merck_CD45neg_EPCAMpos_pl4_S140",16.7641,9.3659,6.0867,1.4753,3.325,7.0261,0.0734126984126984,-0.678014397795679
"Merck_CD45neg_EPCAMpos_pl4_S145",14.8176,5.7375,6.0069,-0.6116,3.7783,2.3351,-0.056547619047619,-2.1422612539884
"Merck_CD45neg_EPCAMpos_pl4_S123",15.3209,6.864,6.4789,0.1724,4.993,4.7643,0.0476190476190476,-2.78316795372937
"Merck_CD45neg_EPCAMpos_pl4_S190",20.0147,3.0608,10.1738,-1.7781,3.7361,6.2419,0.0813492063492063,0.415142911709297
"Merck_CD45neg_EPCAMpos_pl4_S97",20.3315,1.2134,9.2266,-2.7951,1.8301,3.8932,0.0773809523809524,0.485663776728868
"Merck_CD45neg_EPCAMpos_pl4_S176",16.5861,5.0699,9.3139,-1.5745,4.5117,7.3813,0.125,0.563610426811867
"Merck_CD45neg_EPCAMpos_pl4_S188",11.6611,7.8755,3.0454,1.4286,2.5629,4.0058,0.0466269841269841,-1.64613842464072
"Merck_CD45neg_EPCAMpos_pl4_S138",15.6783,10.2719,5.5415,0.9875,5.3091,7.5727,0.060515873015873,-1.34058233259321
"Merck_CD45neg_EPCAMpos_pl4_S170",17.229,7.1253,6.8532,0.8525,7.0864,6.3065,-0.060515873015873,-1.85372511474088
"Merck_CD45neg_EPCAMpos_pl4_S132",14.7853,10.0508,5.549,3.4261,2.6658,5.0816,0.0763888888888889,-1.6210745400954
"Merck_CD45neg_EPCAMpos_pl4_S119",18.4959,1.7337,10.4816,-2.0969,2.9669,4.7891,0.0714285714285714,0.421295295100215
"Merck_CD45neg_EPCAMpos_pl4_S162",19.3289,3.2515,9.1075,-1.9365,3.1162,4.7143,0.0803571428571428,0.587023162095821
"Merck_CD45neg_EPCAMpos_pl4_S142",16.0666,6.7662,8.3943,-0.5018,2.6505,5.7076,0.117063492063492,0.207009352514169
"Merck_CD45neg_EPCAMpos_pl4_S187",17.14,7.5339,8.2026,0.5789,3.3847,7.4453,0.161706349206349,0.256308893961214
"Merck_CD45neg_EPCAMpos_pl4_S143",19.3267,3.8588,9.3322,-1.3736,2.7715,6.7074,0.129960317460317,0.655673761357968
"Merck_CD45neg_EPCAMpos_pl4_S172",19.2518,7.4732,7.6938,0.3391,5.152,5.2515,-0.0396825396825397,-1.31513822479589
"Merck_CD45neg_EPCAMpos_pl4_S181",16.4006,7.9826,5.825,2.5473,3.8284,6.6858,0.060515873015873,-1.97469984264148
"Merck_CD45neg_EPCAMpos_pl4_S101",17.718,4.2507,8.9338,-0.532,4.6508,6.387,0.111111111111111,0.744326798305759
"Merck_CD45neg_EPCAMpos_pl4_S103",13.2287,11.7545,5.0337,2.1093,3.6189,5.9243,0.0793650793650794,-1.95848911052728
"Merck_CD45neg_EPCAMpos_pl4_S149",16.9289,6.6891,8.2666,0.2693,5.1474,4.1656,-0.0615079365079365,-0.0188841361610987
"Merck_CD45neg_EPCAMpos_pl4_S139",16.6939,9.9011,7.0115,0.8106,4.1559,6.9854,0.0744047619047619,-0.425553101375687
"Merck_CD45neg_EPCAMpos_pl4_S165",18.0441,8.6789,7.0149,0.9475,6.0832,6.3144,0.0505952380952381,-0.720104058905432
"Merck_CD45neg_EPCAMpos_pl4_S184",21.3019,4.8747,10.613,-1.9507,3.3542,5.3508,0.108134920634921,-0.189900208621655
"Merck_CD45neg_EPCAMpos_pl4_S106",18.7464,6.9196,7.5304,1.9447,5.1382,5.3871,0.0476190476190476,-1.2466858331511
"Merck_CD45neg_EPCAMpos_pl4_S158",16.134,5.6583,7.3502,1.0848,4.0434,5.447,0.0863095238095238,1.14728329718639
"Merck_CD45neg_EPCAMpos_pl4_S144",16.4684,5.1267,9.2284,-0.6931,3.6135,6.2852,0.0843253968253968,0.490134604732387
"Merck_CD45neg_EPCAMpos_pl4_S121",16.0122,4.5501,7.186,-0.427,1.3232,4.5848,0.0753968253968254,-2.13454324481454
"Merck_CD45neg_EPCAMpos_pl4_S173",20.5833,4.3976,9.8796,-1.0876,5.0515,5.3588,0.0654761904761905,0.400606491674717
"Merck_CD45neg_EPCAMpos_pl4_S178",16.452,1.1042,7.2723,-0.5576,4.0963,5.0123,0.0555555555555556,0.207269038720407
"Merck_CD45neg_EPCAMpos_pl4_S161",15.1749,11.3542,5.3057,-0.1648,3.1007,4.7498,0.0238095238095238,-1.84439825955865
"cy102_CD45neg_CD90neg_S94",18.0213,-0.3247,9.0382,-1.0703,1.6809,3.2403,0.0932539682539683,-0.463365184430559
"cy102_CD45neg_CD90neg_S2",18.7282,1.9706,8.9304,-1.4431,2.6643,4.2283,0.0773809523809524,1.0454685806751
"cy102_CD45neg_CD90neg_S6",16.5954,5.0258,8.2435,-0.3742,4.7533,5.6352,0.0654761904761905,0.778974837594514
"cy110_CD45neg_CD90neg_S221",8.9571,4.4427,1.332,1.8485,0.4145,3.1709,0.10515873015873,-2.16308784638091
"cy110_CD45neg_CD90neg_S251",7.0059,-1.6626,-0.3441,-0.1225,0.0708,2.5119,0.103174603174603,-1.62904720212112
"cy103_CD45neg_CD90neg_S104",23.2726,5.009,11.1722,-2.5073,4.1938,3.8278,-0.0684523809523809,3.67696983128448
"cy102_CD45neg_CD90neg_S27",17.5972,2.0779,8.954,-1.2522,1.7338,4.6284,0.0932539682539683,1.24491579542752
"cy110_CD45neg_CD90neg_S201",10.4815,8.5922,1.6314,2.3237,4.1381,3.9732,-0.0674603174603175,-0.116590666351705
"cy103_CD45neg_CD90neg_S106",22.0748,4.8508,11.1387,-2.1857,5.0164,5.2189,-0.0902777777777778,4.15309529161507
"cy110_CD45neg_CD90neg_S206",10.0188,6.4942,1.8334,2.3245,1.8323,6.2203,0.125,-0.275235192269002
"cy103_CD45neg_CD90neg_S149",16.4229,7.876,7.5615,-1.2534,4.2687,6.1141,0.0922619047619048,1.93072351597446
"cy103_CD45neg_CD90neg_S131",21.9282,6.1783,10.2346,-2.3485,3.3091,4.6611,0.0833333333333333,1.34955133406123
"cy102_CD45neg_CD90neg_S82",17.22,2.4235,8.637,-2.0152,2.116,5.3168,0.0833333333333333,1.75531537836965
"cy103_CD45neg_CD90neg_S116",23.88,4.1259,9.2472,-2.2219,4.4456,2.8022,-0.0803571428571428,7.73325065472904
"cy103_CD45neg_CD90neg_S126",15.7596,10.0074,7.4043,0.3926,2.7271,4.6613,0.0376984126984127,-0.800090189726677
"cy102_CD45neg_CD90neg_S33",18.6296,1.6572,9.1489,0.3169,1.7247,5.4943,0.110119047619048,1.68436450469426
"cy102_CD45neg_CD90neg_S51",15.3891,7.5032,6.9648,-0.0874,5.7594,5.4638,-0.0694444444444444,1.59844958593504
"cy102_CD45neg_CD90neg_S22",16.8099,1.8682,8.5872,-1.1052,2.5723,5.5634,0.0912698412698413,0.728694161562
"cy103_CD45neg_CD90neg_S169",19.1997,10.9203,7.5312,-0.1635,5.5963,4.5257,-0.0813492063492063,1.69763292274505
"cy102_CD45neg_CD90neg_S91",18.5052,-1.1571,8.9397,-2.2781,3.8894,3.7575,0.0555555555555556,-1.01433601529623
"cy112_CD45neg_CD90neg_S323",15.3754,9.4723,5.5358,1.5858,3.8948,7.7174,0.104166666666667,-2.35251922438736
"cy103_CD45neg_CD90neg_S108",17.5171,7.6065,7.8546,0.0849,5.633,5.119,0.0724206349206349,-1.14641810936627
"cy102_CD45neg_CD90neg_S7",17.8625,3.4625,9.5395,1.0888,2.9798,4.3627,0.0992063492063492,1.97875902902676
"cy103_CD45neg_CD90neg_S166",13.3935,9.7581,4.5072,-0.3946,7.2224,3.6183,-0.108134920634921,0.223632097012042
"cy103_CD45neg_CD90neg_S164",21.8504,3.4719,9.7532,-2.0804,3.1691,2.6734,-0.0783730158730159,3.4081954964185
"cy110_CD45neg_CD90neg_S286",9.8862,7.5774,0.7417,3.6238,2.665,5.9667,0.0436507936507936,-2.19290849284172
"cy102_CD45neg_CD90neg_S62",19.0235,1.3956,9.1745,-1.9329,3.0058,3.547,0.0744047619047619,1.22344766236308
"cy110_CD45neg_CD90neg_S208",5.3387,-5.0135,-0.9412,-2.2756,-3.317,-0.6746,0.112103174603175,-2.809584796903
"cy110_CD45neg_CD90neg_S256",5.5359,-3.1173,-1.1974,-1.1113,-2.8519,0.9923,0.123015873015873,-2.80430266766554
"cy103_CD45neg_CD90neg_S185",20.0537,7.428,9.1196,-1.8845,4.0173,4.9457,0.0734126984126984,1.80586480084638
"cy102_CD45neg_CD90neg_S93",19.2384,-1.5204,9.0735,-1.7951,0.6166,3.1324,0.0863095238095238,0.683381850113657
"cy110_CD45neg_CD90neg_S266",11.2344,6.7865,2.3941,0.5264,3.7823,3.1868,-0.0773809523809524,-0.482095058711619
"cy102_CD45neg_CD90neg_S80",19.4446,0.7256,9.7399,-1.8834,2.1702,4.277,0.0892857142857143,1.66956014607941
"cy112_CD45neg_CD90neg_S340",17.8841,11.2068,6.9791,1.4689,4.901,8.1441,0.108134920634921,0.396231412839477
"cy103_CD45neg_CD90neg_S160",24.1046,1.2702,10.9849,-2.1211,4.3115,1.6328,-0.117063492063492,4.9368483164067
"cy103_CD45neg_CD90neg_S154",21.2975,4.8061,9.9287,-1.766,4.5816,3.7016,-0.0436507936507936,0.519949118937816
"cy102_CD45neg_CD90neg_S75",16.2155,0.7965,6.2475,-2.3698,0.9443,5.3446,0.146825396825397,0.250624491526312
"cy103_CD45neg_CD90neg_S139",18.7666,5.8986,8.6765,-1.7164,3.9954,1.972,-0.109126984126984,2.47123822050204
"cy103_CD45neg_CD90neg_S153",15.8237,5.305,7.5773,-2.3579,2.585,3.4984,0.0694444444444444,1.39199044073632
"cy110_CD45neg_CD90neg_S249",6.7839,2.783,0.4025,2.4633,0.5531,4.6398,0.133928571428571,0.00278968536244095
"cy110_CD45neg_CD90neg_S248",5.7359,-3.2507,-2.7232,-1.0528,-2.7164,0.6682,0.115079365079365,-1.94000865158599
"cy110_CD45neg_CD90neg_S200",9.0713,6.0851,2.561,1.8414,3.7873,2.7276,-0.0823412698412698,-1.87690827116935
"cy102_CD45neg_CD90neg_S55",14.8811,3.7256,7.8184,-0.9767,1.1553,3.7729,0.0763888888888889,2.11869311164775
"cy103_CD45neg_CD90neg_S182",20.5977,9.1988,9.4652,-1.9489,3.9493,4.3841,0.0674603174603175,2.58965734355406
"cy102_CD45neg_CD90neg_S11",17.4099,-1.0087,7.9368,-0.8466,1.6339,1.4875,-0.0763888888888889,0.749492572903631
"cy110_CD45neg_CD90neg_S241",3.2309,0.6561,-0.305,0.9323,-0.2854,2.6711,0.0952380952380952,-0.737943728016406
"cy102_CD45neg_CD90neg_S4",14.5012,4.6142,7.8709,-0.5709,3.3738,4.5962,-0.0783730158730159,1.88739718366336
"cy103_CD45neg_CD90neg_S133",24.0374,1.54,10.2251,-3.1895,2.9598,2.4116,-0.0853174603174603,3.44552406264721
