"","Pro_Ver","Inv_Ver","Pro_Hoek","Inv_Hoek","KS_E","KS_M","KS","GS"
"BP.skin",8.797,8.3186,1.4376,4.0899,6.0275,10.0029,0.149110807113543,4892.39601195456
"BP.72.mets",8.7537,10.7603,0.3887,6.2659,-10.392,16.1247,0.61468308253534,-307.444697600274
"BP.72.primary",7.9586,11.4336,0.2075,6.2243,-9.4891,15.1787,0.583675330597355,-301.345887845662
"BP.73.mets",7.7855,11.9852,-0.4672,6.5761,-8.7111,15.7718,0.604043167654659,-229.520927798404
"BP.73.primary",8.1598,13.8265,0.349,6.494,-10.3085,15.0889,0.587931296549628,-338.728950972274
"BP.58.mets",7.289,11.7736,-1.2957,5.8519,-9.0233,12.636,0.532907736738106,-174.218798944459
"BP.58.primary",8.7077,12.9257,-1.0236,6.833,-10.7308,15.1436,0.607995136038912,-265.985220770427
"BP.55.mets",7.3,12.775,-1.5686,6.3347,-10.2435,14.7554,0.57531539747682,-257.670837518643
"BP.55.primary",8.4579,11.6411,-0.5041,6.4465,-10.0612,14.4563,0.588843289253686,-279.0749301791
"BP.53.mets",8.3991,13.3137,-0.148,6.3433,-5.3335,16.1735,0.559051527587779,140.570012254435
"BP.53.primary",8.3515,12.2279,0.1246,6.6136,-9.3471,15.1784,0.590211278309773,-314.863829440537
"BP.72.IgG",5.5798,5.642,-0.3709,-0.0217,-7.0511,6.8683,0.3687490500076,-321.729665966471
"BP.72.CTC",4.0002,1.3281,-0.2938,-2.1571,-6.4711,1.3189,0.228150174798602,-331.735886575702
"BP.73.IgG",3.2369,-0.671,-1.3507,-2.9025,-6.4049,-0.1654,0.189390484876121,-276.025154665682
"BP.73.CTC",3.1414,0.9995,-1.174,-2.7843,-7.1531,0.9203,0.192278461772306,-381.163454251028
"BP.55.IgG",4.553,1.5567,0.0906,-1.7637,-5.6984,2.2176,0.205958352333181,-301.979157453134
"BP.55.CTC",4.4789,1.731,-0.5677,-1.9493,-6.8496,1.5884,0.254293965648275,-355.399570397424
"BP.53.IgG",4.9085,4.6452,-0.1617,-0.5274,-5.7374,3.5678,0.281349749202006,-320.3809912272
"BP.53.CTC",6.966,6.0006,-0.0237,-0.5012,-3.4163,4.5862,0.237878096975224,-275.69806260258
