"","Pro_Ver","Inv_Ver","Pro_Hoek","Inv_Hoek","KS_E","KS_M","KS","GS"
"A375_Vector_Rep1",11.121,-13.903,8.021,-6.343,-8.1174,6.468,0.523302646720368,-19.1048756602769
"A375_Vector_Rep2",10.4393,-13.6582,7.3266,-5.5789,-7.8908,6.3493,0.518124280782509,-12.3149868676148
"A375_Vector_Rep3",11.4386,-14.2119,7.2742,-6.4379,-7.9934,6.1589,0.527042577675489,-11.6188098272559
"A375_ABCB5_KD_Rep1",9.5143,-14.2577,6.6638,-6.4245,-8.1577,6.4434,0.485327963176064,-12.3328378341549
"A375_ABCB5_KD_Rep2",10.8123,-14.906,7.3312,-5.7874,-9.2088,5.8705,0.523302646720368,-13.465773540081
"A375_ABCB5_KD_Rep3",9.7801,-13.9077,6.857,-6.2322,-8.9185,6.5415,0.527042577675489,-14.3302032139483
"G3361_Scrambled_Rep1",15.4505,-15.8445,8.5307,-6.0784,-9.263,5.3048,0.510932105868815,12.797719113044
"G3361_Scrambled_Rep2",14.7869,-16.8323,8.9795,-6.882,-9.2693,4.7689,0.479286536248562,13.5307763983897
"G3361_Scrambled_Rep3",13.1827,-15.5779,8.2859,-6.1286,-9.3254,4.9666,0.498273878020713,12.4356347968325
"G3361_ABCB5_KD_Rep1",14.7719,-17.7709,8.7536,-6.6226,-8.9022,5.3828,0.491657077100115,13.122775613645
"G3361_ABCB5_KD_Rep2",16.5406,-18.6219,8.8054,-7.3426,-8.3897,4.9975,0.453682393555811,13.2844921453653
"G3361_ABCB5_KD_Rep3",15.2923,-17.0923,8.7587,-7.4485,-8.8347,4.9896,0.475258918296893,17.9960888760554
