"","Pro_Ver","Inv_Ver","Pro_Hoek","Inv_Hoek","KS_E","KS_M","KS","GS"
"GSM412141",-1.1951,-2.3811,-1.4242,1.4513,0.9078,-0.1488,-0.11937984496124,-1.49307097756263
"GSM412142",-0.5192,-3.0984,2.6754,2.2,0.0718,0.8846,0.221487603305785,0.900872782127303
"GSM412143",-1.6269,-2.0162,0.8459,2.7971,0.1201,1.0161,0.12226543509966,1.70788144238424
"GSM412144",0.7918,-0.7906,0.857,0.9118,2.8526,0.2126,-0.148711943793911,0.986094095282372
"GSM412145",-0.9546,-2.3519,-0.4238,0.0806,-0.518,-0.9704,-0.135217723453018,1.92034917190343
"GSM412146",-0.7229,1.8865,1.181,2.1257,-1.7482,0.646,0.183662714097497,0.864372137634646
"GSM412147",1.0113,-2.4764,1.0339,1.1415,0.1859,-1.0614,-0.133412042502952,0.873507104497474
"GSM412148",0.3974,-1.0951,0.8581,2.204,1.2745,-1.5826,-0.231058823529412,-2.03543909650061
"GSM412149",0.2558,-1.8537,1.0922,2.7291,0.8783,-2.2978,-0.155393939393939,-1.8070066104816
"GSM412150",0.0266,-2.4691,2.1294,2.6488,0.7847,-0.3176,-0.0672594619243046,-1.28111201811843
"GSM412151",0.5751,-1.0993,0.7905,0.801,-0.5798,0.7203,0.120535714285714,1.54882163961855
"GSM412152",1.7513,-0.5193,2.0899,-0.64,1.1321,0.7921,0.136904761904762,1.38945998128267
"GSM412153",-0.2754,-0.1554,1.4844,3.7406,1.1084,-0.7269,-0.208736717827627,-0.460782888214272
"GSM412154",-2.1889,-2.2988,1.2281,3.809,1.6226,-0.9516,-0.204363636363636,-2.95687271882836
"GSM412155",1.5583,-1.1928,3.5283,4.1409,3.7178,1.5315,-0.141217798594848,0.149596898006575
"GSM412156",0.9692,-2.1672,1.8039,3.9486,3.7694,-0.9516,-0.189632545931758,-1.69528255686677
"GSM412157",1.2112,-2.2371,1.7145,0.9167,2.3552,-2.3603,-0.208,-1.38276671114067
"GSM412158",0.4483,-2.6127,0.9819,0.0804,3.0312,-0.687,-0.227350917431193,1.71277558692326
"GSM412159",0.8441,-3.2468,-0.5468,2.293,0.9211,-2.0791,-0.158380202474691,-1.14266429730576
"GSM412160",-1.6903,-2.3033,1.668,3.5452,1.6713,-1.672,-0.231946006749156,-2.92142253721745
"GSM412161",1.2513,-0.573,3.2189,1.1066,2.0148,0.4845,-0.171912832929782,1.19253038769744
"GSM412162",1.1232,-1.2589,1.1092,3.2982,1.5199,1.5987,0.104761904761905,0.985613909676889
"GSM412163",1.2464,0.8527,3.74,2.0917,2.5759,2.0501,0.0630952380952381,1.40197753093638
"GSM412164",-1.9861,-2.3526,-0.6556,1.5523,-0.1372,-0.4019,-0.101880877742947,0.70548249848626
"GSM412165",0.5295,-1.2392,-1.0961,3.0312,1.4171,-1.1907,-0.133333333333333,1.90543073855747
"GSM412166",0.5536,-1.4611,0.0304,2.5457,1.8155,0.0545,-0.0906193078324225,0.250794055154089
"GSM412167",0.1709,-1.6332,0.4425,3.0335,1.8245,-2.0591,-0.228888888888889,-2.13538783208729
"GSM412168",-0.8989,-0.335,1.2415,3.586,0.6823,2.1034,0.190554899645809,0.786491965939037
"GSM412169",0.1504,-0.9539,1.7974,2.7353,2.2193,1.6486,0.151190476190476,1.61174887309313
"GSM412170",0.1179,-1.8176,2.0669,2.9717,1.5357,1.3246,-0.150885478158205,1.12929415155202
"GSM412171",1.4721,-0.6041,1.6637,2.4416,0.1139,0.3664,0.106493506493507,1.1769531675818
"GSM412172",0.4256,-1.6754,1.059,3.3098,0.4031,1.1437,0.175081056044465,-1.08240189490038
"GSM412173",1.2505,-1.7176,-0.1889,2.9936,1.0491,1.1179,0.154761904761905,-0.541042336063442
"GSM412174",-1.0175,-3.8543,1.8845,2.5715,0.6435,-0.7682,-0.166666666666667,-2.26479564304738
