"","Pro_Ver","Inv_Ver","Pro_Hoek","Inv_Hoek","KS_E","KS_M","KS","GS"
"GSM700742",25.9506,-0.1019,12.5354,-1.2614,3.7357,4.6505,0.165643095279874,13049.6972610895
"GSM700743",26.1753,-1.4957,11.2886,-0.4646,3.6719,2.7974,-0.0998859449026145,3233.93137386764
"GSM700744",22.9022,4.2309,11.3772,3.9708,4.2392,5.2034,0.176258992805755,7766.59431026818
"GSM700745",24.2844,-1.62,11.0193,-0.7398,3.1262,3.546,0.170029829794701,8032.34219865183
"GSM700746",28.6303,2.6124,13.1777,3.7665,4.9603,7.2092,0.198938410247412,9614.05146852476
"GSM700747",21.6766,16.2738,10.1123,9.6494,3.8923,13.9235,0.357825934374452,18675.8133863922
"GSM700748",8.6057,24.3079,-1.299,12.0057,0.9458,17.1088,0.531847692577645,-4250.04907932007
"GSM700749",8.5967,21.6388,-0.2898,11.1565,1.465,15.7659,0.501491489735041,-770.846658271654
"GSM700750",9.6086,21.1997,-0.4553,11.5761,1.6378,14.639,0.482584663976136,-2437.87598931522
"GSM700751",9.2658,23.2269,1.4479,11.2648,3.182,14.6656,0.439550798385682,-814.20926431423
"GSM700752",7.108,20.8428,-0.2765,10.4988,-0.5705,16.0133,0.543428671696789,-4788.64276710977
"GSM700753",7.0702,23.4688,-1.4379,12.3434,0.4864,15.4004,0.50684330584313,-5195.96756913934
"GSM833481",10.5591,25.3452,0.1318,11.3273,1.8621,16.3504,0.486488857694332,-12198.5332909409
"GSM833482",10.1644,26.4562,0.2062,12.6572,0.1219,18.3528,0.582821547639937,-14791.8512382044
"GSM833483",10.1035,24.0589,-0.2859,12.6189,0.2616,17.4418,0.605500965081593,-15124.4541421785
