"","Pro_Ver","Inv_Ver","Pro_Hoek","Inv_Hoek","KS_E","KS_M","KS","GS"
"MelJUSO",8.0023,-13.9383,5.5465,-4.3419,-10.5773,4.4305,0.527330264672037,-9.7779435832333
"A375",-8.4597,0.2201,-6.0636,3.8024,-8.8105,7.4314,0.628308400460299,18.599318682767
"X607B",4.3401,-10.1326,2.4167,-5.2069,-9.8887,5.6522,0.536248561565017,-6.81645949516263
"X518A2",-7.3737,6.8029,-5.6655,6.7386,-8.1974,9.4686,0.682681242807825,11.7160101268119
"Skmel_28",13.1683,-14.9568,8.0321,-7.3562,-8.3268,5.7747,0.404775604142693,-13.7209257311829
