"","Pro_Ver","Inv_Ver","Pro_Hoek","Inv_Hoek","KS_E","KS_M","KS","GS"
"LN1.24IR",-9.0595,-0.7577,-3.9707,-1.3379,-2.9362,-0.8719,-0.0814847678201715,-7.19345514297299
"LN1.15IL",-2.6072,1.8756,-3.5883,1.8363,2.4815,1.9848,0.106773144040225,-5.79846459843941
"LN1.18IL",-5.2541,0.3904,-1.6601,0.4939,-1.4897,2.5124,0.167701863354037,-6.58905806725633
"LN1.16IL",2.834,-1.9189,4.7246,-0.7007,2.5241,-1.0991,-0.170511682934043,-1.05207131395787
"B16.F0..3",0.9757,-3.1071,-3.2852,1.0876,-3.9751,0.304,0.170807453416149,3.89518237795468
"LN3.392AL",-4.7998,14.0386,-1.0747,2.6995,6.6275,4.0034,0.102484472049689,-5.05190265727835
"LN4.473BL",1.3122,1.6689,-1.9983,-1.8596,3.4688,-0.7622,-0.180272108843537,-2.33096013120322
"LN4.533BL",-9.9878,2.032,-2.5157,-1.3848,7.0065,-0.9628,-0.269890564921621,-7.35426751670139
"B16.F0..1",-0.0708,1.1401,-3.207,0.6368,-2.7404,2.4362,0.215616681455191,2.20672157768925
"LN6.877AL",-6.5818,0.2375,-2.5414,-2.1007,4.8391,-1.0133,-0.173321502514049,-10.9200957963933
"LN6.944AL",-3.2898,3.1941,-3.1298,-2.1078,1.4463,-2.7599,-0.166223010943508,-3.85819446483391
"LN6.987AL",6.083,4.8091,6.1236,7.2131,3.0905,-0.3336,-0.186039633244602,7.50751662561389
"LN8.1205BL",2.96,4.2075,1.8374,4.0542,1.0408,-1.1412,-0.252292221236321,9.15685956307477
"LN8.1194BR",2.8938,-8.2015,4.3938,-2.299,-4.551,-5.4772,-0.263235729074238,2.53073911963272
"LN8.1198AR",4.3853,3.9732,5.1736,-1.8032,6.2288,1.559,-0.109139307897072,-0.0314896188236475
"LN9.1315BL",3.2737,6.6524,1.4226,2.9349,4.9275,0.2307,-0.191363501922508,0.675879300989016
"B16.F0..2",1.246,-6.6346,-4.7938,-0.747,-8.013,-0.8018,0.226560189293109,0.713392456355744
"LN2.189ILR",-4.6725,-8.4644,1.578,-0.3887,-8.7671,-1.6595,0.331115054717539,-2.07490988839869
"LN2.225IR",-5.474,-2.0495,-2.5928,-0.9269,-3.0683,3.4477,0.27284826974268,-8.2993810545497
"LN2.262IL",-0.5039,-5.6606,-2.0945,-4.0202,-1.8732,0.8565,0.137829044661343,-1.26857404765596
"LN3.377IR",-6.3334,-9.6766,-2.763,-0.51,-6.8154,0.5738,0.207187222715173,0.303606713551123
"LN3.384IR",-11.6539,-4.497,-3.0839,1.5785,-3.8692,0.4508,0.220940550133097,1.22381204666831
"LN4.521BL",-7.3862,-2.9829,-2.2034,-1.9398,2.594,3.2875,0.214137829044661,-11.1387941561011
"LN5.712AL",-5.9456,4.3334,-3.3493,2.6517,2.1503,1.9995,0.111949127477078,-7.45805865632609
"LN5.716BR",4.4357,-9.712,2.374,-5.7338,-7.4196,-2.8804,0.142265601892931,0.536168803125108
"LN5.809CL",3.2227,6.4449,1.5777,4.6967,3.2524,-0.0426,-0.150547175391896,13.3368369146075
"LN6.880AL",-1.103,-7.2001,-2.2364,-3.4815,-4.567,-0.9898,0.12614611061816,13.6789467536738
"LN6.991AL",6.9379,0.5537,1.3055,0.8561,-2.1236,0.7898,0.118899733806566,12.4173860289805
"LN7.1112AR",7.5234,-1.5968,4.9107,-5.3486,3.1153,-1.8811,-0.197722567287785,-1.00498523055179
"LN7.1120BL",6.3016,5.333,-1.6926,1.5293,0.901,2.6402,0.18544809228039,2.87700870693397
"LN7.1134BL",5.4057,-5.5433,4.8963,0.6109,-3.496,-3.8459,-0.137089618456078,9.64749976038865
"LN9.1358IR",0.9413,-5.4739,4.5347,-0.8545,-0.9605,-2.8269,-0.156166814551908,0.717105592204715
