"","Pro_Ver","Inv_Ver","Pro_Hoek","Inv_Hoek","KS_E","KS_M","KS","GS"
"melan.a_r2",-0.4489,-6.7492,-0.8699,-2.4735,-6.5387,-2.4479,0.202308472856418,8.52731283203511
"melan.a_r3",-1.9607,-13.2224,-0.0923,-3.8949,-7.2261,-4.9305,0.137493658041603,3.16109654136237
"X4C_r1",-11.1203,-1.283,-7.9063,0.4048,-6.2415,0.771,0.229325215626585,-9.70379632447965
"X4C_r2",-12.1096,-0.7042,-7.8437,1.1318,-6.4521,1.9128,0.267123287671233,-11.9989370723722
"X4C_r3",-10.9051,0.4964,-7.2808,1.274,-5.4853,3.2753,0.317858954845256,-9.49656261268245
"X4C11._r1.x",-9.6433,1.1036,-7.4443,-0.1838,-4.6712,0.8632,0.194571283612379,7.02045788220954
"X4C11._r2.x",-12.6081,-2.2535,-8.5334,-0.5334,-6.0768,2.0031,0.215246067985794,1.67668783039378
"X4C11._r3.x",-13.1796,-2.9693,-9.0883,-0.7931,-6.5104,2.3189,0.251522070015221,-0.103376238579136
"X4C11._r1.y",-1.5027,-13.3393,1.7844,-6.6311,-8.4779,-6.0469,0.199391171993912,4.73566977516258
"X4C11._r2.y",-2.0912,-13.1403,1.9955,-6.8559,-8.4644,-6.1192,0.182014205986809,3.68964224883167
"X4C11._r3.y",-0.4529,-14.1419,2.5103,-6.9105,-8.6342,-4.4023,0.198630136986301,2.49180513811844
