"","Pro_Ver","Inv_Ver","Pro_Hoek","Inv_Hoek","KS_E","KS_M","KS","GS"
"AV1",16.4022,13.6364,8.3585,7.3449,-1.1923,10.8259,0.594073647871116,-22.1719435015607
"AV1.RM",7.5116,19.9827,2.6915,11.0278,-2.4027,11.1605,0.669735327963176,-9.52922307673051
"AV4",16.4307,11.8496,9.6282,5.1993,-0.6091,10.6864,0.605868814729574,-12.5376004149268
"AV4.RM",6.6089,25.1849,5.6014,10.4001,-2.4877,11.7511,0.649884925201381,1.46366788156293
"AV5",27.0957,-7.1942,11.4127,-7.3518,-2.5238,7.612,0.488204833141542,-0.687048252342761
"AV5.ChrExp",23.6285,-8.9776,11.0313,-5.8068,-3.9501,8.1078,0.443901035673188,8.65571734439552
"D04",18.2341,-1.1088,8.4156,0.3689,-2.6275,8.3835,0.576237054085155,10.1573755307293
"D04.RM",0.823,17.4134,1.8628,9.222,-2.5506,10.9537,0.690161104718067,-38.7938860626984
"D04.6H",19.3333,-0.7802,9.1864,0.1374,-4.2746,9.3794,0.595224395857307,-15.6947830135128
"MM415",27.9119,-4.2546,12.2855,-2.211,-1.1921,8.613,0.527330264672037,37.1462915379061
"MM415.RM",19.9679,15.6163,10.5734,9.9858,-0.5985,10.0123,0.534522439585731,11.2966449784416
"MM415.6H",26.6952,-5.148,12.7996,-2.9172,-1.5162,8.3222,0.529631760644419,30.6947870487364
