"","Pro_Ver","Inv_Ver","Pro_Hoek","Inv_Hoek","KS_E","KS_M","KS","GS"
"GSM276723",11.5578,18.9248,2.1541,8.578,-2.8572,11.195,0.695005611672278,-8005.20688256778
"GSM276724",14.0173,0.8596,4.708,3.05,-4.3794,8.0412,0.525533108866442,-3111.36294152566
"GSM276725",19.8701,6.5877,9.0375,6.9122,-2.8155,10.54,0.660493827160494,-211.669282847167
"GSM276726",15.259,20.9392,8.7901,11.8863,-2.3732,12.2714,0.781705948372615,-10980.8170479197
"GSM276727",14.8984,6.2027,5.3224,4.3716,-3.805,9.9678,0.645342312008979,-9454.81558595311
"GSM276728",13.4071,5.6098,5.3744,5.2668,-5.261,8.9417,0.61672278338945,-3979.9892539066
"GSM276729",24.2891,-6.0091,10.1603,-0.6155,-2.5919,8.0244,0.494949494949495,4541.77852829124
"GSM276730",13.2401,10.0568,4.1062,8.4108,-3.6334,10.3866,0.620650953984287,-3780.32694097432
"GSM276731",-0.2887,19.3005,-2.437,9.7667,-2.6187,10.2468,0.65993265993266,-750.098668437954
"GSM276732",24.2296,-5.5901,11.541,-1.8297,-2.0631,8.4199,0.521604938271605,3638.48675763505
"GSM276733",20.1678,-8.0265,9.5588,-3.2048,-5.1223,8.4383,0.504769921436588,4651.51088385295
"GSM276734",3.2991,27.6615,-0.9859,12.1838,-3.2947,12.441,0.73625140291807,-7738.97302126984
"GSM276735",0.1571,12.1901,-2.6508,7.0697,-6.7362,8.7667,0.628507295173962,-6026.12504063645
"GSM276736",13.5873,5.6023,5.4992,4.942,-3.3488,9.5357,0.60016835016835,2666.13781994807
"GSM276737",27.8775,-8.8797,12.2733,-4.1452,-0.7334,8.7551,0.499158249158249,3521.08713748991
"GSM276738",29.6643,-5.8265,11.5631,-2.9931,-0.1037,7.8168,0.441358024691358,756.677305339628
"GSM276739",26.3366,-6.2231,11.0194,-3.3166,-1.374,8.8549,0.470258136924804,4264.39575008639
"GSM276740",25.9848,-8.8655,10.9643,-4.3779,-2.9859,8.1343,0.53030303030303,5779.99710442389
"GSM276741",20.3926,-9.2743,10.1227,-3.9446,-5.077,8.2846,0.537878787878788,4054.23516030726
"GSM276742",26.3691,-9.4237,10.4832,-4.1046,-2.666,8.621,0.509539842873176,1381.48126384445
"GSM276743",26.9551,-5.9239,11.0942,-1.0706,-1.8493,7.8892,0.457912457912458,4345.36765232737
"GSM276744",24.2741,-1.7003,10.4831,1.8975,-1.4874,9.5236,0.561167227833894,3587.72891403229
"GSM276745",22.788,2.1815,9.924,2.3451,-3.1032,7.9104,0.46969696969697,3087.30414047458
"GSM276746",1.8981,15.5463,-2.038,8.5555,-3.2067,10.3329,0.725589225589226,-6664.25754219198
"GSM276747",27.628,-11.7461,12.7273,-4.8666,-2.599,7.6924,0.427048260381594,4068.68823998731
"GSM276748",23.6535,0.1765,9.7926,2.5289,-1.6271,9.1725,0.503086419753086,2139.31591834113
"GSM276749",7.7688,9.3553,0.3077,7.5802,-2.5595,10.7328,0.575476992143659,-455.430098289912
"GSM276750",30.0092,-5.8446,11.6543,-2.6469,-0.492,8.3071,0.426767676767677,8706.86655291056
"GSM276751",21.5479,-5.9983,10.5272,-1.7359,-1.9665,8.3685,0.482603815937149,4998.1702258439
"GSM276752",21.4725,3.1483,9.9702,6.0987,-2.7061,10.3124,0.612794612794613,-5476.29226269936
"GSM276753",20.9229,3.7512,8.7159,5.1344,-3.2041,9.8567,0.647586980920314,-2418.09666206281
"GSM276754",23.1627,-5.1565,8.7439,-1.5261,-1.6469,8.748,0.515993265993266,2963.50609569432
"GSM276755",14.6779,16.6469,6.6221,9.0985,-2.1103,11.084,0.67003367003367,-9907.28873135999
"GSM276756",26.0517,-6.1796,11.5,-2.056,-3.0516,8.8644,0.478395061728395,2517.64548923112
"GSM276757",19.6388,3.581,8.5746,3.4467,-4.3959,9.8959,0.612233445566779,-5459.29996099292
"GSM276758",10.0767,7.2854,3.0411,6.7733,-3.5664,9.9756,0.622895622895623,-8890.95891487679
"GSM276759",15.8902,5.9055,8.3571,4.8634,-3.8224,10.4129,0.632996632996633,-1043.5489433066
"GSM276760",15.7519,-8.6768,8.7434,-1.8578,-5.435,8.8604,0.562570145903479,3414.5382189012
"GSM276761",19.9741,-8.3491,10.1173,-5.0854,-4.4934,8.2319,0.507014590347924,4008.98808484314
"GSM276762",17.9132,9.7914,7.8367,5.4587,-2.2867,9.9364,0.556677890011223,1479.68694359935
"GSM276763",28.0682,1.7536,11.7782,3.7425,-1.1968,9.9251,0.639169472502806,-1628.28973390022
"GSM276764",21.1169,1.4453,5.6183,1.1892,-1.4605,10.4836,0.622895622895623,-3177.2500524195
"GSM276765",25.3783,-5.8556,11.534,-1.4719,-2.1897,8.1975,0.522166105499439,2869.89841717271
"GSM276766",19.9263,-2.5625,6.4791,0.5747,-2.6565,8.6233,0.531705948372615,-1499.61958655079
"GSM276767",22.8984,-1.838,9.8954,-0.6353,-3.9381,10.0622,0.65993265993266,4537.12412495539
"GSM276768",25.0464,-7.6281,10.9195,-3.4501,-2.2937,8.3415,0.476150392817059,4944.9466899055
"GSM276769",20.6263,3.3351,8.4755,6.7172,-3.365,10.1248,0.63327721661055,-4553.40932831563
"GSM276770",26.0793,-1.7426,12.0054,-0.6432,-0.7055,10.6329,0.553030303030303,4379.81230441562
"GSM276771",12.1765,3.7026,2.9129,4.6359,-3.1618,10.6294,0.595679012345679,-1249.84051382367
"GSM276772",29.4744,-6.774,11.8309,-4.7739,0.5625,9.0405,0.443883277216611,9157.59127297436
