"","Pro_Ver","Inv_Ver","Pro_Hoek","Inv_Hoek","KS_E","KS_M","KS","GS"
"PBS_10ml_Kg__223226_",10.5587,3.5555,6.0204,1.9509,-2.505,9.6584,0.400906488549618,1.33220041625315
"PBS_10ml_Kg__223228_",9.5781,3.336,5.8256,2.1031,-2.7004,10.7248,0.412690839694656,0.675815816122704
"PBS_10ml_Kg__223232_",9.2806,2.1797,5.3142,1.4888,-2.8364,8.9201,0.360639312977099,0.687110627285137
"Normal_IgG_10_mg_kg__223245_",11.7143,4.5701,6.134,2.0528,-2.4624,10.3592,0.40925572519084,0.245682070284563
"Normal_IgG_10_mg_kg__223238_",9.2101,4.9801,5.5991,2.7782,-2.8072,10.5299,0.380057251908397,0.422433195912896
"Normal_IgG_10_mg_kg__223244_",9.9119,4.0751,5.7055,2.2517,-2.8269,10.3736,0.423139312977099,0.50038265704043
"Normal_IgG_10_mg_kg__223246_",9.8947,4.1482,5.3391,2.1224,-2.8945,10.9722,0.412738549618321,0.647751434447569
"Normal_IgG_10_mg_kg__223248_",9.3578,3.3645,5.8765,2.2838,-3.2556,8.7837,0.355057251908397,0.638816418433164
"Normal_IgG_10_mg_kg__223240_",9.8724,2.8013,5.8656,1.7394,-2.4047,7.6167,0.325906488549618,0.793991612991273
"Normal_IgG_10_mg_kg__223241_",12.0941,10.2848,5.4817,4.9153,-3.2104,14.1793,0.502290076335878,-3.06448162172457
"Normal_IgG_10_mg_kg__223253_",10.0843,3.1454,5.928,1.5285,-2.6118,8.5854,0.348854961832061,1.40857731057295
"Normal_IgG_10_mg_kg__223237_",11.2913,5.747,6.2035,3.872,-2.9309,9.505,0.334971374045801,0.875999495940793
"Normal_IgG_10_mg_kg__223251_",9.8899,2.1674,5.513,1.9255,-2.344,7.0007,0.274570610687023,1.26413112893292
"Normal_IgG_10_mg_kg__223235_",8.7571,3.375,6.2134,2.3314,-2.8631,10.4136,0.348854961832061,0.451938406801533
"Normal_IgG_10_mg_kg__223252_",10.4241,2.7627,5.4217,1.7673,-2.7555,7.8182,0.307204198473282,0.261510686235737
"Normal_IgG_10_mg_kg__223239_",10.2358,2.8027,5.9994,1.9289,-2.3554,7.7598,0.280104961832061,0.915401953821916
"Normal_IgG_10_mg_kg__223234_",9.8324,2.742,6.2665,1.6731,-2.8398,8.5085,0.324570610687023,0.536369515860836
"Responders_to_10mg_kg_anti_mouse_PD_L1_mIgG1_D265A__clone_80__AstraZeneca_Cat__AB740080__Batch__SP15_221___223263_",10.6726,4.9552,5.6473,2.4222,-2.6012,9.8311,0.341221374045801,-1.9453282607344
"Responders_to_10mg_kg_anti_mouse_PD_L1_mIgG1_D265A__clone_80__AstraZeneca_Cat__AB740080__Batch__SP15_221___223281_",11.3783,5.5961,5.948,2.7784,-2.1639,11.3829,0.407919847328244,-0.777214566261886
"Responders_to_10mg_kg_anti_mouse_PD_L1_mIgG1_D265A__clone_80__AstraZeneca_Cat__AB740080__Batch__SP15_221___223291_",10.5284,8.8808,5.9591,3.2559,-0.7676,13.4872,0.405772900763359,-1.53346606774731
"Responders_to_10mg_kg_anti_mouse_PD_L1_mIgG1_D265A__clone_80__AstraZeneca_Cat__AB740080__Batch__SP15_221___223312_",11.2282,12.6047,5.4224,5.2643,-3.3843,15.9239,0.558492366412214,-3.89786514134371
"Responders_to_10mg_kg_anti_mouse_PD_L1_mIgG1_D265A__clone_80__AstraZeneca_Cat__AB740080__Batch__SP15_221___223317_",10.4929,8.3303,4.8478,3.4427,-2.6522,12.9337,0.459923664122137,-3.4324661433434
"Responders_to_10mg_kg_anti_mouse_PD_L1_mIgG1_D265A__clone_80__AstraZeneca_Cat__AB740080__Batch__SP15_221___223326_",10.6665,4.8719,6.2715,2.5901,-2.941,10.0045,0.400906488549618,-1.35191659452568
"Responders_to_10mg_kg_anti_mouse_PD_L1_mIgG1_D265A__clone_80__AstraZeneca_Cat__AB740080__Batch__SP15_221___223327_",11.6456,5.1888,5.6826,2.4459,-2.9508,9.4121,0.351574427480916,-1.88495059874631
"Responders_to_10mg_kg_anti_mouse_PD_L1_mIgG1_D265A__clone_80__AstraZeneca_Cat__AB740080__Batch__SP15_221___223334_",11.2756,2.9928,6.0402,1.4795,-3.0885,8.0874,0.307156488549618,0.859004364277141
"Responders_to_10mg_kg_anti_mouse_PD_L1_mIgG1_D265A__clone_80__AstraZeneca_Cat__AB740080__Batch__SP15_221___223337_",10.6862,1.0446,5.4847,0.467,-2.5981,5.3488,0.259923664122137,1.4948639216875
"Responders_to_10mg_kg_anti_mouse_PD_L1_mIgG1_D265A__clone_80__AstraZeneca_Cat__AB740080__Batch__SP15_221___223273_",10.7314,4.357,5.9751,1.619,-3.0109,8.9836,0.353673664122137,-1.12326280702098
"Responders_to_10mg_kg_anti_mouse_PD_L1_mIgG1_D265A__clone_80__AstraZeneca_Cat__AB740080__Batch__SP15_221___223280_",11.2965,4.8778,6.1539,2.3123,-2.969,10.6122,0.399522900763359,-0.0156895585716508
