"","Pro_Ver","Inv_Ver","Pro_Hoek","Inv_Hoek","KS_E","KS_M","KS","GS"
"COLO829_SKIN",17.6533,-5.0195,10.2207,-0.1877,-3.6536,9.4186,0.620294599018003,-3.66143723473903
"IPC298_SKIN",17.3364,-8.9479,10.0064,-2.8797,-6.055,7.7052,0.536447186201687,2.01312526852772
"SKMEL24_SKIN",11.3428,8.1313,6.4064,7.5602,-4.0762,11.2218,0.640312224600277,-10.5617103356098
"K029AX_SKIN",22.4874,-9.4653,10.6626,-0.8507,-1.6905,8.7457,0.448696965881909,9.82107521942871
"HS695T_SKIN",8.0523,0.7719,-0.9457,4.3893,-3.502,10.4627,0.62507868563515,-10.8246880024851
"CHL1_SKIN",11.2972,-6.1925,1.6467,-0.2122,-3.1066,9.3399,0.568173234294347,1.80297158723755
"SKMEL3_SKIN",19.9732,-11.0433,10.0787,-3.0574,-4.6179,6.9379,0.421755004406396,4.99509384417037
"HMCB_SKIN",9.1171,-3.3338,0.6571,1.34,-3.7683,9.5007,0.578874480674808,0.36247174242088
"MALME3M_SKIN",25.2447,-7.6885,10.7099,-0.6126,-2.4491,9.4509,0.555205841621554,10.065145044025
"MELJUSO_SKIN",14.1822,-7.1413,7.1449,1.6822,-5.2934,8.2814,0.557597884930127,-3.03508547419095
"SKMEL2_SKIN",18.5045,-5.062,9.266,2.009,-4.5257,9.3174,0.564774014855848,-0.765325145611932
"COLO679_SKIN",17.7529,-9.0554,7.9695,-2.0164,-3.0231,8.922,0.489991187208863,4.51997549591105
"WM115_SKIN",8.9678,4.908,2.1456,6.1204,-5.2229,10.2578,0.671031096563011,-10.240109390608
"COLO800_SKIN",16.7417,-1.3915,8.4878,3.4625,-3.3759,10.7395,0.584917537454362,-3.80990876948292
"UACC62_SKIN",13.7579,-4.5179,6.0041,2.7917,-4.026,9.9441,0.639179151454111,-3.91929436104605
"A375_SKIN",4.5413,0.2391,-0.4831,6.1147,-3.9508,9.6195,0.645222208233665,-6.35016973605578
"HS294T_SKIN",11.6313,4.5861,5.121,7.4282,-2.7679,10.2694,0.62495278861891,-5.34549716904661
"SKMEL5_SKIN",24.0753,-12.3323,10.6746,-2.6145,-3.7236,7.7186,0.479541734860884,8.3554543465123
"HS944T_SKIN",11.0617,10.4493,8.1053,8.8241,-3.0727,10.0719,0.634520961853204,-3.76654926468408
"WM2664_SKIN",19.2293,-6.0569,9.8493,-0.3935,-3.1128,10.8285,0.613244366108523,-4.25616592929411
"COLO849_SKIN",20.7973,-6.169,9.6287,0.8034,-2.1776,8.8214,0.564648117839607,1.17057431237799
"LOXIMVI_SKIN",-3.8887,8.543,-3.7987,7.8971,-7.2335,10.4015,0.727936547903815,-10.6530156859389
"UACC257_SKIN",25.9847,-11.8763,11.5114,-3.5557,-2.5359,7.4465,0.359058290318519,19.3691160334026
"IGR37_SKIN",24.2382,-12.333,10.9089,-4.7563,-4.5476,6.7927,0.44542364345965,14.2126286622181
"MELHO_SKIN",24.2777,-14.7676,11.2224,-4.7583,-2.8257,8.6072,0.410801963993453,16.8844167661228
"G361_SKIN",21.4686,-11.0557,9.5983,-0.6039,-4.9819,8.4925,0.520961853204079,9.95603455322549
"COLO741_SKIN",23.254,-10.8117,10.0759,-3.5753,-4.2206,7.3852,0.487850937932771,8.3722287859902
"SKMEL30_SKIN",19.965,-8.324,10.7682,-1.044,-4.2865,8.5567,0.538839229510261,9.97878221002612
"C32_SKIN",15.9503,-4.2843,8.0147,0.1662,-4.2177,8.5474,0.558856855092534,-1.29962418301672
"RVH421_SKIN",16.2163,-3.6404,10.2491,2.2603,-5.6373,9.4806,0.645096311217424,-2.67341011803795
"HS895T_SKIN",-3.2715,17.525,-4.0768,11.4621,-5.3656,11.7227,0.781065088757396,-10.5332886699238
"HS940T_SKIN",0.1673,19.2487,-4.4463,12.5599,-3.7425,11.9855,0.693566662470099,-6.35555333748919
"SKMEL1_SKIN",21.6899,-11.1468,10.9409,-3.3121,-1.8094,8.2385,0.47362457509757,19.482803445208
"HS936T_SKIN",25.1772,-12.2235,11.1952,-4.5707,-3.4188,8.6837,0.513785723278358,12.5707615467661
"HT144_SKIN",13.9254,1.2609,7.1399,5.9069,-4.9767,11.3172,0.695958705778673,-8.14633323337779
"SKMEL31_SKIN",12.5714,6.2057,7.2421,5.4665,-2.799,10.3567,0.578874480674808,-7.23802574514026
"HS839T_SKIN",-2.5455,18.0814,-5.8675,12.9876,-5.7503,12.3328,0.798816568047337,-10.8105584871598
"HS939T_SKIN",16.7405,4.2997,8.9793,7.9891,-4.1882,10.0707,0.715976331360947,-4.26970235708123
"HS688AT_SKIN",-1.6673,20.2436,-6.0224,11.8894,-4.6362,12.3411,0.730202694196148,-10.9775779127677
"HS600T_SKIN",-1.7075,21.3211,-4.5949,12.6367,-4.3629,12.3767,0.795291451592597,-9.20518391748385
"A101D_SKIN",11.1403,2.6521,5.1935,7.2258,-3.0772,10.195,0.599018003273322,-8.34156788711585
"HS852T_SKIN",11.4513,3.4997,5.7588,5.3062,-4.9689,8.631,0.589575727055269,-10.8630179742703
"HS934T_SKIN",-2.6795,19.2377,-5.4964,11.8358,-4.3111,12.4967,0.797683494901171,-11.2091453756885
"RPMI7951_SKIN",-1.7479,15.6274,-2.0568,11.1452,-6.0161,11.7616,0.747954173486088,-14.356666770412
"COLO783_SKIN",19.8851,-3.2852,9.2734,1.334,-4.9063,9.945,0.578874480674808,-2.45350754049428
"COLO792_SKIN",21.3566,-9.0339,10.3853,-1.027,-1.7366,8.9891,0.49477527382601,6.60590251767014
"WM983B_SKIN",14.3134,-5.3631,8.4131,3.5195,-5.3016,8.242,0.556464811783961,-1.34940076301387
"WM793_SKIN",3.9276,15.8586,-0.2912,11.6382,-6.081,11.2935,0.695958705778673,-13.0556159866509
"MDAMB435S_SKIN",6.7623,1.7387,5.1083,4.3588,-4.3547,10.3976,0.60027697343573,-6.36378266798727
"WM1799_SKIN",19.4423,-1.3844,9.8633,2.6601,-2.6801,11.0084,0.640438121616518,-2.15210864207955
"MEWO_SKIN",19.8076,-9.1991,8.7892,-0.7131,-5.1301,8.5797,0.510260606823618,5.63811863757432
"WM88_SKIN",17.3242,-5.3797,7.9546,1.837,-3.648,10.7557,0.681858239959713,-2.68335889832223
"IGR1_SKIN",20.0092,-3.8745,9.4318,2.8854,-3.6852,9.3131,0.548155608712073,3.14592826511157
"IGR39_SKIN",-2.1966,13.2521,-2.7738,9.2226,-6.1026,10.7441,0.627470728943724,-6.65484209736412
"COLO818_SKIN",11.6882,3.75,4.9813,5.1966,-3.146,10.97,0.620420496034244,-7.7681897281994
"SKMEL28_SKIN",24.442,-8.8984,10.8543,-1.0813,-2.2326,9.1152,0.539846405640186,12.9860785105567
"SH4_SKIN",19.565,-9.3765,9.5934,-2.3084,-5.1261,8.5809,0.526753115951152,3.26154431273266
"CJM_SKIN",-3.567,9.0869,-2.3645,6.5524,10.6988,5.0001,0.11620294599018,57.8261417264596
"A2058_SKIN",11.4614,0.49,5.346,5.3866,-4.4063,10.6903,0.654664484451718,-7.44695404180571
