"","Pro_Ver","Inv_Ver","Pro_Hoek","Inv_Hoek","KS_E","KS_M","KS","GS"
"NZM12",18.9372,-15.3279,5.4846,-5.7941,2.0335,-5.8723,-0.393459302325581,1.88984545816088
"NZM42",16.753,-15.0747,4.6808,-4.899,6.1319,-6.1744,-0.426162790697674,7.15574183434225
"NZM15",3.9141,-9.0366,3.4022,-2.7761,-4.1049,-2.557,-0.0953488372093023,1.57157599357483
"Skmel28",13.762,-15.6519,4.9535,-4.2094,-5.6446,0.9206,0.265116279069767,1.89121181031113
"NZM9",-38.6827,19.6408,-10.6484,5.1094,-5.3465,2.3334,0.251889534883721,-7.72946461163076
"NZM40",-31.3543,23.5628,-11.2042,8.8617,3.8713,-1.4683,-0.201453488372093,-9.73322815971398
"NZM11",-9.3345,-6.4301,-4.6693,-2.5899,-2.5273,0.4951,0.191424418604651,-4.24488131681733
"NZM6",12.2874,-12.4331,4.4398,-5.4604,1.1928,-2.1689,-0.139244186046512,4.6130345362765
"NZM22",-5.2083,-3.3003,-4.8388,-1.8411,2.7044,-0.3697,-0.124418604651163,-3.98181442943666
"HemnLP",29.6586,-13.2736,11.2092,-5.7465,-0.9948,1.9592,0.242151162790698,13.1653132808031
"MelSt",-35.4137,31.1759,-11.6438,12.41,-5.5629,5.8092,0.485901162790698,-8.50204044489965
"HemALP",18.64,-4.0665,9.7193,-1.4337,-0.074,1.3392,0.155377906976744,3.90470604902973
