"","Pro_Ver","Inv_Ver","Pro_Hoek","Inv_Hoek","KS_E","KS_M","KS","GS"
"M005_X1",23.1152,22.4815,7.3734,7.5056,3.024,14.0468,0.33058216003884,NA
"M005",21.9073,27.425,7.3738,9.8841,2.0905,20.4387,0.618351944211502,NA
"M005R_X1",24.3069,22.6254,7.4446,7.5378,3.3778,14.007,0.353003486781127,NA
"M005R",23.7866,23.831,7.0447,8.9846,3.8831,20.1927,0.586794368186432,NA
"M019_X1",29.8268,13.178,10.6557,4.9122,1.7468,13.5447,0.374188992364391,NA
"M019",30.0453,14.7754,9.9218,5.0805,0.7555,15.8458,0.440173014962263,NA
"M019R_X1",25.5323,13.6986,6.6672,7.3291,0.1628,14.6058,0.431963631548749,NA
"M019R",27.6657,20.3537,7.3058,9.4771,-0.4654,18.8551,0.581718674140442,NA
"M026_X1",30.7877,9.4596,12.3412,2.1102,4.365,10.1467,0.166571037648409,NA
"M026",31.6196,15.363,11.5493,4.4826,2.0116,14.3193,0.373482808844949,NA
"M026R",31.8827,12.1867,11.6024,3.2041,2.5218,13.8089,0.367568521869621,NA
"M029_X1",32.3276,6.3272,12.7137,0.4426,2.3765,11.7944,0.250783422341881,NA
"M029R_X1",31.4905,11.3132,11.7635,2.8867,2.6794,12.5119,0.282738226596637,NA
"M029R",29.6641,16.8503,10.8143,6.5612,1.4504,16.9387,0.481396477909697,NA
