"","Pro_Ver","Inv_Ver","Pro_Hoek","Inv_Hoek","KS_E","KS_M","KS","GS"
"BR.MCF7",3.7598,-3.706,-3.4908,-0.7752,11.9854,0.4946,-0.349848331648129,90.2751081745724
"BR.MDA.MB.231",-0.181,11.67,-3.8756,5.9789,4.3804,7.3571,0.360826231402571,-12.7815106050037
"BR.HS.578T",1.4886,15.5245,-4.001,9.9166,-1.9036,9.149,0.677307525639174,-39.839767511803
"BR.BT.549",0.8098,12.6556,-4.538,8.7881,-2.2974,8.6111,0.664885165390727,-36.2884986590674
"BR.T.47D",4.3926,-0.5024,-1.5022,-0.1198,11.7179,1.4469,-0.371659685107612,103.260111760464
"CNS.SF.268",3.0779,14.3966,-3.0814,9.0353,-1.0379,8.5367,0.629206991188791,-39.5201112064452
"CNS.SF.295",1.4095,15.4712,-3.681,9.1778,-0.613,8.2856,0.540806008955655,-42.2052217353486
"CNS.SF.539",-0.0698,13.491,-4.3259,7.7934,-2.2768,8.2526,0.646251625018056,-45.1258701793174
"CNS.SNB.19",5.0724,8.1626,-2.6954,6.8836,0.6001,8.8518,0.564061822909143,-40.8920275827938
"CNS.SNB.75",7.0835,14.8582,1.1841,9.2109,-1.0109,9.584,0.675718619095768,-44.6826387056197
"CNS.U251",4.7628,11.5456,-2.8169,7.9413,1.9933,8.0918,0.551639462660696,-38.6403432587915
"CO.COLO.205",4.5567,-1.7296,-3.3454,-0.005,15.6019,-0.9656,-0.627618084645385,95.3115430335168
"CO.HCC.2998",2.229,-0.0864,-3.8328,1.0189,15.5539,-0.0034,-0.607251191679908,102.083320131491
"CO.HCT.116",3.2517,2.7092,-3.6237,1.2578,10.8975,5.7019,-0.151090567672974,85.8661557977694
"CO.HCT.15",3.3699,0.8961,-3.9544,1.2654,12.9071,2.6095,-0.335981510905677,98.4464200468499
"CO.HT29",3.1584,3.6966,-3.72,1.6385,17.5999,-0.5443,-0.728441427126968,105.517094159638
"CO.KM12",3.3598,-1.1283,-4.6234,0.3135,13.5317,1.1548,-0.398093312147913,88.1822177953996
"CO.SW.620",2.8495,-2.5994,-4.7315,0.7459,9.2374,5.107,-0.0985122056911744,12.4054690612898
"LE.CCRF.CEM",0.3347,-5.2481,-4.6586,-2.7647,-1.7144,2.8382,0.30001444460494,-27.4512681365877
"LE.HL.60.TB.",2.9265,-5.3532,-3.0678,-2.2845,-0.0606,3.482,0.268958543983822,-27.6308346250616
"LE.K.562",3.9298,-3.6362,-3.6946,-0.9704,0.4716,5.1433,0.249024989166546,-31.1775372745672
"LE.MOLT.4",2.2677,-4.6592,-4.3666,-2.0739,-2.5584,2.3922,0.219124656940633,-27.6172282476621
"LE.RPMI.8226",3.6438,-0.8911,-2.059,-0.7838,3.291,1.8011,-0.130868120756897,-8.37050711245539
"LE.SR",1.3202,3.3553,-2.3941,0.6177,-0.6506,4.9364,0.30001444460494,-28.7692189676171
"ME.LOX.IMVI",-0.8995,10.1686,-4.182,7.3921,-3.2079,7.2277,0.598295536617073,-50.1295584399304
"ME.MALME.3M",25.7677,-5.0614,11.4062,-2.8021,1.5383,6.8676,0.433771486349848,-16.7486119196371
"ME.M14",21.6375,-4.0756,10.1749,-0.0115,0.279,6.7662,0.410371226346959,-27.8859214967005
"ME.SK.MEL.2",17.5912,-1.3739,8.3653,2.176,-1.0572,6.2703,0.382637584862054,-37.107809888146
"ME.SK.MEL.28",25.2035,-4.8885,10.2911,-1.7797,0.6362,6.325,0.371515239058212,-26.0285232870175
"ME.SK.MEL.5",21.7746,-6.4798,8.7424,-0.7035,0.6436,5.6881,0.360970677451972,-29.5600869018187
"ME.UACC.257",24.5917,-6.3455,10.9317,-2.0816,2.6754,6.5805,0.337570417449083,-13.0621524590355
"ME.UACC.62",19.1421,-1.948,7.3806,-0.0725,-0.1795,7.0653,0.467860754008378,-31.0932527804088
"ME.MDA.MB.435",16.7761,-1.7986,7.5596,1.9331,-1.1177,6.4462,0.500505561172902,-32.3165194263274
"LC.A549.ATCC",2.6922,4.4397,-4.0245,3.65,9.94,5.6317,0.163657373970822,-15.7011846517299
"LC.EKVX",4.7679,6.9984,-4.1499,6.1073,9.9926,5.6164,0.182290914343493,12.0035478003827
"LC.HOP.62",1.7454,15.4753,-2.6349,8.2058,3.587,7.8981,0.424238047089412,-19.806000774553
"LC.HOP.92",2.4741,14.0944,-2.1312,6.9141,2.1957,8.475,0.522172468582984,-33.6352437678498
"LC.NCI.H226",3.6351,16.1986,-2.8295,8.4485,3.8752,7.7123,0.40257113967933,-18.4694177235182
