"","Pro_Ver","Inv_Ver","Pro_Hoek","Inv_Hoek","KS_E","KS_M","KS","GS"
"NV1",6.1951,-7.101,3.4971,-5.9901,13.0286,-2.21,-0.405256570713392,-5.18025808862587
"NV2",-17.5593,2.3868,-7.902,-1.8237,8.8263,-8.2156,-0.742052565707134,-12.114602296098
"NV3",-15.8835,11.0601,-8.8944,5.4383,17.3758,-5.2586,-0.688610763454318,-14.990161575575
"PM1",-14.5674,29.3099,-8.536,9.4337,16.4159,0.4899,-0.471839799749687,-10.0584139084884
"PM2",14.006,-19.1515,9.6992,-4.8029,-12.3564,4.3509,0.582227784730914,15.7302242935359
"PM3",7.559,3.9943,1.5538,1.3714,-0.1933,-1.345,-0.205632040050063,-3.29434934713299
"PM4",-20.1488,-1.1708,-7.9768,-3.035,-4.2257,-7.6536,-0.446433041301627,-3.43639456860522
"MM1",4.3921,-2.6541,2.1539,-1.0676,-6.9341,2.4285,0.345556946182728,3.17119359570491
"MM2",19.3587,-16.9135,8.6751,-3.7895,-10.303,6.8252,0.633416770963705,20.1589286261262
"MM3",3.6296,4.221,1.2454,4.4517,-11.0201,6.579,0.656946182728411,3.86875213062353
"MM4",4.2491,-4.5937,4.0153,3.5993,-11.9011,3.7388,0.519774718397997,-1.10059860080454
"MM5",7.1032,-8.8976,6.5787,-3.3216,-11.012,1.0619,0.419774718397998,7.24567973933946
