"","Pro_Ver","Inv_Ver","Pro_Hoek","Inv_Hoek","KS_E","KS_M","KS","GS"
"TCGA.3N.A9WB.06A.11R.A38C.07",27.1103,1.9068,11.3162,1.259,1.2012,9.24,0.256053693630461,9213.47119875571
"TCGA.3N.A9WC.06A.11R.A38C.07",22.5108,11.2657,10.7931,3.8062,-2.1348,15.258,0.51930163186524,-1188.09859438691
"TCGA.3N.A9WD.06A.11R.A38C.07",24.9414,11.7186,10.7181,4.9103,12.2557,14.2363,0.0938761186173013,1739.90218552499
"TCGA.BF.A1PU.01A.11R.A18S.07",32.775,3.5899,11.9645,3.2239,2.1226,14.2074,0.290533426917003,913.513801872025
"TCGA.BF.A1PV.01A.11R.A18U.07",26.1367,7.0347,11.4821,5.6173,-0.7077,12.2856,0.323960343919986,-34268.7665266323
"TCGA.BF.A1PX.01A.12R.A18T.07",26.3128,14.0331,11.3565,5.2591,8.2995,15.7753,0.222977715388665,17856.6978813671
"TCGA.BF.A1PZ.01A.11R.A18S.07",31.8011,2.4663,11.94,-0.2521,2.3232,11.6081,0.271889805228988,13594.6007690283
"TCGA.BF.A1Q0.01A.21R.A18S.07",16.6816,14.3378,6.8231,5.4645,-1.0947,13.5649,0.439068257589051,-13475.9831033993
"TCGA.BF.A3DJ.01A.11R.A20F.07",25.3758,11.3193,9.9171,3.6152,5.1582,15.0493,0.281628355851904,-5738.69488856865
"TCGA.BF.A3DL.01A.11R.A20F.07",30.6991,6.9044,10.8241,4.4386,-0.9515,13.7162,0.374934198982278,10309.6336503319
"TCGA.BF.A3DM.01A.11R.A20F.07",26.6617,12.9891,10.3208,4.4368,-1.3177,13.2185,0.309089313914722,2705.17520784587
"TCGA.BF.A3DN.01A.11R.A20F.07",28.0047,10.1869,11.9329,5.7461,-1.4141,17.2398,0.503465520266714,5750.0921017701
"TCGA.BF.A5EO.01A.12R.A27Q.07",25.8301,10.2221,10.4769,3.8287,6.0135,11.9766,0.130768555886998,-3909.04366207479
"TCGA.BF.A5EP.01A.12R.A27Q.07",28.1615,3.5429,11.682,2.732,-1.5194,13.0615,0.365414985085103,-550.802113151683
"TCGA.BF.A5EQ.01A.21R.A27Q.07",27.1087,9.4727,11.8336,5.0098,-2.2794,15.6872,0.509299877171434,-3052.29718231946
"TCGA.BF.A5ER.01A.12R.A27Q.07",28.1632,4.3086,11.17,2.8278,1.9298,9.9995,0.295797508334796,5926.34747924416
"TCGA.BF.A5ES.01A.11R.A27Q.07",29.716,4.8806,12.8768,3.8664,-1.6749,12.7105,0.471881031759958,14156.0713118335
"TCGA.BF.A9VF.01A.11R.A37K.07",32.0084,0.2879,12.0385,-0.3216,5.0696,7.811,0.0840937006492367,28778.3213795464
"TCGA.BF.AAOU.01A.12R.A39D.07",27.2804,9.7508,12.1282,5.6105,1.6844,14.0206,0.342340761537112,-18408.688996686
"TCGA.BF.AAOX.01A.11R.A39D.07",28.4716,3.8575,11.5646,0.8373,6.4922,9.2923,0.104667485523776,-5862.93194981816
"TCGA.BF.AAP0.06A.11R.A39D.07",27.4761,9.4772,11.824,5.4278,-1.5198,16.8852,0.485874714862257,4078.4355287641
"TCGA.BF.AAP1.01A.11R.A39D.07",27.1077,4.8449,10.5557,1.9104,-0.3829,10.6377,0.342735567643446,13345.3915748823
"TCGA.BF.AAP2.01A.11R.A40A.07",28.7506,5.189,12.016,0.2606,2.7667,11.6983,0.275311458150553,15847.0806489999
"TCGA.BF.AAP4.01A.11R.A40A.07",32.5365,6.8516,11.4382,2.7445,-0.7714,12.7409,0.423451482716266,20648.9531226042
"TCGA.BF.AAP6.01A.11R.A40A.07",27.2517,6.2764,11.3814,2.5899,-1.995,12.9507,0.362256536234427,-8671.08590298262
"TCGA.BF.AAP7.01A.11R.A40A.07",26.563,12.391,11.9714,4.8678,3.8199,15.2034,0.332865414985085,11751.3023481057
"TCGA.BF.AAP8.01A.11R.A40A.07",26.8822,4.1814,11.7404,1.8303,-0.8962,11.137,0.337866292331988,15167.0978487694
"TCGA.D3.A1Q1.06A.21R.A18T.07",25.8978,2.7255,9.5873,0.7301,-2.7152,11.567,0.372258290928233,7110.45775904616
"TCGA.D3.A1Q3.06A.11R.A18T.07",26.6998,6.9342,11.0448,2.3743,-3.42,14.3819,0.511273907703106,11707.2008321902
"TCGA.D3.A1Q4.06A.11R.A18T.07",20.8513,16.7254,6.6936,9.029,-2.0869,18.7013,0.576373047903141,-17298.3012949918
"TCGA.D3.A1Q5.06A.11R.A18T.07",18.135,17.3251,2.9937,7.4607,-2.7503,17.0169,0.499780663274259,-12431.3248980121
"TCGA.D3.A1Q6.06A.11R.A18T.07",11.8678,18.8633,3.2389,6.8858,-2.2446,13.7448,0.367125811545885,-7132.96976686495
"TCGA.D3.A1Q7.06A.11R.A18T.07",26.5174,14.9448,11.6526,6.0398,-2.143,18.3118,0.554790314090191,974.721088766597
"TCGA.D3.A1Q8.06A.11R.A18T.07",16.8401,16.7378,5.762,8.4778,-1.982,19.9301,0.585760659764871,-26757.6688847002
"TCGA.D3.A1Q9.06A.11R.A18T.07",29.4453,6.9615,12.3658,2.4903,2.5108,13.6722,0.337997894367433,33825.9806088908
"TCGA.D3.A1QA.06A.11R.A18T.07",28.0561,6.3898,11.5479,1.283,-2.15,11.4683,0.419327952272328,24352.6861509906
"TCGA.D3.A1QA.07A.11R.A37K.07",30.4483,3.7095,12.4238,1.021,-1.8617,11.1606,0.368354097210037,16299.5212834854
"TCGA.D3.A1QB.06A.11R.A18T.07",30.1583,6.3802,11.594,1.5151,-1.5494,13.9499,0.400157922442534,-1882.63466084527
"TCGA.D3.A2J6.06A.11R.A18T.07",32.8926,5.3079,11.1078,2.4572,0.3305,12.2342,0.396648534830672,13871.9510107167
"TCGA.D3.A2J7.06A.11R.A18T.07",27.3764,11.0115,10.8608,4.8755,-1.4579,16.1988,0.482847868047026,255.621182445859
"TCGA.D3.A2J8.06A.11R.A18T.07",5.3597,27.255,1.9191,9.8866,-3.6616,16.9493,0.543691875767679,-20151.5290853152
"TCGA.D3.A2J9.06A.11R.A18T.07",21.9942,13.5234,9.1676,5.0633,-2.4636,16.3447,0.512589928057554,1243.61161236461
"TCGA.D3.A2JA.06A.11R.A18T.07",14.5048,19.245,4.6727,8.0964,-5.3497,19.6466,0.637699596420425,-24827.2182575823
"TCGA.D3.A2JB.06A.11R.A18T.07",26.5393,9.1622,11.0171,4.4324,-1.266,14.3688,0.431259870152658,1236.84535112993
"TCGA.D3.A2JC.06A.11R.A18T.07",29.9029,8.693,11.5964,3.8341,0.2493,14.5003,0.415906299350763,-3148.85763204394
"TCGA.D3.A2JD.06A.11R.A18T.07",31.2787,8.7194,11.6446,3.5733,1.5901,13.9342,0.361773995437796,7943.37391107442
"TCGA.D3.A2JE.06A.11R.A37K.07",22.7431,1.4386,10.1735,2.2856,-3.2618,11.4781,0.433716441480962,3183.17136877935
"TCGA.D3.A2JF.06A.11R.A18S.07",16.6978,13.4303,6.866,4.7129,-1.8169,14.5364,0.505044744692051,-2388.92893128967
"TCGA.D3.A2JG.06A.11R.A18T.07",29.3493,6.2362,10.9502,3.1602,-1.635,13.7819,0.410773819968416,-8559.517898951
"TCGA.D3.A2JH.06A.11R.A18T.07",26.6393,8.4472,11.2048,2.9017,-2.091,14.3836,0.442972451307247,-476.51119717154
"TCGA.D3.A2JK.06A.11R.A18S.07",27.837,6.3679,11.1571,3.0185,1.0855,11.8451,0.342867169678891,12749.7486703469
"TCGA.D3.A2JL.06A.11R.A18S.07",28.1437,3.5288,12.1195,-0.139,-1.7439,12.7774,0.448587471486226,565.542954458149
"TCGA.D3.A2JN.06A.11R.A18S.07",15.1251,14.8523,4.2778,7.7268,-1.5769,16.3389,0.539305141252851,-10931.9365628586
"TCGA.D3.A2JO.06A.11R.A18S.07",25.4518,9.2311,10.9085,4.4341,-1.111,14.3618,0.40406211616073,758.861952546588
"TCGA.D3.A2JP.06A.11R.A18S.07",25.2233,9.9785,10.5924,4.1511,-0.0139,16.8051,0.462975960694859,-999.04783078734
"TCGA.D3.A3BZ.06A.12R.A18S.07",25.2583,16.8756,11.0524,8.0346,-0.4569,20.144,0.54746446745043,-9239.63449710246
"TCGA.D3.A3C1.06A.12R.A18S.07",23.9614,12.6742,8.4485,5.1243,-0.4432,14.1122,0.448587471486226,-9668.85361307561
"TCGA.D3.A3C3.06A.12R.A18S.07",19.6296,4.7839,9.4328,1.4656,-1.5042,12.3651,0.365195648359361,6495.14119971095
"TCGA.D3.A3C6.06A.12R.A18U.07",23.081,6.908,9.6045,3.6288,-3.8948,13.5958,0.476267766274785,6549.79880037476
"TCGA.D3.A3C7.06A.11R.A18U.07",19.5582,13.2746,5.3518,6.3708,-0.9473,15.1716,0.432970696613441,-10918.9002836667
"TCGA.D3.A3C8.06A.12R.A18S.07",15.3781,14.9888,7.6375,6.2268,1.0406,16.9368,0.500877346902965,-7679.58021292862
"TCGA.D3.A3CB.06A.11R.A18S.07",25.6645,11.5916,10.1028,4.7791,-2.294,15.4553,0.496753816459028,-6064.66515360869
"TCGA.D3.A3CC.06A.11R.A18S.07",30.9006,5.4561,12.1622,3.3371,1.7615,15.7152,0.440779084049833,6067.06988765239
"TCGA.D3.A3CE.06A.11R.A18S.07",22.6225,8.9574,9.8855,3.5007,-1.5411,15.1512,0.471266888927882,11728.7163677508
"TCGA.D3.A3CF.06A.11R.A18T.07",27.2163,10.3654,12.0772,5.1312,-1.3022,16.3452,0.493463765572908,7381.33421758341
"TCGA.D3.A3ML.06A.11R.A21D.07",27.2182,1.431,11.0288,0.5266,-2.3305,10.0502,0.38884014739428,1558.1387130456
"TCGA.D3.A3MO.06A.11R.A21D.07",21.1165,12.5675,9.3945,4.4268,-3.5207,14.0954,0.410510615897526,-2659.47815402996
"TCGA.D3.A3MR.06A.11R.A21D.07",24.4798,11.9733,10.5099,5.9871,-1.2372,16.515,0.492235479908756,97.3974663453873
"TCGA.D3.A3MU.06A.11R.A21D.07",27.9449,12.8489,11.2786,5.7744,-2.68,15.6787,0.491752939112125,-30089.1698537149
